Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF,d_ACT,d_CHE,d_LCT,d_STD,d_TXP,WCA,AT_lag,AvgAT,WCA_scaled,CFO,CFO_lag1,dREV,CFO_lag1_scaled,CFO_scaled,dREV_scaled,PPE_scaled,CFO_lead1,CFO_lead1_scaled,usable,sector_idx,firm_idx_x,FiscalYear,ForecastDate,ForecastCutoffDate,ForecastWindowStart,cfo_forecast,forecast_timing_valid,has_analyst_cfo_forecast,CFO_lead1_analyst_scaled,firm_idx_y,sigma_mean,sigma_median,sigma_std,sigma_q05,sigma_q95,n_draws,sigma_acc
2016,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,9240.42,555.71,5478.44,205.79,338.55,4897.12,16295.9,1191.11,21659.0,16066.76,4113.42,0.0,175.76999999999998,7133.25,51.21,24041.77,0.1813706249321451,1382.8199999999997,75.34000000000003,1036.8199999999997,-94.57000000000002,13.069999999999993,189.15999999999985,14543.05,15419.474999999999,0.01226760314472444,1191.11,1659.8,2427.9000000000015,0.1076430942039207,0.07724711768721049,0.15745672274834271,0.317593173567842,1064.21,0.0690172655035272,True,2,3,2016.0,2017-04-21,2017-06-30,2017-02-03,934.076182807641,True,True,0.060577690408242894,3,0.02820997449219317,0.024580420066564225,0.016554756089672943,0.009140320045105586,0.06015266863718273,8000,0.02820997449219317
2017,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,9657.24,480.31,5843.77,628.41,389.25,5181.35,16902.92,1064.21,25599.2,19576.08,4418.57,0.0,130.72,7668.95,70.05,29726.92,0.1904419175604082,416.8199999999997,-75.40000000000003,365.33000000000084,422.62,50.69999999999999,600.2099999999989,16295.9,16599.41,0.0361585140676686,1064.21,1191.11,3940.2000000000007,0.07175616482754507,0.06411131479974289,0.23736988242353196,0.3121406122265792,1020.75,0.061493149455311966,True,2,3,2017.0,2018-06-26,2018-06-30,2018-02-05,1314.83776784407,True,True,0.07920990974041064,3,0.024186753860075016,0.021073661429121933,0.013594317597685715,0.008396470946804997,0.05066340637347667,8000,0.024186753860075016
2018,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,10224.08,719.21,5228.66,645.04,383.51,5336.0,17599.63,1020.75,25839.03,19406.43,4769.43,0.0,143.28,8692.96,85.88,30381.23,0.1731310742649369,566.8400000000001,238.90000000000003,-615.1100000000006,16.629999999999995,-5.740000000000009,953.9400000000007,16902.92,17251.275,0.05529678241173482,1020.75,1064.21,239.8299999999981,0.06168877372831863,0.059169539642722056,0.013902160854777289,0.30931047125502314,1449.85,0.08404306348371351,True,2,3,2018.0,2019-04-24,2019-06-30,2019-02-08,1716.35960937086,True,True,0.09949175405127214,3,0.02540181867840257,0.023027053534210473,0.01222338699416008,0.010490995633068517,0.047998723307187935,8000,0.02540181867840257
2019,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,12623.76,920.78,7087.79,815.77,444.45,5657.86,21490.3,1449.85,26530.94,19303.1,5414.129999999999,0.0,145.17000000000002,9692.62,78.76,42348.71,0.1707578663402713,2399.6800000000003,201.56999999999994,1859.13,170.73000000000002,60.94,570.6500000000005,17599.63,19544.965,0.029196777789062326,1449.85,1020.75,691.9099999999999,0.05222572667692165,0.07418023004901773,0.03540093318151247,0.2894791574198265,2070.5,0.1059352114470402,True,2,3,2019.0,2020-05-24,2020-06-30,2020-01-30,1958.16454383272,True,True,0.10018767205941377,3,0.02963416646696865,0.027207071168656588,0.012697706760961646,0.014151110732264972,0.05383996445299044,8000,0.02963416646696865
2020,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,13920.24,1253.04,9019.81,1634.17,375.91,5848.57,23262.7,2070.5,28589.95,21055.07,5661.910000000001,0.0,138.17,10127.7,40.72,44272.77,0.1706066429199423,1296.4799999999996,332.26,1932.0199999999995,818.4000000000001,-68.53999999999996,-217.93999999999983,21490.3,22376.5,-0.009739682255938142,2070.5,1449.85,2059.010000000002,0.06479342167005564,0.09253010971331531,0.09201662458382687,0.26137108126829484,509.12,0.02275244117712779,True,2,3,2020.0,2021-06-23,2021-06-30,2021-01-28,1589.04336152694,True,True,0.07101393701101334,3,0.02426171017313647,0.02214746543690544,0.01071070380434075,0.011210587296934534,0.04426650643246283,8000,0.02426171017313647
2021,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,17572.09,975.25,11842.36,2272.99,288.39,5572.87,26467.26,509.12,35530.25,27758.13,5601.34,0.0,121.26,11479.93,46.77,49186.61,0.1778063105659033,3651.8500000000004,-277.78999999999996,2822.550000000001,638.8199999999997,-87.52000000000004,1658.389999999999,23262.7,24864.98,0.06669581073461547,509.12,2070.5,6940.299999999999,0.0832697231206299,0.020475383450941846,0.27911946842507007,0.2241252556808813,-69.36,-0.0027894653444322094,True,2,3,2021.0,2022-06-21,2022-06-30,2022-02-04,138.046120945705,True,True,0.005551829156737911,3,0.02574539141001312,0.023681907770019568,0.011061970578064479,0.012193552614312122,0.047012256991349054,8000,0.02574539141001312
2022,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,21746.99,1426.02,13116.53,2820.97,606.17,6536.15,31993.6,-69.36,47911.04,38633.83,6999.72,0.0,241.34,14152.86,44.24,43451.25,0.1434201350980129,4174.9000000000015,450.77,1274.17,547.98,317.78,3315.720000000001,26467.26,29230.43,0.11343384274538558,-69.36,509.12,12380.79,0.017417465292162995,-0.0023728696430398047,0.42355825761030547,0.22360772660545875,5288.9,0.18093815246645362,True,2,3,2022.0,2023-06-19,2023-06-30,2023-02-02,4442.59269248717,True,True,0.15198519804488575,3,0.02474799784396508,0.02267322449196952,0.010937135913574349,0.011213532257440874,0.045464282871202806,8000,0.02474799784396508
2023,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,18941.27,1513.17,9702.19,1726.6,523.52,7543.69,30757.67,5288.9,45810.59,34134.009999999995,7785.05,0.0,316.5,17232.79,56.38,58743.62,0.2067785787287649,-2805.720000000001,87.15000000000009,-3414.34,-1094.37,-82.64999999999998,-655.5500000000011,31993.6,31375.635,-0.020893601037875444,5288.9,-69.36,-2100.4500000000044,-0.0022106325497475987,0.16856710629123522,-0.06694525863779345,0.2404314685583256,2391.98,0.07623686341328231,True,2,3,2023.0,2024-06-25,2024-06-30,2024-02-07,4086.23800980346,True,True,0.13023602581440855,3,0.02540193780481669,0.023245691476606323,0.011392834216270848,0.011059352125194453,0.04682257786054599,8000,0.02540193780481669
2024,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,23278.14,1964.69,12032.83,2129.19,907.81,8304.96,35352.1,2391.98,45817.77,32600.87,8416.67,0.0,288.83000000000004,20651.36,63.74,84218.39,0.2177831630066954,4336.869999999999,451.52,2330.6399999999994,402.59000000000015,384.28999999999996,2341.5899999999997,30757.67,33054.884999999995,0.07083945383564336,2391.98,5288.9,7.180000000000291,0.16000358192140135,0.07236388812122627,0.00021721449038471295,0.25124758413166465,,,True,2,3,2024.0,2025-06-24,2025-06-30,2025-02-05,4328.80821197393,True,True,0.1309581991277214,3,0.02521797350130184,0.023295815824631874,0.010884679847129451,0.011475737800039406,0.04541226999308269,8000,0.02521797350130184
2016,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,181826.12,14717.45,130841.91,8662.91,0.0,40965.29,338587.67,32266.61,284026.77,404377.95,55826.35,10915.06,2191.41,115692.62,4335.77,389616.79,-1.3951189381112248,-19367.73000000001,-1521.2599999999984,-9215.880000000005,-4190.16,0.0,-12820.750000000007,365578.77,352083.22,-0.03641397621846337,32266.61,30784.13,-2052.8099999999977,0.08743424352912929,0.09164483896733279,-0.0058304681489790905,0.11635115697930734,31401.58,0.08918794823564725,True,5,4,2016.0,2017-06-27,2017-06-30,2017-02-08,34367.572859375,True,True,0.09761207267808732,4,0.02485161167307109,0.022580754866835237,0.011073702927733119,0.01138085915115799,0.045915156337763205,8000,0.02485161167307109
