portfolio_year,cfo_t1_source,window_rows_initial,window_firms_initial,window_training_years_initial,window_rows_before_cfo_source_filter,rows_dropped_missing_analyst_forecast,rows_dropped_missing_realized_cfo_lead,window_rows_after_cfo_source_filter,training_years_after_cfo_filter,training_rows_after_cfo_filter_before_firm_filter,firms_removed_after_cfo_filter_insufficient_training,rows_removed_after_cfo_filter_insufficient_training,window_dropped_insufficient_training_history,skipped,skip_reason,window_rows_final,window_firms_final,portfolio_year_rows_final
2009,analyst,1620,320,5,1620,1620,0,0,0,0,0,0,True,True,insufficient_training_history_after_cfo_source_filter,,,
2010,analyst,1909,329,5,1909,1909,0,0,0,0,0,0,True,True,insufficient_training_history_after_cfo_source_filter,,,
2011,analyst,2018,344,5,2018,2018,0,0,0,0,0,0,True,True,insufficient_training_history_after_cfo_source_filter,,,
2012,analyst,2094,357,5,2094,2094,0,0,0,0,0,0,True,True,insufficient_training_history_after_cfo_source_filter,,,
2013,analyst,2189,374,5,2189,2047,0,142,0,0,0,0,True,True,insufficient_training_history_after_cfo_source_filter,,,
2014,analyst,2273,387,5,2273,1969,0,304,1,144,0,0,True,True,insufficient_training_history_after_cfo_source_filter,,,
2015,analyst,2377,405,5,2377,1895,0,482,2,309,0,0,True,True,insufficient_training_history_after_cfo_source_filter,,,
2016,analyst,2527,434,5,2527,1841,0,686,3,495,44,98,False,False,,588.0,147.0,147.0
2017,analyst,2627,447,5,2627,1732,0,895,4,694,34,80,False,False,,815.0,167.0,167.0
2018,analyst,2809,482,5,2809,1660,0,1149,5,922,39,83,False,False,,1066.0,188.0,188.0
2019,analyst,2965,509,5,2965,1703,0,1262,5,1017,43,99,False,False,,1163.0,202.0,202.0
2020,analyst,3107,529,5,3107,1731,0,1376,5,1113,38,86,False,False,,1290.0,225.0,225.0
2021,analyst,3226,547,5,3226,1737,0,1489,5,1205,37,74,False,False,,1415.0,247.0,247.0
2022,analyst,3359,571,5,3359,1738,0,1621,5,1311,49,105,False,False,,1516.0,261.0,261.0
2023,analyst,3478,591,5,3478,1730,0,1748,5,1419,47,112,False,False,,1636.0,282.0,282.0
2024,analyst,3625,617,5,3625,1741,0,1884,5,1533,39,93,False,False,,1791.0,312.0,312.0
