Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2017,20202.OL,2020 Bulkers Ltd,Freight & Logistics Services,Industrials,50.54,50.46,0.89,0.0,0.0,72.63,123.17,0.0,0.0,0.0,0.0,0.0,0.0,122.28,0.0,,0.0
2018,20202.OL,2020 Bulkers Ltd,Freight & Logistics Services,Industrials,3.34,2.44,4.12,0.0,0.32,590.75,594.09,-4.08,0.0,0.0,6.0,0.0,0.26,589.97,0.0,1060.14,-0.0106107090191026
2019,20202.OL,2020 Bulkers Ltd,Freight & Logistics Services,Industrials,201.03,176.45,112.36,71.11,0.0,1657.36,2485.17,44.87,80.06,30.800000000000004,41.35,0.0,10.56,1212.3,0.0,1718.44,-0.0021859275756825
2020,20202.OL,2020 Bulkers Ltd,Freight & Logistics Services,Industrials,199.01,170.7,180.14,126.95,0.0,3193.55,3394.28,205.16,460.19,228.68,32.94,0.0,94.11,1218.92,0.0,1167.96,0.0856988153447314
2021,20202.OL,2020 Bulkers Ltd,Freight & Logistics Services,Industrials,248.35,211.36,187.58,130.34,0.0,3175.7,3439.9,717.66,947.99,276.76,28.36,0.0,81.65,1335.98,0.0,2222.14,0.4200811389392057
2022,20202.OL,2020 Bulkers Ltd,Freight & Logistics Services,Industrials,268.42,151.85,201.81,144.99,0.0,3418.98,3720.71,406.39,731.13,301.67999999999995,42.27,0.0,90.31,1527.27,0.0,1837.24,0.1943795137729413
2023,20202.OL,2020 Bulkers Ltd,Freight & Logistics Services,Industrials,392.23,311.15,263.51,150.0,0.0,3419.58,3811.81,434.72,735.43,336.6,35.87,0.0,118.18,1631.75,0.0,2481.14,0.1500107246820897
2024,20202.OL,2020 Bulkers Ltd,Freight & Logistics Services,Industrials,218.22,182.99,52.28,0.0,0.0,2785.73,3030.1,480.25,770.33,284.71,41.9,0.0,73.06,1725.31,1.14,2835.99,0.2146948941469489
2016,8TRA.ST,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,153599.13,44556.1,174710.38,0.0,2324.51,53935.85,374645.31,7040.43,203550.17,163926.85,28839.75,18706.37,2767.87,98328.5,926.17,,0.2692273320741483
2017,8TRA.ST,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,171580.95,45228.53,174426.19,0.0,2490.82,59100.32,421027.05,6773.74,227340.28,183366.93,30099.31,19714.77,2453.85,115207.73,1063.27,,0.2677792398792477
2018,8TRA.ST,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,203434.29,29693.3,162149.01,0.0,1238.46,54185.07,459557.6,3667.76,248936.91,201112.06,32664.15,20355.08,2352.36,166439.03,19.82,,0.1992289385634948
2019,8TRA.ST,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,164554.41,18825.06,162586.29,62979.8,1505.61,66807.79,444627.54,10711.25,264837.69,212827.08,33994.45,18144.15,2579.36,136439.83,2656.96,117668.9,0.2414214591149086
2020,8TRA.ST,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,150836.11,17956.18,161909.43,65999.96,1225.71,72369.48,448034.99,21307.04,242130.28,205038.66,33488.61,9104.01,2434.17,135551.35,2409.52,118407.08,0.0744620557988652
2021,8TRA.ST,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,162486.35,20042.99,198697.88,58066.58,1952.24,80021.77,551842.88,15588.02,311150.66,254885.44,40260.58,10212.49,3546.43,134594.36,30.03,110827.1,0.1683996488303491
2022,8TRA.ST,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,200312.42,15086.86,237279.95,85971.0,2474.29,87585.57,610771.52,-6661.89,407132.03,337959.46,48197.73,13131.99,4128.35,150637.96,62.91,74071.35,0.1989270533076551
2023,8TRA.ST,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,236015.52,19350.12,250198.15,85006.31000000001,2527.82,100262.7,690105.76,29465.33,534687.97,429283.53,58428.73,17076.89,10129.78,184351.82,67.11,119232.52,0.2923930856772672
2024,8TRA.ST,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,268333.6,29911.59,273699.33,94135.63,3577.15,113504.03,771288.47,27189.88,551617.57,434259.54,64175.09,17197.02,10202.01,209898.91,70.6,164443.17,0.2866032787331836
2004,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,28.39,2.21,15.6,1.73,0.0,46.31,122.99,2.02,86.76,0.0,85.66,0.0,1.58,83.14,0.0,53.54,-0.0057733942747172
2005,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,27.21,1.05,25.21,1.76,0.0,32.64,119.92,4.57,80.45,0.0,80.44000000000001,0.0,1.67,74.05,0.0,64.04,-0.0224172856178259
2006,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,137.32,48.64,83.25,0.75,0.0,31.54,244.73,18.95,117.6,0.0,100.77,0.0,1.21,148.58,0.0,122.42,0.1051285502759455
2007,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,129.81,1.98,144.65,1.71,0.0,0.0,293.08,0.0,147.64,0.0,152.77,0.0,0.0,138.86,0.0,156.85,-0.0369436842863317
2008,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,95.71,2.38,167.13,101.13,0.0,189.18,406.44,56.22,247.04,0.0,198.31,0.0,0.0,212.91,0.0,114.38,0.2288760509135316
2009,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,59.55,3.82,164.35,97.8,0.0,118.08,266.07,12.4,125.69,0.0,168.59000000000003,0.0,0.0,81.15,0.0,46.67,-0.5286506469500928
2010,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,164.52,141.45,194.27,91.79,0.0,19.29,234.95,-32.55,107.63,0.0,108.95000000000002,0.0,0.0,23.76,0.0,29.17,-0.0555555555555564
2011,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.01,71.73,0.0,95.02,0.0,0.0,0.0,0.0,21.58,
2012,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,17.24,4.49,46.73,7.32,0.0,39.06,74.49,-1.63,66.9,0.0,82.02,0.0,1.94,4.71,0.0,24.5,-3.6220806794055194
2013,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,12.88,2.47,58.16,6.42,0.0,34.88,52.96,13.37,76.25,0.0,76.94999999999999,0.0,1.28,-24.77,0.0,26.0,0.0799354057327407
2014,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,109.04,85.56,35.48,0.52,0.0,35.66,150.29,20.48,142.92,0.0,104.26,0.0,1.22,112.45,0.0,90.97,0.3329479768786126
2015,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,42.74,33.54,35.28,0.0,0.0,42.3,155.13,20.31,94.48,0.0,98.52,0.0,0.15,119.85,0.0,99.48,-0.0349603671255735
2016,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,41.0,31.64,28.65,0.0,0.0,41.09,151.2,11.44,93.33,0.0,104.64,0.0,0.04,122.55,0.0,82.82,-0.0926152590779273
2017,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,102.71,6.68,36.58,0.0,0.0,42.32,185.19,20.79,79.34,0.0,116.34,0.0,0.0,148.61,0.0,85.98,-0.2489738241033577
2018,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,77.48,10.09,36.11,0.0,0.0,41.32,154.97,-10.09,90.17,0.0,126.62,0.0,0.05,118.86,0.0,51.75,-0.3070839643277805
2019,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,32.07,8.5,33.73,0.0,0.0,54.31,125.76,-18.02,79.62,0.0,125.95,0.0,0.7,73.93,0.0,30.09,-0.6361422967672122
