Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2020,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,135.69,58.84,75.72,0.0,0.38,54.79,228.73,26.73,94.68,0.0,140.55,0.0,0.86,130.68,0.0,53.89,-0.3575910621365167
2021,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,104.39,51.38,61.95,0.0,0.0,51.93,187.04,30.85,97.69,0.0,147.06,0.0,0.82,104.39,0.0,52.32,-0.4807931794233164
2022,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,89.66,25.78,72.92,0.0,21.37,59.89,188.81,-58.73,115.57,0.0,176.48999999999998,0.0,1.09,87.1,0.0,67.61,-0.7119402985074627
2023,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,108.71,59.28,58.67,0.0,0.0,56.71,193.26,-42.12,125.32,0.0,208.55,0.0,1.21,84.07,0.0,97.26,-1.0044010943261568
2024,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,104.43,81.53,53.09,7.03,0.0,54.02,185.93,-72.18,117.15,0.0,191.37,0.0,1.1,89.51,0.0,147.22,-0.8414702267903026
2005,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.5,2495.66,1941.81,484.84,12.47,18.3,0.0,0.0,6414.09,
2006,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,3076.66,117.46,1728.17,726.6,54.63,2504.85,6312.65,154.02,9556.16,7014.400000000001,2219.8,0.0,88.76,2082.37,29.14,7573.87,0.1104422901146568
2007,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,4224.34,140.45,1618.92,359.11,45.41,2492.72,7448.72,-331.96,11291.99,8345.91,2285.6,0.0,176.82,2025.97,28.59,4072.04,0.2354080679074838
2008,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,6084.97,86.25,2994.91,221.42,72.03,2835.74,9850.85,14.54,15038.14,12414.04,2476.99,0.0,243.76,2083.46,35.57,3900.76,-0.045610491592852
2009,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,3754.28,237.07,1397.34,86.57,116.51,2409.53,6887.97,1864.1,13153.2,9482.61,2456.6600000000003,0.0,134.97,2368.27,17.8,5195.33,0.452191260105529
2010,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,4962.13,452.92,2236.82,57.27,103.25,2358.29,8027.56,635.74,12474.56,9465.51,2251.53,0.0,49.55,2745.26,20.82,6689.04,0.2559470441925033
2011,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,5381.53,273.33,2264.72,62.47,89.37,2430.45,8654.52,249.61,14510.95,11530.34,2182.56,0.0,81.19,3077.76,15.62,7079.81,0.2317400384045932
2012,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,4873.38,282.49,2283.03,58.21,124.98,2396.89,8354.86,1322.65,14533.64,11505.9,2282.62,0.0,87.66,3263.19,20.54,9662.81,0.2002174356600572
2013,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,5294.71,217.71,2718.04,72.57,133.83,2852.81,9466.96,1173.27,14924.95,11545.02,2527.05,0.0,73.1,4080.83,32.04,15967.29,0.1895951002584571
2014,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,6790.03,253.04,3453.48,85.31,137.07,3653.81,11992.77,635.66,16363.61,12356.76,3046.02,0.0,110.23,5516.18,43.13,16694.95,0.1530045994916636
2015,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,7857.6,480.37,4441.62,300.36,325.48,4494.99,14543.05,1659.8,19231.1,14349.22,3720.21,0.0,112.82,6904.18,55.47,27771.7,0.1507044176072071
2016,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,9240.42,555.71,5478.44,205.79,338.55,4897.12,16295.9,1191.11,21659.0,16066.76,4113.42,0.0,175.76999999999998,7133.25,51.21,24041.77,0.1813706249321451
2017,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,9657.24,480.31,5843.77,628.41,389.25,5181.35,16902.92,1064.21,25599.2,19576.08,4418.57,0.0,130.72,7668.95,70.05,29726.92,0.1904419175604082
2018,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,10224.08,719.21,5228.66,645.04,383.51,5336.0,17599.63,1020.75,25839.03,19406.43,4769.43,0.0,143.28,8692.96,85.88,30381.23,0.1731310742649369
2019,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,12623.76,920.78,7087.79,815.77,444.45,5657.86,21490.3,1449.85,26530.94,19303.1,5414.129999999999,0.0,145.17000000000002,9692.62,78.76,42348.71,0.1707578663402713
2020,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,13920.24,1253.04,9019.81,1634.17,375.91,5848.57,23262.7,2070.5,28589.95,21055.07,5661.910000000001,0.0,138.17,10127.7,40.72,44272.77,0.1706066429199423
2021,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,17572.09,975.25,11842.36,2272.99,288.39,5572.87,26467.26,509.12,35530.25,27758.13,5601.34,0.0,121.26,11479.93,46.77,49186.61,0.1778063105659033
2022,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,21746.99,1426.02,13116.53,2820.97,606.17,6536.15,31993.6,-69.36,47911.04,38633.83,6999.72,0.0,241.34,14152.86,44.24,43451.25,0.1434201350980129
2023,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,18941.27,1513.17,9702.19,1726.6,523.52,7543.69,30757.67,5288.9,45810.59,34134.009999999995,7785.05,0.0,316.5,17232.79,56.38,58743.62,0.2067785787287649
2024,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,23278.14,1964.69,12032.83,2129.19,907.81,8304.96,35352.1,2391.98,45817.77,32600.87,8416.67,0.0,288.83000000000004,20651.36,63.74,84218.39,0.2177831630066954
1993,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,123327.0,16775.55,100864.19,19525.02,0.0,36338.23,187596.85,10135.67,0.0,0.0,0.0,0.0,0.0,26575.72,2327.64,,0.0
1998,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11630.09,173160.86,129840.46,32429.93,0.0,4973.54,0.0,0.0,,
1999,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,152743.76,12944.39,127295.82,26986.84,0.0,30561.57,245085.73,17923.32,155896.99,112110.43,36314.61,0.0,4921.5,34232.49,2540.79,265218.43,0.0693560650559318
2000,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,164063.66,12249.32,135487.77,31451.89,0.0,28435.6,271484.1,6362.09,162695.18,118978.94,35207.07,0.0,3986.2,45340.88,2814.62,254200.63,0.0939242661793562
2001,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,202714.09,21845.89,180403.02,42054.68,0.0,24628.06,288997.3,15618.28,164661.0,121712.98,35287.07,0.0,5128.26,17668.15,1923.37,93222.77,0.1292748086927407
2002,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,141667.04,16184.98,130186.52,17806.25,0.0,18713.88,204619.39,478.4,155256.25,120381.0,32291.9,0.0,2607.27,7018.57,1787.55,21306.11,-0.0027162927600352
2003,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,138394.64,31899.26,113511.49,10964.33,0.0,19060.86,202753.39,-1641.14,143825.73,224326.26,27941.75,0.0,3848.18,19454.35,1900.75,61953.96,-5.258250254037677
2004,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,95484.34,22335.38,81776.88,3803.58,0.0,18009.26,149937.45,8150.11,127889.3,95773.85,24733.21,0.0,2391.15,17158.62,1786.34,63216.44,0.2634521265814231
2005,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,95568.88,21720.81,79047.31,1139.65,0.0,17175.69,150218.21,6756.37,135024.34,199792.74,24346.12,0.0,2621.39,23487.61,2299.53,123054.6,-3.557428625276009
2006,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,109416.8,26165.29,77816.51,760.4,0.0,17408.2,156705.06,12422.34,149151.37,105945.46,27714.82,4856.18,1966.82,37633.65,2810.99,219657.37,0.4544594784376864
2007,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,125786.13,25271.36,78689.02,2913.0,0.0,17641.04,168481.13,17879.55,170850.99,118348.11,29125.980000000003,5099.24,2242.26,59548.01,3217.34,325892.21,0.4179675569402541
2008,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,168333.24,44442.97,110458.05,2458.64,0.0,24739.16,229271.3,22494.8,197123.11,270705.5,32872.67,0.0,1970.55,77495.66,4250.52,215927.95,-1.3263691343130652
2009,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,146161.69,41243.21,84461.98,932.74,0.0,23590.72,201193.2,25294.05,199708.07,282273.34,34722.01,6513.52,797.7,79890.99,3956.89,244254.6,-1.3306413948688984
2010,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,147570.99,10776.15,97445.29,6072.14,0.0,25359.76,211302.23,25352.61,190818.08,266513.46,34413.58,6535.98,1045.03,86657.49,3335.89,292039.63,-1.162507842243507
2011,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,142165.38,9891.27,98978.47,4572.1,0.0,29416.83,236960.24,20236.32,212839.89,297561.26,37783.42,7681.06,1159.72,94292.82,3340.92,251768.39,-1.187944352024208
2012,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,155775.13,15487.39,105552.36,14113.33,0.0,33083.16,272976.41,21974.24,228732.13,325142.01,41983.07000000001,8512.91,1703.75,94048.08,3004.02,254527.27,-1.3558056961157976
2013,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,160301.98,14644.05,101155.55,2748.03,0.0,37938.64,291570.64,21471.25,245970.09,350969.37,44458.94,8640.22,2292.3,113306.35,3215.14,356410.22,-1.2281880363871074
2014,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,186695.39,16572.9,116413.76,2637.62,0.0,42231.74,335134.14,24245.53,251157.22,360876.92,47709.15,9452.29,2282.67,121561.97,4079.71,354972.01,-1.195934581581526
2015,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,201193.85,16238.71,140057.79,12853.07,0.0,46638.78,365578.77,30784.13,286079.58,408740.41,56279.01,11336.43,2305.99,128009.14,4481.78,354038.16,-1.2824229766085102
2016,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,181826.12,14717.45,130841.91,8662.91,0.0,40965.29,338587.67,32266.61,284026.77,404377.95,55826.35,10915.06,2191.41,115692.62,4335.77,389616.79,-1.3951189381112248
2017,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,181661.95,16110.34,135161.08,5958.28,2568.79,31219.43,356659.81,31401.58,208263.81,286821.49,47759.490000000005,8373.2,1934.19,121619.53,4349.71,460397.97,-0.9516462907928952
2018,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,188885.18,17130.54,159358.1,17545.2,2246.06,35703.75,383912.47,23803.03,225184.52,311262.94,52441.57,9337.24,2132.83,120527.14,5027.72,344347.01,-1.0458820948866496
2019,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,232258.91,18531.2,177903.05,20076.2,3116.33,34867.8,404754.47,20455.53,246152.57,335593.82,58463.22,10540.1,1891.59,118736.64,3985.39,443564.68,-1.134726666434706
2020,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,164918.71,15139.99,132236.91,11091.22,3388.27,35804.15,352448.76,15932.56,245943.02,343608.77,56672.11,10606.02,2258.6,134544.36,2693.46,501106.31,-1.0637770258956318
2021,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,164641.26,21329.83,137102.71,12188.47,3328.93,35623.1,354557.74,28620.29,248773.02,334814.36,54842.66,10476.92,1272.01,137199.58,3328.93,667649.28,-0.9370275825168858
2022,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,191717.51,16624.66,161926.35,24834.13,3056.51,38314.11,383513.38,12364.76,282900.34,379224.42,60507.58,11202.26,1248.97,125169.88,4016.57,584258.29,-1.1369487279819208
2023,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,215644.52,14503.33,182472.34,26422.21,6770.25,41979.58,414930.99,45265.33,340123.05,443600.22,72382.32,13896.14,2901.62,135911.69,6557.41,845479.27,-1.1571980871641638
2024,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,235940.57,15093.65,166552.97,3318.78,5512.36,45303.68,457901.32,50227.21,328577.28,399282.15,77870.97,13623.12,795.04,163882.03,6501.18,1143841.1,-0.7967202871691408
2013,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,25.27,5.08,14.5,0.0,0.0,2.26,120.73,-10.25,13.17,0.0,18.03,0.0,0.35,74.83,0.0,,-0.0696244821595616
2014,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,224.23,162.81,51.68,0.0,1.58,4.7,383.78,0.91,210.0,0.0,216.6,0.0,1.11,332.11,0.0,320.89,-0.0232151997832043
2015,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,224.59,131.39,65.91,0.0,5.18,3.28,408.35,-18.18,330.56,0.0,336.08,0.0,0.36,332.92,0.0,165.68,-0.0176619007569385
2016,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,157.19,85.59,33.43,0.0,0.0,1.59,327.39,-34.65,231.43,0.0,254.56,0.0,0.0,285.72,0.0,166.47,-0.0809533809323813
2017,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,169.29,79.68,38.54,0.0,0.61,1.31,278.38,-2.17,257.35,0.0,241.98,0.0,0.0,233.5,0.0,158.15,0.0658244111349037
2018,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,152.22,47.12,35.0,0.0,1.37,1.22,264.63,2.54,294.57,0.0,274.04,0.0,0.0,220.76,0.0,175.09,0.0929969197318356
2019,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,414.35,95.95,103.24,0.0,3.26,4.91,557.93,-23.45,482.06,0.0,478.93,0.0,5.5,415.78,0.0,273.92,-0.0057001298763769
2020,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,729.6,262.84,335.69,74.36,7.78,10.4,1021.08,79.75,724.78,0.0,683.16,0.0,2.55,554.11,6.18,879.4,0.069731746060076
2021,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,714.67,174.5,312.6,73.39,3.51,10.01,1013.56,2.52,1295.63,0.0,1199.67,0.0,6.57,587.86,1.0,1007.99,0.1518017865027341
2022,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,840.24,303.44,421.93,130.66,4.3,20.58,1243.45,185.28,1613.06,0.0,1460.7199999999998,0.0,13.56,672.99,-2.64,1597.74,0.2070261803535468
2023,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,1091.89,285.37,613.19,110.94,9.43,107.56,1829.54,121.9,2650.85,0.0,2420.51,0.0,17.58,1021.58,2.67,1615.89,0.2077227239443492
2024,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,1198.1,221.34,776.55,166.31,6.04,116.26,2109.72,95.3,3326.53,0.0,3148.95,0.0,23.83,1126.25,4.02,1248.99,0.1360294442920721
2011,ACADE.ST,AcadeMedia AB,Miscellaneous Educational Service Providers,Industrials,472.0,181.97,618.11,115.08,0.0,141.01,3093.79,0.0,2326.07,290.47,1836.86,0.0,122.17,1233.16,0.0,,0.0620925102987446
2012,ACADE.ST,AcadeMedia AB,Miscellaneous Educational Service Providers,Industrials,655.76,239.61,856.67,135.71,0.0,230.87,4185.43,369.92,4022.71,459.99,3310.28,0.0,163.73,1412.3,0.0,,0.0628124336189198
2013,ACADE.ST,AcadeMedia AB,Miscellaneous Educational Service Providers,Industrials,791.98,305.93,963.04,134.86,0.0,269.72,4549.12,357.37,4478.11,422.03,3715.3,0.0,197.47,1417.41,0.0,,0.1011069485893282
2014,ACADE.ST,AcadeMedia AB,Miscellaneous Educational Service Providers,Industrials,1115.44,515.52,1670.41,370.59,0.0,850.34,6568.8,572.59,5884.75,536.57,4901.19,0.0,167.16,2007.98,0.0,,0.1393589577585437
2015,ACADE.ST,AcadeMedia AB,Miscellaneous Educational Service Providers,Industrials,1293.43,658.08,2026.31,606.95,30.3,797.27,6864.82,628.67,7502.63,647.97,6306.879999999999,0.0,200.36,2181.59,0.0,,0.159250821648431
2016,ACADE.ST,AcadeMedia AB,Miscellaneous Educational Service Providers,Industrials,1016.31,327.23,1927.82,512.11,14.83,1019.27,7087.45,541.6,8604.58,801.4,7236.599999999999,0.0,120.91,2955.99,0.0,4978.37,0.1507684396767245
2017,ACADE.ST,AcadeMedia AB,Miscellaneous Educational Service Providers,Industrials,1261.6,573.37,2071.64,444.63,12.87,1264.57,7772.63,791.79,9081.68,759.35,7714.66,0.0,65.82,3409.5,0.0,5326.67,0.1589235958351665
2018,ACADE.ST,AcadeMedia AB,Miscellaneous Educational Service Providers,Industrials,1419.72,636.14,2526.37,534.21,33.67,1454.3,8539.25,893.6,10409.26,885.89,8878.21,0.0,64.51,3878.75,0.0,4664.64,0.1497002900418953
2019,ACADE.ST,AcadeMedia AB,Miscellaneous Educational Service Providers,Industrials,1380.6,484.4,2409.15,464.18,39.52,1761.13,8934.36,633.72,10853.86,923.71,9328.86,0.0,53.74,4218.08,0.0,5069.94,0.1298102454197172
2020,ACADE.ST,AcadeMedia AB,Miscellaneous Educational Service Providers,Industrials,1271.16,544.78,3347.11,278.58,7.22,1768.48,17043.03,2449.25,11921.74,964.74,10047.64,0.0,401.24,4959.79,0.0,6844.77,0.102447885898395
2021,ACADE.ST,AcadeMedia AB,Miscellaneous Educational Service Providers,Industrials,1637.25,971.49,3611.41,196.11,0.0,1845.43,17499.89,2936.16,13638.01,1145.02,11290.71,0.0,408.94,5335.15,0.0,8579.58,0.1487005988585136
