variable,coef,robust_t,robust_p,std_beta,drop_in_R2,nested_F,nested_F_p,abs_std_beta
PPE_scaled,-0.29817806343666364,-0.76765110574837,0.442694491623133,-0.4477249977454701,0.024051772435103258,6393.3865906864,0.0,0.4477249977454701
CFO_t_scaled,-1.1272349113657438,-0.506065850335196,0.612810422921861,-1.2298882386151193,0.008904532874645987,2366.982359852982,0.0,1.2298882386151193
CFO_t-1_scaled,2.5105078278190485,1.6969281518016317,0.08971024491248758,0.1933164473141745,0.004554525423607014,1210.6734274489706,1.7932211686612935e-248,0.1933164473141745
CFO_t+1_scaled,-0.19099970599886773,-0.15898463090477014,0.8736809825779623,-0.3260756929574622,0.0005802593351895702,154.24319611918946,4.063761776351614e-35,0.3260756929574622
