Year,n_obs,coef_CFO_t+1,t_CFO_t+1,p_CFO_t+1,R2_full,R2_no_lead,incremental_R2_CFO_t+1
1999,23,0.2383166909490262,0.7667730662494011,0.4432164527010619,0.6077699410755134,0.5458476754876498,0.06192226558786362
2000,25,-0.11841719608473468,-0.29078632265855925,0.7712147464986387,0.02156668177522103,0.010393321060211291,0.01117336071500974
2001,30,-0.4111262637857009,-1.512456846503432,0.13041768277325808,0.24470511494756153,0.14331691149271397,0.10138820345484756
2002,33,0.06032192852837237,0.20807529704928185,0.8351701751199653,0.36934967715050404,0.34958007164879146,0.019769605501712584
2003,35,-0.2208271538424286,-0.8241829108570371,0.409835635589171,0.36399366465461325,0.058165206804257186,0.30582845785035606
2004,53,0.8930092999428507,1.447729165838111,0.14769280975576773,0.5060039064845481,0.3461283874995883,0.15987551898495977
2005,250,-0.05031990104270943,-0.35142801433332493,0.7252672686003871,0.017546593784669384,0.016196651101007875,0.0013499426836615092
2006,291,0.0032314672580946655,0.01744176949242766,0.9860841869797455,0.059172560057475954,0.05915084711560259,2.1712941873364144e-05
2007,308,1.2691627798810032,0.7493973669489633,0.4536177375054524,0.9988026582037681,0.9970887572777757,0.0017139009259924398
2008,324,0.28286476069673183,2.1643666621479474,0.03043622029976175,0.09263319580409224,0.019214258767713877,0.07341893703637836
2009,337,0.1034062035849236,0.49211229555889124,0.6226399606131832,0.023241436833801532,0.016097768268874546,0.007143668564926986
2010,357,0.007881591398898009,0.031194619776762897,0.9751143306241058,0.11552194060327359,0.11546308723497134,5.885336830224741e-05
2011,374,0.21371427190050918,1.0881513777048195,0.2765282855342033,0.17563273867396123,0.15316025294387126,0.022472485730089975
2012,386,0.13154141034456096,1.1127893256762826,0.2657989208903918,0.1155425178432129,0.09992247602160875,0.015620041821604147
2013,420,0.10477808311824335,2.0503303461089826,0.040332205217991905,0.1931329475785556,0.05551924058934943,0.13761370698920616
2014,433,-0.024364839269154767,-0.20278066766354116,0.8393064689798952,0.7868065288862389,0.7860241330519787,0.0007823958342602078
2015,463,0.09432141627126925,0.7578983856423681,0.44851181680329355,0.16414763925765907,0.13827654444079063,0.025871094816868445
2016,492,0.21482307319972818,1.2206180334230843,0.22223067520141726,0.9920613191775052,0.9870836645578233,0.004977654619681915
2017,513,-0.006607037234940133,-0.023639284988944183,0.9811403360082801,0.11233121972053617,0.11228334234738957,4.787737314659868e-05
2018,529,-0.18761038703772875,-0.9226622894910612,0.35618322371698075,0.7545886628147819,0.7422193860296755,0.012369276785106353
2019,556,0.11725975874491598,0.4376488574436791,0.6616408483286683,0.08649010423137471,0.05855982749852984,0.027930276732844872
2020,575,-0.041459598870901,-0.47066524930899106,0.637879804094343,0.03987441930678459,0.034334841991853216,0.0055395773149313765
2021,604,0.41241659763888955,1.0984981412551138,0.27198702885982073,0.9999615508253503,0.9998847242315021,7.682659384822266e-05
2022,621,0.35580351232041435,2.889295354590745,0.003861062318158943,0.08797649615490966,0.02475623568386942,0.06322026047104023
2023,619,0.0006189497962734384,0.007493998810284164,0.9940207100168239,0.10804483639326756,0.10804439230849994,4.440847676256965e-07
