FormationYear,n_firms,mu_t,var_obs_t,avg_obs_var_i,tau2_t,median_sigma,tau2_at_floor
2014,141,0.1744477760229303,0.05266748231303295,0.0053797824354907394,0.04728769987754221,0.0473022938353705,False
2015,159,0.20210259419557466,0.05109588141768789,0.006171634918450204,0.04492424649923768,0.0447887586174045,False
2016,170,0.16807957460820416,0.19313066936309126,0.023227360908916438,0.1699033084541748,0.039698565627201046,False
2017,190,0.19419199874764886,0.14359670238374667,0.017687648620609415,0.12590905376313724,0.037562184830215006,False
2018,200,0.18474809199508457,0.1024220825887608,0.015197059210859357,0.08722502337790144,0.03674034652139695,False
2019,226,0.1683158904202394,0.10720614778607478,0.017301404070078498,0.08990474371599627,0.0362170211163658,False
2020,243,0.1709832471256192,0.12847715978146687,0.02398981165589265,0.10448734812557423,0.0341192345733139,False
2021,262,0.1497269652316867,0.08352134819870609,0.01236877832681557,0.07115256987189052,0.036106939196094145,False
2022,281,0.17572326734304614,0.17419007707847048,0.025353828844722058,0.1488362482337484,0.0351325607387453,False
2023,308,0.17593655967458482,0.12373891608637262,0.01889923932192376,0.10483967676444886,0.03674427432651775,False
2024,328,0.2769557876273803,3.8177838659714856,0.5640806799971233,3.2537031859743624,0.03650752582414895,False
2025,350,0.16581241968849003,0.26153713922827837,0.040471417207271626,0.22106572202100674,0.03640031296047885,False
