PortfolioStrategy,Method,MethodLabel,annualized_return,annualized_excess_return,volatility_ann,excess_volatility_ann,sharpe_ratio,max_drawdown,n_obs
Q5,Method1_ObservedQuality,Observed Quality,0.13818654686660659,0.11904541211483402,0.12586396977351108,0.12617382610939262,0.9435032271401655,-0.2075890820928208,141
Q5,Method2_LatentQuality,Latent Quality,0.13515537575799708,0.11601424100622454,0.12818284251525028,0.1283974747602815,0.9035554727444874,-0.21701327019967043,141
Q5,Method3_ConservativeQuality,Conservative Quality,0.1409947760095866,0.12185364125781405,0.12758237453819093,0.12784531493363335,0.9531334122104538,-0.2088382069144975,141
Q5,Method4_ProbabilisticQuality,Probabilistic Quality,0.13589859009797958,0.11675745534620699,0.12557227310893002,0.12587629956255825,0.92755709972377,-0.21112230256109144,141
LongShort,Method1_ObservedQuality,Observed Quality,0.02511000975158968,0.02511000975158968,0.1046360379227854,0.1046360379227854,0.23997477590005112,-0.27226302002327674,141
LongShort,Method2_LatentQuality,Latent Quality,0.024223477288347367,0.024223477288347367,0.10550424579497286,0.10550424579497286,0.22959717977057548,-0.2585448983947153,141
LongShort,Method3_ConservativeQuality,Conservative Quality,0.03790550128706913,0.03790550128706913,0.10702101991684503,0.10702101991684503,0.3541874420232733,-0.2920409625240301,141
LongShort,Method4_ProbabilisticQuality,Probabilistic Quality,0.022105663991597108,0.022105663991597108,0.10457369378497551,0.10457369378497551,0.2113883825988856,-0.285793423110115,141
