PortfolioStrategy,FactorModel,Comparison,alpha_difference_annualized,alpha_difference_monthly,t_stat,p_value,Gamma
LongShort,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0084328895707498,0.0007027407975624,0.1308811976128062,0.8959396600712499,0.15
LongShort,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0082433701937526,0.000686947516146,0.1480819104686873,0.882358791230013,0.15
LongShort,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0039802242542043,0.000331685354517,0.062078991219344,0.9505336298009556,0.15
LongShort,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0060342126509312,0.0005028510542442,0.1374657718928533,0.8907382368477281,0.15
LongShort,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0016086764050453,0.0001340563670871,0.0316298421309129,0.9747845804749518,0.15
Q5,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0033965193851106,-0.0002830432820925,-0.2173036927471262,0.8280901769811169,0.15
Q5,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0036811485242389,-0.0003067623770199,-0.2515580083847046,0.8015223784394512,0.15
Q5,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0041245355189979,-0.0003437112932498,-0.2460865316867972,0.8057524473583908,0.15
Q5,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0037225152916516,-0.0003102096076376,-0.2616889884851929,0.793708436235852,0.15
Q5,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.004416748662866,-0.0003680623885721,-0.2771633010154334,0.7818120498588019,0.15
LongShort,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0088953402946135,0.0007412783578844,0.13894153779381,0.8895711302428482,0.2
LongShort,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0089536442266353,0.0007461370188862,0.1621940912552988,0.8712415503784403,0.2
LongShort,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,4.2392762228251474e-05,3.532730185687623e-06,0.0006697420520977,0.9994659861009588,0.2
LongShort,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0050959976295544,0.0004246664691295,0.1177467810601523,0.9063328889021358,0.2
LongShort,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0035247012390964,-0.000293725103258,-0.0709810461021023,0.9434518220373712,0.2
Q5,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.003043024905577,-0.000253585408798,-0.1897741275328152,0.8495890842498348,0.2
Q5,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0031510032292326,-0.000262583602436,-0.2112313813410149,0.8328230174323799,0.2
Q5,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0020322634871986,-0.0001693552905998,-0.120608576813754,0.9040668975885816,0.2
Q5,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0030901755993429,-0.0002575146332785,-0.2127589367416406,0.8316334428841932,0.2
Q5,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0021838733415063,-0.0001819894451255,-0.1364744362254888,0.8915216805064097,0.2
LongShort,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0123877400371314,0.0010323116697609,0.1942047239318805,0.8461210245457413,0.3
LongShort,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0123793531385488,0.0010316127615457,0.2274027827122982,0.8202361564765441,0.3
LongShort,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0080310203036099,0.0006692516919674,0.1278578803556938,0.8983312837144364,0.3
LongShort,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0096161727141559,0.0008013477261796,0.2263110314151884,0.8210858533088858,0.3
LongShort,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0051113590393213,0.0004259465866101,0.1053396938366313,0.9161642904138336,0.3
Q5,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0038478398396651,-0.000320653319972,-0.2395582181896666,0.8108039908807809,0.3
Q5,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0039521207771829,-0.0003293433980985,-0.2644469473417067,0.7915827821373917,0.3
Q5,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0020698969303394,-0.0001724914108616,-0.1227876266199408,0.9023423015705948,0.3
Q5,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0032716301030343,-0.0002726358419195,-0.2246043979719817,0.8224123811641897,0.3
Q5,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0017021876088389,-0.0001418489674032,-0.1062128557390346,0.915471980848404,0.3
LongShort,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0179353369592573,0.0014946114132714,0.2812600324310335,0.7786665052293271,0.4
