PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs,Gamma
LongShort,CAPM,Method3_ConservativeQuality,0.102232012113908,0.0085193343428256,2.284945613093689,0.0234385948166671,0.017297577188602,189,0.10
LongShort,FF3,Method3_ConservativeQuality,0.1194785046112236,0.0099565420509353,3.100438391853503,0.0022345834724344,0.3620696471863907,189,0.10
LongShort,FF3+MOM,Method3_ConservativeQuality,0.0659732262184961,0.0054977688515413,1.478882884241958,0.1408815251006856,0.3932204238442938,189,0.10
LongShort,FF5,Method3_ConservativeQuality,0.0772899208109977,0.0064408267342498,2.572259598973239,0.0108970351374695,0.6036328363733454,189,0.10
LongShort,FF5+MOM,Method3_ConservativeQuality,0.0414261341074245,0.0034521778422853,1.184720305980715,0.2376727993378411,0.6182555130954868,189,0.10
Q5,CAPM,Method3_ConservativeQuality,0.0132711857237499,0.0011059321436458,1.105278950469274,0.2704587543199461,0.9245504503440224,189,0.10
Q5,FF3,Method3_ConservativeQuality,0.015982903386625,0.001331908615552,1.4112809181968968,0.1598413314821989,0.9338478169964924,189,0.10
Q5,FF3+MOM,Method3_ConservativeQuality,0.0189717339376844,0.0015809778281403,1.507545129224525,0.1333859941383259,0.9339795727105608,189,0.10
Q5,FF5,Method3_ConservativeQuality,0.0072429250462967,0.0006035770871913,0.6623856610368313,0.5085574238554127,0.9415741804240704,189,0.10
Q5,FF5+MOM,Method3_ConservativeQuality,0.0116177606430763,0.0009681467202563,0.9839198722738784,0.3264610958701377,0.9418691174629872,189,0.10
LongShort,CAPM,Method3_ConservativeQuality,0.097140124979709,0.0080950104149757,2.1358858849152464,0.0339893553449657,0.0145300136822045,189,0.15
LongShort,FF3,Method3_ConservativeQuality,0.1146730932216568,0.0095560911018047,3.0363825943740905,0.0027398953694095,0.3665382659829441,189,0.15
LongShort,FF3+MOM,Method3_ConservativeQuality,0.0601467123635055,0.0050122260302921,1.381792183743467,0.168710881526785,0.3981457866540345,189,0.15
LongShort,FF5,Method3_ConservativeQuality,0.0726444767447882,0.006053706395399,2.537390296350196,0.0120027371528546,0.6096100639375361,189,0.15
