PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs,Gamma
LongShort,FF5+MOM,Method3_ConservativeQuality,0.036069518082459,0.0030057931735382,1.100383454113926,0.272618364685081,0.6244688641398473,189,0.15
Q5,CAPM,Method3_ConservativeQuality,0.0106685178122783,0.0008890431510231,0.8728265300042841,0.3838770117701413,0.9246998962641568,189,0.15
Q5,FF3,Method3_ConservativeQuality,0.0133972923527296,0.0011164410293941,1.1574760178318726,0.2485701656631955,0.9344206793057618,189,0.15
Q5,FF3+MOM,Method3_ConservativeQuality,0.0171585483873306,0.0014298790322775,1.3549998789365596,0.1770788104242755,0.9346292582157644,189,0.15
Q5,FF5,Method3_ConservativeQuality,0.0051121588609364,0.0004260132384113,0.4550185549820189,0.6496352354511981,0.941313068338453,189,0.15
Q5,FF5+MOM,Method3_ConservativeQuality,0.0102480432872198,0.0008540036072683,0.8643041707340743,0.388558510397508,0.941719393814444,189,0.15
LongShort,CAPM,Method3_ConservativeQuality,0.1067029359242832,0.0088919113270236,2.384419183389842,0.0181064438121658,0.0129529319355955,189,0.20
LongShort,FF3,Method3_ConservativeQuality,0.1241521286542573,0.0103460107211881,3.2753910360178558,0.0012597215097511,0.3727212748401086,189,0.20
LongShort,FF3+MOM,Method3_ConservativeQuality,0.0685444839468731,0.005712040328906,1.5419829376865724,0.124795791233258,0.4055119213498648,189,0.20
LongShort,FF5,Method3_ConservativeQuality,0.0816788158819685,0.006806567990164,2.803813759400956,0.0055951605475832,0.613619027273623,189,0.20
LongShort,FF5+MOM,Method3_ConservativeQuality,0.0439514674184746,0.0036626222848728,1.2973878049134482,0.1961398866768335,0.6293890571015366,189,0.20
Q5,CAPM,Method3_ConservativeQuality,0.0110484979614348,0.0009207081634529,0.8957851575747564,0.3715191644373288,0.9226606165866056,189,0.20
Q5,FF3,Method3_ConservativeQuality,0.013913718834909,0.0011594765695757,1.2052534445986076,0.2296448760348,0.9332164031684634,189,0.20
Q5,FF3+MOM,Method3_ConservativeQuality,0.0174136987307204,0.0014511415608933,1.3678360648759766,0.1730316330784924,0.9333905397363024,189,0.20
Q5,FF5,Method3_ConservativeQuality,0.0062455167851989,0.0005204597320999,0.5586728804624909,0.57706794844317,0.9388819011600776,189,0.20
Q5,FF5+MOM,Method3_ConservativeQuality,0.0111266759673877,0.0009272229972823,0.930952955490115,0.353111121971585,0.9392357711981086,189,0.20
LongShort,CAPM,Method3_ConservativeQuality,0.1063641072787722,0.0088636756065643,2.363004424867463,0.0191540941148609,0.0072400046061621,189,0.30
LongShort,FF3,Method3_ConservativeQuality,0.1231145743505335,0.0102595478625444,3.200247011541314,0.0016160632309265,0.3627067371438957,189,0.30
LongShort,FF3+MOM,Method3_ConservativeQuality,0.0670643229698491,0.0055886935808207,1.5131751361938746,0.1319509147063136,0.3972913024079262,189,0.30
LongShort,FF5,Method3_ConservativeQuality,0.0811794112448934,0.0067649509370744,2.617983519312326,0.0095857326564581,0.5954299579551381,189,0.30
LongShort,FF5+MOM,Method3_ConservativeQuality,0.0423510056567375,0.0035292504713947,1.2517394631876897,0.2122711892225166,0.6127706041100537,189,0.30
Q5,CAPM,Method3_ConservativeQuality,0.0112744063672858,0.0009395338639404,0.9122154689319,0.3628298040046152,0.9255984668844216,189,0.30
Q5,FF3,Method3_ConservativeQuality,0.0139581882621772,0.0011631823551814,1.205029911460187,0.2297309459061807,0.9347170003386912,189,0.30
Q5,FF3+MOM,Method3_ConservativeQuality,0.018425165962015,0.0015354304968345,1.3922010477947344,0.1655418526487178,0.9350002434113548,189,0.30
Q5,FF5,Method3_ConservativeQuality,0.0063446074920748,0.0005287172910062,0.5664554976094505,0.5717782196358114,0.9403019270220192,189,0.30
Q5,FF5+MOM,Method3_ConservativeQuality,0.0121140704791088,0.001009505873259,0.9775446854766544,0.3295971373979869,0.9407956024158836,189,0.30
