PortfolioStrategy,Method,MethodLabel,annualized_return,annualized_excess_return,volatility_ann,excess_volatility_ann,sharpe_ratio,max_drawdown,n_obs,Gamma
Q5,Method1_ObservedQuality,Observed Quality,0.1361661839749909,0.1166403428638803,0.1177959124968449,0.1180680492310713,0.9879077669488988,-0.2004337329536688,189,0.15
Q5,Method3_ConservativeQuality,Conservative Quality,0.1337374427401646,0.1142116016290539,0.118885898135249,0.1191305857549198,0.958709309664729,-0.2029409634744784,189,0.15
LongShort,Method1_ObservedQuality,Observed Quality,0.0776902860495396,0.0776902860495396,0.1350084393670145,0.1350084393670145,0.5754476269319876,-0.2723471874043668,189,0.15
LongShort,Method3_ConservativeQuality,Conservative Quality,0.0858603151423074,0.0858603151423074,0.1362082034091123,0.1362082034091123,0.6303608225740932,-0.2880233885151143,189,0.15
Q5,Method1_ObservedQuality,Observed Quality,0.1361661839749909,0.1166403428638803,0.1177959124968449,0.1180680492310713,0.9879077669488988,-0.2004337329536688,189,0.2
Q5,Method3_ConservativeQuality,Conservative Quality,0.1338064965093092,0.1142806553981986,0.1185691573677398,0.1188454922239898,0.961590155921204,-0.2029409634744783,189,0.2
LongShort,Method1_ObservedQuality,Observed Quality,0.0776902860495396,0.0776902860495396,0.1350084393670145,0.1350084393670145,0.5754476269319876,-0.2723471874043668,189,0.2
LongShort,Method3_ConservativeQuality,Conservative Quality,0.0862898375983312,0.0862898375983312,0.1402430623968042,0.1402430623968042,0.6152877448881034,-0.2945935274902799,189,0.2
Q5,Method1_ObservedQuality,Observed Quality,0.1361661839749909,0.1166403428638803,0.1177959124968449,0.1180680492310713,0.9879077669488988,-0.2004337329536688,189,0.3
Q5,Method3_ConservativeQuality,Conservative Quality,0.1332506834038103,0.1137248422926997,0.1186858235274571,0.1189795584794582,0.9558351345902352,-0.1992925437624422,189,0.3
LongShort,Method1_ObservedQuality,Observed Quality,0.0776902860495396,0.0776902860495396,0.1350084393670145,0.1350084393670145,0.5754476269319876,-0.2723471874043668,189,0.3
LongShort,Method3_ConservativeQuality,Conservative Quality,0.0894861416674259,0.0894861416674259,0.139013509317582,0.139013509317582,0.6437226288776812,-0.2728881042604486,189,0.3
Q5,Method1_ObservedQuality,Observed Quality,0.1361661839749909,0.1166403428638803,0.1177959124968449,0.1180680492310713,0.9879077669488988,-0.2004337329536688,189,0.4
Q5,Method3_ConservativeQuality,Conservative Quality,0.1355572791868695,0.1160314380757589,0.1202228730219841,0.1204825764856868,0.9630557501361476,-0.2058515096958469,189,0.4
LongShort,Method1_ObservedQuality,Observed Quality,0.0776902860495396,0.0776902860495396,0.1350084393670145,0.1350084393670145,0.5754476269319876,-0.2723471874043668,189,0.4
LongShort,Method3_ConservativeQuality,Conservative Quality,0.0960917383604151,0.0960917383604151,0.1389073415110596,0.1389073415110596,0.691768608592689,-0.2729193232047847,189,0.4
Q5,Method1_ObservedQuality,Observed Quality,0.1361661839749909,0.1166403428638803,0.1177959124968449,0.1180680492310713,0.9879077669488988,-0.2004337329536688,189,0.5
Q5,Method3_ConservativeQuality,Conservative Quality,0.136482479886383,0.1169566387752724,0.1212986966077227,0.1215554458689425,0.9621670007394948,-0.2113548436743731,189,0.5
LongShort,Method1_ObservedQuality,Observed Quality,0.0776902860495396,0.0776902860495396,0.1350084393670145,0.1350084393670145,0.5754476269319876,-0.2723471874043668,189,0.5
LongShort,Method3_ConservativeQuality,Conservative Quality,0.0906059638743038,0.0906059638743038,0.1362700029265812,0.1362700029265812,0.6649002856712349,-0.3036256621003214,189,0.5
