FormationYear,n_firms,mu_t,var_obs_t,avg_obs_var_i,tau2_t,q5_cutoff_obs,median_cutoff_obs,q1_cutoff_obs,median_sigma_raw,sigma_input_col,n_sigma_draws_used,tau2_floor_share
2010,312,0.11508326208917896,0.45087357972713193,0.03304209064497037,0.41783148908216156,0.35323361760037514,0.1447629666046798,-0.04178675697699122,0.1187919939678988,sigma_mean,1,0.0
2011,323,0.12137756737293512,1.0813948848383437,0.07455417612411906,1.0068407087142246,0.35716747595486653,0.1596840420349363,-0.02575978189351763,0.1125042583667867,sigma_mean,1,0.0
2012,337,0.0984680481771584,0.364450488219796,0.02787246049416597,0.33657802772563,0.34448740537157024,0.1650873386712112,-0.011187852363482879,0.1032196254125939,sigma_mean,1,0.0
2013,351,0.0708174236571791,0.40741687747756306,0.031773290258812786,0.37564358721875024,0.3151515473841522,0.1227721959098751,-0.0213436145549842,0.0940115238780164,sigma_mean,1,0.0
2014,364,0.051391829542892155,0.6864673554697251,0.05140435110773943,0.6350630043619857,0.26440349072882224,0.106955210305272,-0.04335943138574849,0.086286272707865,sigma_mean,1,0.0
2015,376,0.1524870170495157,1.1762923118045194,0.09232852311349332,1.083963788691026,0.3019779578132983,0.12685999813221485,-0.0075242940262589,0.08017435357472766,sigma_mean,1,0.0
2016,399,0.04008419442116522,1.3687476686128381,0.10983490675414756,1.2589127618586906,0.2780031321456135,0.1188392632892891,-0.026203550795175588,0.0724777070344642,sigma_mean,1,0.0
2017,429,0.12180367571394159,0.564870318317524,0.042105577279254534,0.5227647410382694,0.3130359421260289,0.1359934093947215,-0.020234531626292646,0.0771274947101421,sigma_mean,1,0.0
2018,443,0.050698035802394494,0.3208778625998575,0.027280735286670153,0.2935971273131874,0.28563519609879623,0.1108761629931835,-0.028220584524213412,0.0692638338770282,sigma_mean,1,0.0
2019,478,0.0654837325334686,0.934760479545971,0.08204690050449537,0.8527135790414756,0.29578314218814633,0.1106726536799088,-0.02378933323525893,0.07143073848088805,sigma_mean,1,0.0
2020,502,-0.26720923454203876,34.8275755787413,2.978358059266886,31.84921751947442,0.2954029770740033,0.1208822440093868,-0.023958348274353555,0.08007293144884081,sigma_mean,1,0.0
2021,525,0.07684769324426026,0.1928416741520648,0.016458948193352467,0.17638272595871232,0.2682947168919225,0.0996466838003213,-0.05362808113085573,0.0855503145131496,sigma_mean,1,0.0
2022,540,0.06321902969871686,0.4694859897229268,0.03923720920046617,0.4302487805224606,0.296563298130274,0.1207506540449097,-0.03389795412025862,0.08728554197648986,sigma_mean,1,0.0
2023,568,-0.20125305270584765,54.588305359287,4.71127046062661,49.87703489866039,0.2879705852072393,0.1287151604159481,-0.0295439052764898,0.0869296942012114,sigma_mean,1,0.0
2024,587,0.16135429518322722,2.7946747356412605,0.24646565362972556,2.548209082011535,0.28715185916643654,0.1065024556368932,-0.02014104451941154,0.0786648453690476,sigma_mean,1,0.0
2025,612,0.09128858029349661,0.5669210502768152,0.05390121523775543,0.5130198350390598,0.2627484274705752,0.0905701123927164,-0.0328749329183594,0.07671719874742855,sigma_mean,1,0.0
