Ticker,FormationYear,theta_obs,theta_post_mean,p_q5,p_median,sigma_acc,MarketCap,Method,SignalUsed,PortfolioNum,Portfolio
BNOR.OL,2010,-0.077674076223329,-0.0929636161167707,0.0002854740729107,0.0332182126410982,0.0423665962091636,3409.22,Method1_Raw,theta_obs,1,Q1
BO.CO,2010,-1.0411098383606978,-1.067522134863809,0.0,0.0,0.0220694816292328,1924.6,Method1_Raw,theta_obs,1,Q1
BOREO.HE,2010,-0.0453757680794075,-0.122013241538206,0.067412175613522,0.2006222457173947,0.1380158214094203,59.42,Method1_Raw,theta_obs,1,Q1
CARLb.CO,2010,-0.3373168662278126,-0.391391903310291,1.4107495907023091e-06,0.0003728448941457,0.0531821299686865,65590.11,Method1_Raw,theta_obs,1,Q1
CRADb.ST,2010,-0.4199834162520729,-0.8508678362750741,0.001762861076045,0.007919922047887,0.2935416007052074,132.63,Method1_Raw,theta_obs,1,Q1
CTH1V.HE,2010,-0.2510521175530496,-0.3124067192996779,0.0002032088096064,0.0075810241472559,0.0647613555127697,596.54,Method1_Raw,theta_obs,1,Q1
DANT.CO,2010,-0.2057528617552099,-0.2537880639185201,0.000323205797138,0.0125524147863191,0.0605679731965882,32.0,Method1_Raw,theta_obs,1,Q1
DNO.OL,2010,-0.0682206879077721,-0.1236194845550099,0.0296359474415734,0.1442143794533162,0.0949931502683934,4587.62,Method1_Raw,theta_obs,1,Q1
EMGS.OL,2010,-2.862136328751831,-5.572657508188707,0.0,0.0,0.4601530811384113,622.46,Method1_Raw,theta_obs,1,Q1
ENH.OL,2010,-0.2429445665735843,-0.2719723339967749,9.004014647207015e-07,0.0007299701399737,0.0428740958171003,458.43,Method1_Raw,theta_obs,1,Q1
ETTE.HE,2010,-0.1777413740145388,-0.2281208804823632,0.0011528274291425,0.0253009938156315,0.0657970418091458,463.6,Method1_Raw,theta_obs,1,Q1
FIA1S.HE,2010,-0.2639959324401593,-0.5260058500115694,0.0107321850694253,0.0396771587037136,0.2159352498025604,3847.34,Method1_Raw,theta_obs,1,Q1
HONBS.HE,2010,-0.0847192330268049,-0.0978140256580124,6.376109878181158e-05,0.01967790490594,0.0382256026871241,70.91,Method1_Raw,theta_obs,1,Q1
ICP1V.HE,2010,-0.8482410179640716,-0.9321467139045334,0.0,1.1102230246251563e-15,0.0445845152068066,67.69,Method1_Raw,theta_obs,1,Q1
KOA.OL,2010,-0.5161357681245325,-0.757410587798759,4.685285042604903e-05,0.0007540816816348,0.1135379131824885,2261.63,Method1_Raw,theta_obs,1,Q1
MEDIVIR.ST,2010,-0.3080568720379146,-0.6563692525854974,0.0077657722199078,0.027422985346422,0.3114147997666994,1314.62,Method1_Raw,theta_obs,1,Q1
METSB.HE,2010,-0.4190806016579913,-0.5379234691416742,1.9926213725374176e-05,0.0008240400232032,0.0772112820426114,3980.38,Method1_Raw,theta_obs,1,Q1
MGN.OL,2010,-0.1158458207606675,-0.1797088663560601,0.0137721689892905,0.0898482348118718,0.0892415024766035,3041.88,Method1_Raw,theta_obs,1,Q1
NEL.OL,2010,-0.7827715355805241,-0.9183247685367122,5.548894677076532e-13,1.3450964786443363e-09,0.06086640908827,169.29,Method1_Raw,theta_obs,1,Q1
NEOBO.ST,2010,-3.1948548583347818,-5.146368568761727,0.0,0.0,0.1730032298272112,153.17,Method1_Raw,theta_obs,1,Q1
NKR.OL,2010,-0.2167371885284436,-0.3226506789721065,0.0046420529310821,0.0360070807538722,0.0988318627131898,111.62,Method1_Raw,theta_obs,1,Q1
NORTHM.CO,2010,-1.4779762283099214,-1.9069617960837963,0.0,0.0,0.0876228161050325,505.17,Method1_Raw,theta_obs,1,Q1
NOTE.ST,2010,-0.4518426939832804,-0.6017912831792949,2.6953253215888928e-05,0.000798209380325,0.0865567810138555,165.86,Method1_Raw,theta_obs,1,Q1
NRC.OL,2010,-0.1273350250168452,-0.1551883810405865,0.0005539517158408,0.0271632966497946,0.0520050526824704,535.43,Method1_Raw,theta_obs,1,Q1
NTGNT.CO,2010,-0.134715461443822,-0.3231525751321364,0.0451867837096269,0.1207001195431334,0.2529420275416832,2092.77,Method1_Raw,theta_obs,1,Q1
OUT1V.HE,2010,-0.1798834719915625,-0.2437803196125283,0.0026412738763336,0.0347393768030923,0.0759021690776183,20016.11,Method1_Raw,theta_obs,1,Q1
PARKSTa.CO,2010,-0.203011047729078,-0.2119816080427074,1.2501111257279265e-13,1.9241863564722905e-06,0.0245883703144478,209.22,Method1_Raw,theta_obs,1,Q1
PREC.ST,2010,-0.1965160587915079,-0.3059866528595827,0.0077929532255126,0.0490985392085382,0.1062235627087129,245.7,Method1_Raw,theta_obs,1,Q1
PREVb.ST,2010,-0.146052844869509,-0.2720206197362208,0.0251392352586434,0.0959645509894862,0.1393408314791264,143.45,Method1_Raw,theta_obs,1,Q1
PSE.OL,2010,-0.0959170884550493,-0.1803282186975818,0.0332994541776083,0.131857240152017,0.1178657547247589,384.79,Method1_Raw,theta_obs,1,Q1
RAUTE.HE,2010,-0.2157949790794979,-0.31385669039798,0.0038541577862813,0.0334844135957773,0.0936761372769529,176.81,Method1_Raw,theta_obs,1,Q1
REACH.OL,2010,-0.3446974484913052,-0.361510993277624,2.220446049250313e-16,4.2824966905996575e-09,0.0281209521043717,369.28,Method1_Raw,theta_obs,1,Q1
RECSI.OL,2010,-0.315039328168431,-0.6013037707048814,0.0054750529648961,0.0233718245888695,0.2036116473018344,29748.37,Method1_Raw,theta_obs,1,Q1
REKA.HE,2010,-0.2074163400663251,-0.4164025880368927,0.0188092302979738,0.0647780894520709,0.1958490739204411,332.59,Method1_Raw,theta_obs,1,Q1
RIASb.CO,2010,-1.1203384708371107,-1.680638740877979,2.5631496924916064e-11,1.8838161031098366e-09,0.1314938994729919,71.94,Method1_Raw,theta_obs,1,Q1
RROS.ST,2010,-0.0448406573451969,-0.0888533135759368,0.0334408816214338,0.1664351293878252,0.0889430701991056,856.38,Method1_Raw,theta_obs,1,Q1
RTX.CO,2010,-0.285925358432746,-0.3700753855684308,0.0002979447110573,0.0072649618482338,0.0743841717183732,80.82,Method1_Raw,theta_obs,1,Q1
SCHO.CO,2010,-0.0418836805555559,-0.0658596679253364,0.0098561736532469,0.1206234387077345,0.0612862917101392,2686.44,Method1_Raw,theta_obs,1,Q1
SIGR.CO,2010,-0.3781945520051174,-0.7955197915478935,0.0033059024974264,0.0131099339155603,0.3383391251841455,293.95,Method1_Raw,theta_obs,1,Q1
SINT.ST,2010,-0.0462555066079294,-0.1473792229703177,0.0845643068128729,0.2111570898437333,0.1870510382114702,264.71,Method1_Raw,theta_obs,1,Q1
SKAKO.CO,2010,-0.4333274304940676,-0.8180443167263195,0.0011793362359219,0.0062154762214842,0.2212792277103529,69.96,Method1_Raw,theta_obs,1,Q1
SOSI1.HE,2010,-8.000000000000002,-10.26919796898309,0.0,0.0,0.0899284679246538,7.24,Method1_Raw,theta_obs,1,Q1
SSABAH.HE,2010,-0.0423041653553245,-0.0661122518347342,0.0095255268667979,0.1192016540053051,0.0609366736449187,25348.91,Method1_Raw,theta_obs,1,Q1
SSABa.ST,2010,-0.0909191483651224,-0.1137733796884843,0.0011485713080058,0.0457195134421465,0.050988020649483,25348.91,Method1_Raw,theta_obs,1,Q1
STWK.ST,2010,-0.3492671927846674,-0.644066659776581,0.0032469831386739,0.0156672276592204,0.1903265305447884,42.61,Method1_Raw,theta_obs,1,Q1
SUY1V.HE,2010,-0.0520227414637349,-0.073228483897961,0.0046176661952148,0.0916492529653997,0.0550281424312878,296.29,Method1_Raw,theta_obs,1,Q1
TECH.OL,2010,-0.1902798745790268,-0.3739935375020637,0.0207364544749272,0.0729279254870098,0.1773788182246884,152.06,Method1_Raw,theta_obs,1,Q1
TRMDa.CO,2010,-0.1555499866392159,-0.1637331189648856,5.0721205013815045e-11,5.720303378031755e-05,0.0254872247335173,3936.91,Method1_Raw,theta_obs,1,Q1
TULAV.HE,2010,-0.0737567800476503,-0.0809841283859171,6.950170275965561e-07,0.0060497347680665,0.0287940357560509,237.29,Method1_Raw,theta_obs,1,Q1
UPM.HE,2010,-0.0992961294883592,-0.1122771860315866,1.9472858937996666e-05,0.0115606621284879,0.0366448736899254,35880.32,Method1_Raw,theta_obs,1,Q1
AFK.OL,2010,0.056797323631971,0.0275232978619459,0.1588040544154176,0.3595247333368696,0.144990380884436,2736.16,Method1_Raw,theta_obs,2,Q2
AGATE.CO,2010,0.0901279155578415,0.0740370328149748,0.2248032473444925,0.424056141595463,0.1944687605029809,726.11,Method1_Raw,theta_obs,2,Q2
ASPO.HE,2010,0.0557998702328599,0.0287985457572212,0.1479301737532816,0.3543341238612354,0.1320073188276649,1142.93,Method1_Raw,theta_obs,2,Q2
ATEA.OL,2010,0.0809811589050835,0.0781953575735345,0.0181960672086194,0.3062693131743429,0.043050280130529,4322.57,Method1_Raw,theta_obs,2,Q2
BERGb.ST,2010,0.0721706269522535,0.0610951887062792,0.105570111883486,0.3601259754934328,0.0851332463631965,677.17,Method1_Raw,theta_obs,2,Q2
BILL.ST,2010,0.0313203811409479,0.0237851292976284,0.0084586630354335,0.1902192544613863,0.0453814978567912,4596.59,Method1_Raw,theta_obs,2,Q2
BITTI.HE,2010,0.072443090390268,0.0411159949916439,0.2142317720967005,0.3962960546338832,0.2401905147663041,778.37,Method1_Raw,theta_obs,2,Q2
BOLJ.ST,2010,0.0469253657327048,0.0337166408054653,0.0572513730340877,0.2916674039951141,0.0707678530431347,223.07,Method1_Raw,theta_obs,2,Q2
BOR.OL,2010,-0.0253126787179551,-0.0934892341943293,0.0816607977393362,0.2286017181042343,0.1402415748344709,346.22,Method1_Raw,theta_obs,2,Q2
CATE.ST,2010,-0.0017503570728428,-0.0948328552477369,0.1375102472559088,0.2797109994110252,0.2857446484500022,821.07,Method1_Raw,theta_obs,2,Q2
CHEMM.CO,2010,0.0467399267399267,0.0135195322473993,0.1446755016778247,0.3411451402525844,0.140376077458275,248.2,Method1_Raw,theta_obs,2,Q2
CMBT.OL,2010,-0.0318182843189366,-0.0468076836360834,0.0032322095402207,0.0960998023508321,0.0486559398882236,5105.55,Method1_Raw,theta_obs,2,Q2
CTY1S.HE,2010,0.0760601068783085,0.0734845377292967,0.0089459200890209,0.2731498931014883,0.0383696968828264,4696.58,Method1_Raw,theta_obs,2,Q2
DNORD.CO,2010,0.049532551191765,0.040845623193625,0.0310209752446787,0.2673878762169881,0.0564158821147826,10416.57,Method1_Raw,theta_obs,2,Q2
ELANb.ST,2010,0.0616105322671836,0.056273559674341,0.0204775689536974,0.2712373909857801,0.0480617664180484,256.3,Method1_Raw,theta_obs,2,Q2
ELEAV.HE,2010,0.0672499049068089,0.0601098464463397,0.0494938569499787,0.3168765486119012,0.0604610356162744,61.14,Method1_Raw,theta_obs,2,Q2
FSKRS.HE,2010,0.0967201054763633,0.0963789013431462,2.088534056354785e-05,0.2201033668994203,0.0198606001450833,5366.78,Method1_Raw,theta_obs,2,Q2
GABR.CO,2010,0.0656538667073823,0.0580943860479981,0.0503886019037222,0.3149336979077033,0.0613311471876101,159.65,Method1_Raw,theta_obs,2,Q2
GJ.CO,2010,-0.000728803951737,-0.0549390503373311,0.0972637582302707,0.2628068480995644,0.1354035548340699,55.49,Method1_Raw,theta_obs,2,Q2
GN.CO,2010,0.0927200135915731,0.0742944167278745,0.2519929106464487,0.4329708193089379,0.3122326270080193,6457.52,Method1_Raw,theta_obs,2,Q2
GYL.OL,2010,0.079911191780378,0.0785589876815709,0.0011588028258048,0.2314091549360859,0.0288616614205671,693.91,Method1_Raw,theta_obs,2,Q2
HARBb.CO,2010,-0.012291585886002,-0.0138016220009078,1.149080830487037e-13,0.0007707380531861,0.015809846300772,699.01,Method1_Raw,theta_obs,2,Q2
INVEST.HE,2010,0.0614467202488981,0.0419688743704322,0.1306798514659337,0.3553458344427143,0.1089948473242382,25.52,Method1_Raw,theta_obs,2,Q2
IOX.OL,2010,-0.0018004776777509,-0.0655252141213909,0.1087430429176841,0.2678605235062516,0.1580344449010493,170.17,Method1_Raw,theta_obs,2,Q2
JDAN.CO,2010,0.0596653035339398,0.0584325098790871,8.615959729785239e-06,0.1040784604018083,0.0217716398597581,3488.97,Method1_Raw,theta_obs,2,Q2
KESKOB.HE,2010,0.0385453083484825,0.0324522192892142,0.0067135796613456,0.1933632683437323,0.042450248763657,18957.72,Method1_Raw,theta_obs,2,Q2
LIAB.ST,2010,0.0047412090082972,-0.0138988957247925,0.0260467083500021,0.2006166530679474,0.0650760282181233,4680.73,Method1_Raw,theta_obs,2,Q2
MARAS.HE,2010,0.0820331776942638,0.0754576665552099,0.0878392231276208,0.3677308467726115,0.0719343661050705,209.98,Method1_Raw,theta_obs,2,Q2
MOWI.OL,2010,0.0973168709916669,0.0857250964718633,0.2357163014199539,0.4368605441018591,0.1977680408471684,15125.39,Method1_Raw,theta_obs,2,Q2
NAVA.OL,2010,-0.0071569153694757,-0.0522418584882144,0.0732740735767383,0.2402840218546594,0.1103365021346164,50.25,Method1_Raw,theta_obs,2,Q2
NEWAb.ST,2010,0.0851143863488697,0.0735864171056798,0.163429465692787,0.401467925508456,0.114122537050894,1015.42,Method1_Raw,theta_obs,2,Q2
NHY.OL,2010,0.0365292933573471,-0.01953837341534,0.1686607700713429,0.3361869591431865,0.2279204894253477,60405.77,Method1_Raw,theta_obs,2,Q2
NKT.CO,2010,0.0657532924887842,0.0627793880385166,0.0050505096245369,0.2338973984812302,0.0365591735278686,3655.98,Method1_Raw,theta_obs,2,Q2
NMAN.ST,2010,0.0843798775363188,0.0834158455329799,0.000464569020023,0.2257732207510627,0.0259875966390003,627.98,Method1_Raw,theta_obs,2,Q2
NOBI.ST,2010,0.040916370638634,0.0370394158674765,0.0013179708285253,0.1527889457121185,0.0338988478288221,4246.81,Method1_Raw,theta_obs,2,Q2
ODF.OL,2010,-0.0239426479373784,-0.0349603680799837,0.0013563304690513,0.0825306944366575,0.0423460724683665,4469.83,Method1_Raw,theta_obs,2,Q2
OKEAC.CO,2010,0.0884647066970891,0.0625820198987709,0.2607790876590012,0.4280952677895029,0.8560333621175097,2117.96,Method1_Raw,theta_obs,2,Q2
ORK.OL,2010,0.0169647419519673,0.0069330821557301,0.0092597192893632,0.1742940232931911,0.0487098709040433,58494.73,Method1_Raw,theta_obs,2,Q2
PHO.OL,2010,0.0010101495983453,-0.0543954614372925,0.1017107257123322,0.2671668470737043,0.1402698150084025,996.41,Method1_Raw,theta_obs,2,Q2
PRICb.ST,2010,0.0733622350674373,0.064190413625002,0.0900382215101379,0.3543219366490349,0.0766202818457856,426.57,Method1_Raw,theta_obs,2,Q2
PROFb.ST,2010,-0.0413990626627325,-0.1346317451551761,0.0846606666564373,0.2156129570924412,0.1752432098836747,170.81,Method1_Raw,theta_obs,2,Q2
RAIVV.HE,2010,0.0718974316729136,0.0455217705333652,0.1959442937006189,0.3912221328197811,0.1808013962940554,3660.59,Method1_Raw,theta_obs,2,Q2
REG1V.HE,2010,-0.0137470240380922,-0.0875826463931574,0.1027248890843945,0.2522656784181433,0.1672471941742496,215.17,Method1_Raw,theta_obs,2,Q2
ROCKb.CO,2010,0.0467830328243267,0.0425146997208673,0.0034381335358151,0.1868932483917778,0.0372663722027105,14983.57,Method1_Raw,theta_obs,2,Q2
SAFETYb.ST,2010,0.0660480349344978,0.0258977977081651,0.215752531809916,0.3875753285769081,0.3068327652919499,10.17,Method1_Raw,theta_obs,2,Q2
SAND.ST,2010,-0.0400320976296026,-0.0644289848243455,0.0110089710821232,0.1256894538096084,0.0623569511826221,78927.93,Method1_Raw,theta_obs,2,Q2
SANOMA.HE,2010,0.0932257587445991,0.0928969468905125,1.960361467268079e-06,0.1789068302649475,0.0178382013634764,21037.05,Method1_Raw,theta_obs,2,Q2
SCAb.ST,2010,0.0278460499072501,0.0209691418987644,0.0050359584268822,0.1688375543019874,0.0422242522792936,9579.93,Method1_Raw,theta_obs,2,Q2
SECTb.ST,2010,-0.0139002956636005,-0.0849667720446187,0.0996210190638278,0.2504747899564254,0.1598877545930941,646.75,Method1_Raw,theta_obs,2,Q2
SOFF.OL,2010,0.0695201833138602,0.0675175177664657,0.0015210517895154,0.2115105957703049,0.0309488391613577,3478.36,Method1_Raw,theta_obs,2,Q2
SPGP.CO,2010,0.0238683589801187,-0.0612832454462614,0.1754333986580939,0.3214218763254679,0.5409138264039302,96.8,Method1_Raw,theta_obs,2,Q2
STRO.OL,2010,-0.0255663874776878,-0.0374461698869587,0.0017327100957356,0.0863917468099969,0.0438412840416205,255.16,Method1_Raw,theta_obs,2,Q2
SVIK.ST,2010,-0.0064625151286795,-0.0876311362183726,0.1203740964361612,0.2681595014874669,0.2046502910865036,433.9,Method1_Raw,theta_obs,2,Q2
TEM1V.HE,2010,-0.0102015270997621,-0.1000691570963939,0.1222426009740251,0.2648043942571746,0.2299222118555042,574.04,Method1_Raw,theta_obs,2,Q2
TIV.CO,2010,0.0584879179887721,0.049614533267806,0.0477190853270047,0.300652001955176,0.0622402987542992,2064.24,Method1_Raw,theta_obs,2,Q2
TRH1V.HE,2010,-0.0259895759966192,-0.0820945183145655,0.0666697687292335,0.2170394300421602,0.1172895377738105,248.21,Method1_Raw,theta_obs,2,Q2
VBGb.ST,2010,-0.0306787969425058,-0.0311846646846839,0.0,4.164568689901671e-11,0.0085179936742654,714.07,Method1_Raw,theta_obs,2,Q2
VIK1V.HE,2010,0.0894019654403972,0.0876848499629378,0.0127702294369613,0.3156145378444205,0.0386371069878441,3004.16,Method1_Raw,theta_obs,2,Q2
VOLVb.ST,2010,-0.038875525969072,-0.0526240003540602,0.0015719167653402,0.0754542452462201,0.0451984373531069,100961.66,Method1_Raw,theta_obs,2,Q2
WETTERI.HE,2010,-0.0015965939329429,-0.0491367654694892,0.0852283894996406,0.2544505587025574,0.1196886095643487,41.01,Method1_Raw,theta_obs,2,Q2
WWI.OL,2010,0.0025626307499367,-0.0216906459664002,0.0395405300543756,0.2178063060776565,0.0756608649240313,6094.12,Method1_Raw,theta_obs,2,Q2
XANOb.ST,2010,-0.0303586691569852,-0.0705390058218777,0.0397837705105579,0.1865366336503258,0.0891780474991353,121.54,Method1_Raw,theta_obs,2,Q2
ANODb.ST,2010,0.1014981890023048,0.0974169164975845,0.1550769864411605,0.4255028012711102,0.0945878350697436,435.05,Method1_Raw,theta_obs,3,Q3
AQ.ST,2010,0.1390188392970034,0.1361283288509187,0.0871494760622806,0.4784554045566074,0.0534931612563443,672.99,Method1_Raw,theta_obs,3,Q3
ATLA.CO,2010,0.1290395189555933,0.1229315222343841,0.2245260649990026,0.4713967253541092,0.1273353096622592,474.39,Method1_Raw,theta_obs,3,Q3
ATRLJb.ST,2010,0.1145559804733623,0.1143944951164172,0.174001156687176,0.4525081802816253,0.0959031982043327,7005.12,Method1_Raw,theta_obs,3,Q3
AUSS.OL,2010,0.146994988358786,0.1387877800254625,0.1789148130558351,0.4897799696533171,0.0849314055161493,7318.1,Method1_Raw,theta_obs,3,Q3
BEIJb.ST,2010,0.1497060076693651,0.1321466949567326,0.2498146680605588,0.4846353940540036,0.1464221227539112,2717.8,Method1_Raw,theta_obs,3,Q3
BIF.CO,2010,0.1673374856654599,0.1501056594207852,0.2208945421312442,0.5080704254730466,0.101246230790022,160.37,Method1_Raw,theta_obs,3,Q3
BILIa.ST,2010,0.1199240229665749,0.119106385800889,0.1077161394288745,0.4460099313060545,0.0650705930000163,1350.41,Method1_Raw,theta_obs,3,Q3
CAST.ST,2010,0.1753692659058826,0.1706882119936615,0.0771482266066792,0.5801632987640745,0.0418794761622081,10090.02,Method1_Raw,theta_obs,3,Q3
CONTX.OL,2010,0.1270130659374051,0.1197116631064479,0.2581415349095122,0.4722435579083289,0.1812899841369988,141.11,Method1_Raw,theta_obs,3,Q3
COREa.ST,2010,0.1031891420987925,0.0917866965163109,0.2807395377375444,0.4531706318825158,0.6950984956808207,129.36,Method1_Raw,theta_obs,3,Q3
DIOS.ST,2010,0.1130677742926573,0.1129552578100225,0.0135058178963702,0.3848622317658768,0.03509765486872,769.55,Method1_Raw,theta_obs,3,Q3
EMBLA.CO,2010,0.1782910594635235,0.1584897417116815,0.2246466011386494,0.5212653133372007,0.0974890661419475,2711.53,Method1_Raw,theta_obs,3,Q3
ENRO.ST,2010,0.1653387823078105,0.1635619331141122,0.0141371043469016,0.586052030687054,0.0276335116378795,4680.41,Method1_Raw,theta_obs,3,Q3
EPEND.ST,2010,0.1782423106075718,0.1592047959233524,0.2210973140071124,0.5228070390047322,0.0948125814000572,669.51,Method1_Raw,theta_obs,3,Q3
EWRK.ST,2010,0.1488463278540165,0.131735880956906,0.249335673801782,0.484129385787226,0.146310519182353,307.26,Method1_Raw,theta_obs,3,Q3
FLUGb.CO,2010,0.1021669916331416,0.1008501098896072,0.0428284461076742,0.3824499495911715,0.0486342231795262,607.38,Method1_Raw,theta_obs,3,Q3
GOD.OL,2010,0.128756170852114,0.128029245427611,0.016841498696407,0.4373026470144446,0.0342029490705876,349.94,Method1_Raw,theta_obs,3,Q3
GSFG.OL,2010,0.1052807729806026,0.1014133597431909,0.1916628910994173,0.4403533427528159,0.1165153913857851,1138.95,Method1_Raw,theta_obs,3,Q3
HAVI.OL,2010,0.1557841074127863,0.1419712366626952,0.2151804119725247,0.4958428462172344,0.1034544260977135,949.62,Method1_Raw,theta_obs,3,Q3
HEX.OL,2010,0.193175649476541,0.1814846939824101,0.1672129766631154,0.5817521335360971,0.0605650984453934,897.75,Method1_Raw,theta_obs,3,Q3
HIAB.HE,2010,0.1178197237040078,0.1177063845777922,0.0059254012865073,0.3862548895616253,0.0300031456929216,5095.0,Method1_Raw,theta_obs,3,Q3
HKFOODS.HE,2010,0.105303108197197,0.1042298488213325,0.0510760713255004,0.3950937490425945,0.0506765277476204,2946.72,Method1_Raw,theta_obs,3,Q3
HUH1V.HE,2010,0.1434611459396415,0.1358805572665261,0.1802374150405888,0.4850947574107433,0.0871433365888595,8532.8,Method1_Raw,theta_obs,3,Q3
ILKKA2.HE,2010,0.1001983530684618,0.0985080422599022,0.0501188802296179,0.3826701798481291,0.0516620155069321,1529.07,Method1_Raw,theta_obs,3,Q3
ITAB.ST,2010,0.1385705355282344,0.116786606417874,0.2967126582912516,0.4748161883211742,0.5161822059725265,712.19,Method1_Raw,theta_obs,3,Q3
KIT.OL,2010,0.1420039519548856,0.125253585666737,0.2648461814703114,0.4785545132506864,0.1852383547895728,650.34,Method1_Raw,theta_obs,3,Q3
LAGRb.ST,2010,0.1745814019487273,0.1713773114813196,0.0441836449461979,0.5984697281010858,0.0344355708032821,423.54,Method1_Raw,theta_obs,3,Q3
LAMMb.ST,2010,0.1009134134134134,0.1007355606369638,4.771240369461083e-07,0.1964008996933368,0.0162733376768038,292.96,Method1_Raw,theta_obs,3,Q3
LINDEX.HE,2010,0.1047848351195674,0.1045875739983428,4.678794898849148e-05,0.2639460551745137,0.0201707080746685,11584.2,Method1_Raw,theta_obs,3,Q3
LSG.OL,2010,0.1660480994172447,0.1561289069448418,0.1656429401392131,0.522338099071898,0.0709562676710857,5625.62,Method1_Raw,theta_obs,3,Q3
MAERSKb.CO,2010,0.12670075401864,0.1263116179110276,0.0035073875299055,0.413236564990548,0.0268706905841696,147287.98,Method1_Raw,theta_obs,3,Q3
MEABb.ST,2010,0.1534599180469786,0.1521265766543766,0.0094849063441104,0.5342287141746331,0.0273843166036866,196.91,Method1_Raw,theta_obs,3,Q3
METSO.HE,2010,0.1681033875625044,0.1286882420268927,0.285591783321095,0.4838309612425685,0.2456794100735184,9184.97,Method1_Raw,theta_obs,3,Q3
MYCR.ST,2010,0.1287798314566957,0.1280194483225049,0.0188325276515911,0.4385981289185415,0.0349944566160251,656.42,Method1_Raw,theta_obs,3,Q3
NESTE.HE,2010,0.1581692203591428,0.1504435250907033,0.1488510948686098,0.5116358829027832,0.0674678995852665,26411.93,Method1_Raw,theta_obs,3,Q3
NLG1V.HE,2010,0.132617946345976,0.1286742570845204,0.1515872178077075,0.4705967129265768,0.0777520527704778,303.59,Method1_Raw,theta_obs,3,Q3
OEMb.ST,2010,0.1763972437930656,0.1699313358586894,0.1098321654269389,0.5669173767472182,0.0495587352419246,531.0,Method1_Raw,theta_obs,3,Q3
ORIOLA.HE,2010,0.1814628775263209,0.1614624791879519,0.2237170152974985,0.5263727826722742,0.0947859052732518,5143.45,Method1_Raw,theta_obs,3,Q3
PAALb.CO,2010,0.1659272115146216,0.165212030670235,0.0002831007790791,0.6461423512912264,0.0172405281087911,1399.41,Method1_Raw,theta_obs,3,Q3
PARKEN.CO,2010,0.1007830544758031,0.0945943361798531,0.1962974129353569,0.4341452633393301,0.1260770978156636,833.94,Method1_Raw,theta_obs,3,Q3
PIONb.ST,2010,0.1291801811877871,0.128022280713176,0.0437490175008966,0.4494636310172945,0.0431788521661514,328.87,Method1_Raw,theta_obs,3,Q3
REBL.HE,2010,0.155096340031108,0.1459322515082999,0.1731138975302741,0.5021195586911338,0.0786702106924656,1075.54,Method1_Raw,theta_obs,3,Q3
REJLb.ST,2010,0.1681406442622072,0.1570796610843588,0.1751037004240726,0.5233879426059076,0.0740759083251842,421.91,Method1_Raw,theta_obs,3,Q3
SKFb.ST,2010,0.1460647872697181,0.1350485999586811,0.2131181004786433,0.4858703888786737,0.107216955270671,45537.92,Method1_Raw,theta_obs,3,Q3
SOLARb.CO,2010,0.136180880974696,0.1268291492393235,0.2298129566938046,0.4766457476285967,0.1287921088063212,2585.69,Method1_Raw,theta_obs,3,Q3
