Ticker,FormationYear,theta_obs,theta_post_mean,p_q5,p_median,sigma_acc,MarketCap,Method,SignalUsed,PortfolioNum,Portfolio
AAB.CO,2010,-0.5286506469500928,-0.6995182646108526,4.4285396726406745e-06,0.0001830032669258,0.0867654553434384,46.67,Method1_Raw,theta_obs,1,Q1
ABB.ST,2010,-1.3306413948688984,-1.58317585219323,0.0,0.0,0.0664036007230479,244254.6,Method1_Raw,theta_obs,1,Q1
ACG1V.HE,2010,-1.2423343224530168,-1.528784066400001,0.0,1.2212453270876722e-15,0.074648683074843,53.81,Method1_Raw,theta_obs,1,Q1
ACTI.ST,2010,-0.1178012186332962,-0.1932042118687809,0.0183887310026499,0.0982565028117794,0.0998770451172638,5221.41,Method1_Raw,theta_obs,1,Q1
AFAGR.HE,2010,-0.1006441223832528,-0.3015483381997966,0.0700498810932188,0.1572864754028959,0.5313860466080413,4536.01,Method1_Raw,theta_obs,1,Q1
AGFEb.CO,2010,-0.8359167404783003,-1.7293396073124871,1.4898497120441334e-06,1.3082175633782889e-05,0.5685774742770818,248.02,Method1_Raw,theta_obs,1,Q1
AKVA.OL,2010,-0.1317019950124689,-0.1484095543002127,1.3803268958278991e-05,0.0071404590635404,0.0388960401783315,344.46,Method1_Raw,theta_obs,1,Q1
ANOT.ST,2010,-0.0553134162770425,-0.1689216420996027,0.0821812257639851,0.2017543028108606,0.2041554686746908,407.83,Method1_Raw,theta_obs,1,Q1
APETIT.HE,2010,-0.0459806452746017,-0.098168192585288,0.0423172222314459,0.1766973240396199,0.099931588950472,820.01,Method1_Raw,theta_obs,1,Q1
ARRA.OL,2010,-0.1187142145880011,-0.2067463619350497,0.0236047974716923,0.1064460246663637,0.112170763239966,18.04,Method1_Raw,theta_obs,1,Q1
AZT.OL,2010,-0.6333605887162715,-0.7769716170191987,1.0085484447586168e-08,2.373773147490432e-06,0.0703335221781075,120.55,Method1_Raw,theta_obs,1,Q1
BAVA.CO,2010,-0.2646515597335269,-0.3484503124143506,0.0005809789996921,0.0112134775663809,0.0768079144480549,1272.1,Method1_Raw,theta_obs,1,Q1
BIOPOR.CO,2010,-0.5029103608847496,-0.8204932040376238,0.0001851887626691,0.0017059080115577,0.1484078611480108,331.14,Method1_Raw,theta_obs,1,Q1
