Ticker,FormationYear,theta_obs,theta_post_mean,theta_conservative,p_q5,p_q1,sigma_acc,MarketCap,Method1_ObservedQuality_PortfolioNum,Method1_ObservedQuality_Portfolio,Method2_LatentQuality_PortfolioNum,Method2_LatentQuality_Portfolio,Method4_ProbabilisticQuality_PortfolioNum,Method4_ProbabilisticQuality_Portfolio,Method3_ConservativeQuality_PortfolioNum,Method3_ConservativeQuality_Portfolio
AAB.CO,2010,-0.5286506469500928,-0.3736405504656356,-0.5527304871306123,0.0023111304536989,0.9589214065542964,0.0886882392775832,46.67,1,Q1,1,Q1,1,Q1,1,Q1
AAK.ST,2010,0.452191260105529,0.3608250505383875,0.4250883108712278,0.6498397669777497,0.0478870651045035,0.0972182956381096,5195.33,5,Q5,5,Q5,5,Q5,5,Q5
ABB.ST,2010,-1.3306413948688984,-1.150331010218568,-1.3431133675770144,1.440847977497578e-07,0.999992210457216,0.0577101812335642,244254.6,1,Q1,1,Q1,1,Q1,1,Q1
ACG1V.HE,2010,-1.2423343224530168,-0.8826315949718507,-1.2688333697305323,1.2698037188156222e-05,0.9996585380723646,0.0955367391113351,53.81,1,Q1,1,Q1,1,Q1,1,Q1
ACTI.ST,2010,-0.1178012186332962,-0.0646784542181356,-0.1406119977158521,0.0425336710343056,0.6314837753594413,0.0860329404477732,5221.41,1,Q1,1,Q1,1,Q1,1,Q1
ADDTb.ST,2010,0.4013059207623751,0.3864804710193208,0.3961262296045289,0.6903966221824674,0.0043135272782399,0.0335500826363766,1193.13,5,Q5,5,Q5,5,Q5,5,Q5
AFAGR.HE,2010,-0.1006441223832528,0.0132930189715019,-0.1534594576423303,0.131910805231775,0.5585524372589912,0.1749561247608893,4536.01,1,Q1,2,Q2,1,Q1,1,Q1
AFGA.OL,2010,0.3347653090225401,0.3156481057315146,0.3260630943637222,0.4415960046891795,0.0193319172409549,0.0455966357333787,2107.01,4,Q4,5,Q5,,,4,Q4
AFK.OL,2010,0.056797323631971,0.0782698658760515,0.0199573193145575,0.183919275004905,0.3799148046533781,0.1241424564648878,2736.16,2,Q2,2,Q2,,,2,Q2
AFRY.ST,2010,0.2271955287605978,0.2158732947473857,0.2170965143089533,0.2134628192053773,0.0621139164932683,0.0507597010904085,2566.5,4,Q4,4,Q4,,,4,Q4
AGATE.CO,2010,0.0901279155578415,0.100457773119667,0.0487345510182889,0.2239454742448713,0.3498207991346828,0.1385046862756472,726.11,2,Q2,2,Q2,,,2,Q2
AGFEb.CO,2010,-0.8359167404783003,-0.3556306153306334,-0.8864200132281429,0.0023102879466826,0.9743659485021934,0.1656370390488421,248.02,1,Q1,1,Q1,1,Q1,1,Q1
AKAST.OL,2010,0.3014359311629946,0.2772445147611103,0.2884544071944264,0.3796102208795432,0.0458397799788163,0.0587652013059643,4308.16,4,Q4,4,Q4,,,4,Q4
