SizeGroup,PortfolioStrategy,FactorModel,Method1_ObservedQuality_alpha_annualized,Method2_LatentQuality_alpha_annualized,Method3_ConservativeQuality_alpha_annualized,Method4_ProbabilisticQuality_alpha_annualized,Method1_ObservedQuality_p_value,Method2_LatentQuality_p_value,Method3_ConservativeQuality_p_value,Method4_ProbabilisticQuality_p_value,Method1_ObservedQuality_t_stat,Method2_LatentQuality_t_stat,Method3_ConservativeQuality_t_stat,Method4_ProbabilisticQuality_t_stat,Method2_LatentQuality_minus_Method1_ObservedQuality_alpha_difference_annualized,Method3_ConservativeQuality_minus_Method1_ObservedQuality_alpha_difference_annualized,Method4_ProbabilisticQuality_minus_Method1_ObservedQuality_alpha_difference_annualized,Method2_LatentQuality_minus_Method1_ObservedQuality_p_value,Method3_ConservativeQuality_minus_Method1_ObservedQuality_p_value,Method4_ProbabilisticQuality_minus_Method1_ObservedQuality_p_value,Method2_LatentQuality_minus_Method1_ObservedQuality_t_stat,Method3_ConservativeQuality_minus_Method1_ObservedQuality_t_stat,Method4_ProbabilisticQuality_minus_Method1_ObservedQuality_t_stat
LargeCap,LongShort,CAPM,0.08252751335657074,0.0501450913013783,0.09089276631275793,0.08962984070998462,0.07559022093733248,0.2759185857073865,0.04471973579981836,0.04331477792835159,1.786639214565843,1.092678278827411,2.020650521485459,2.034265474887135,-0.03238242205519244,0.008365252956187143,0.007102327353413821,0.6186692422456179,0.8967704408823878,0.9113836248535887,-0.4981461050557721,0.1298289646846613,0.11136763271979198
LargeCap,LongShort,FF3,0.07311183102817313,0.040765740143050226,0.08317036474439805,0.08041288792125631,0.06968550740554313,0.3033151612028706,0.03710418764284995,0.03611960977825479,1.8243575908054528,1.0321770883050871,2.0995375110223398,2.1107079368890456,-0.032346090885115246,0.010058533716233435,0.0073010568930914725,0.5644933360205004,0.8582473842520715,0.8948265355332381,-0.5766909325378045,0.17872820438880638,0.13228891737964596
LargeCap,LongShort,FF3+MOM,0.027360026619608818,0.0076491519876107205,0.035762853977560634,0.03574788379799792,0.518922560527352,0.8549451820152332,0.40614757066779617,0.3832075075118806,0.6462302167719765,0.18306520826937714,0.8325730866319996,0.8740585081507868,-0.019710874632019287,0.008402827357928532,0.008387857178364981,0.7399038791697685,0.8892961133176538,0.8867004612970883,-0.33222712664624654,0.13928981358027373,0.14257773455631623
LargeCap,LongShort,FF5,0.059615810710934844,0.028022844217725537,0.06925285024466064,0.06750373655424029,0.11160394389972406,0.42061413707106965,0.0673958304704032,0.061090275887332846,1.5986130658414346,0.8071445496778089,1.8397698601697745,1.8842564710240228,-0.03159296649320327,0.009637039533734801,0.007887925843313666,0.5324336023244176,0.8549808839172521,0.8781171950268913,-0.6248789446918513,0.18289392606955873,0.15346196395455824
LargeCap,LongShort,FF5+MOM,0.030853389089698306,0.012174132651939215,0.03867601728951251,0.038846468180064785,0.4283844171389155,0.7473805843429919,0.3296307491188526,0.2970764261149701,0.7937043556608864,0.3225760677495838,0.9774339959563754,1.0456728871811198,-0.01867925643775606,0.007822628199815624,0.007993079090366645,0.7283267899539756,0.8874195127761426,0.8812600093540348,-0.3476152788300694,0.1416678007475103,0.14947533778481462
LargeCap,Q5,CAPM,0.0462406214401142,0.03763162975725682,0.04518897541996191,0.04709024614774443,0.00866206819710702,0.016080311091569932,0.010150693171102398,0.008203875323061771,2.6526357772381965,2.42879020509556,2.596631992734848,2.6716245537384644,-0.008608991682857284,-0.0010516460201523137,0.0008496247076302255,0.7122220726194124,0.965960353711709,0.9726577020832399,-0.3691492655186013,-0.04270345593938838,0.03429778176878755
LargeCap,Q5,FF3,0.04197553183214,0.03359690858992895,0.040920350480798395,0.04286187253582904,0.0060303698695454155,0.01655653862053197,0.007666668628857565,0.005611136261465699,2.7776488125111563,2.418082467373699,2.6954552980981115,2.801962306916576,-0.008378623242227136,-0.0010551813513574523,0.0008863407036731955,0.6827841810918756,0.9606596748760079,0.9670644912643782,-0.4089841017094151,-0.04935866741825139,0.041317777874098356
LargeCap,Q5,FF3+MOM,0.025634114246078296,0.020550504502825223,0.02695362406201709,0.026579171146117315,0.14992681362160942,0.20477343043309992,0.12962862330677782,0.1401966931451708,1.4457298923347093,1.2725057219482554,1.5222780965513323,1.4813487460820738,-0.005083609743242769,0.0013195098159483054,0.000945056900048015,0.8317913365227603,0.957913947467893,0.9700351355726442,-0.21255312423650302,0.052806912965913,0.037589374267280255
LargeCap,Q5,FF5,0.03658373579480838,0.02793345349577232,0.035459800615254555,0.0373053539422184,0.022674956157834103,0.058176854085153495,0.02892738096557501,0.02177768438873562,2.2979896504970907,1.9061179031491264,2.201549648002633,2.3136942615565532,-0.008650282299058135,-0.001123935179575146,0.0007216181473886571,0.6890669113434107,0.9603815606962935,0.9745652112798078,-0.40043378027355075,-0.04970824924290334,0.03190463706432632
LargeCap,Q5,FF5+MOM,0.02172190340508804,0.015949601375207685,0.022719198749765558,0.022560000198010646,0.21187855432575042,0.3068046989656157,0.18974683241791857,0.1999327797920749,1.252748196854497,1.024780874271309,1.3161658177221618,1.2863374997612442,-0.0057723020298783845,0.000997295344678413,0.0008380967929225505,0.8039966357990413,0.9674279703452515,0.9728329946869292,-0.2483561583426696,0.040861976702215745,0.03407841827683261
