SizeGroup,PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs
SmallCap,LongShort,CAPM,Method1_ObservedQuality,0.25678499791674425,0.021398749826395353,5.676216090830008,5.1804674550126606e-08,0.0006944269477219267,189
SmallCap,LongShort,FF3,Method1_ObservedQuality,0.26484974319362137,0.02207081193280178,5.470889744103595,1.4398318248787234e-07,0.0261314111425619,189
SmallCap,LongShort,FF3+MOM,Method1_ObservedQuality,0.2448634959425861,0.020405291328548843,4.542759521105043,1.002503716196479e-05,0.028535013587944746,189
SmallCap,LongShort,FF5,Method1_ObservedQuality,0.18512916946948155,0.015427430789123462,6.313786255223117,2.0058898986263785e-09,0.37606132204597065,189
SmallCap,LongShort,FF5+MOM,Method1_ObservedQuality,0.2076212159602045,0.017301767996683707,7.90985384020421,2.4158453015843406e-13,0.37940481819508287,189
SmallCap,LongShort,CAPM,Method2_LatentQuality,0.25067466489016926,0.020889555407514106,5.853375170012245,2.123903741768629e-08,0.000632856021607453,189
SmallCap,LongShort,FF3,Method2_LatentQuality,0.2602799325563834,0.021689994379698617,5.861522933613238,2.0672911826835616e-08,0.04018619108672827,189
SmallCap,LongShort,FF3+MOM,Method2_LatentQuality,0.22826835694067804,0.019022363078389837,4.149308730985888,5.0910061602849055e-05,0.046074222948685795,189
SmallCap,LongShort,FF5,Method2_LatentQuality,0.18853999958165762,0.015711666631804802,7.59577232789364,1.52433621281034e-12,0.374009674079657,189
SmallCap,LongShort,FF5+MOM,Method2_LatentQuality,0.1986525851750359,0.016554382097919658,7.032757439291501,3.957012495447998e-11,0.3746550655594655,189
SmallCap,LongShort,CAPM,Method3_ConservativeQuality,0.2684740726695197,0.022372839389126643,6.139742674550033,4.844990408869876e-09,4.542848664701449e-05,189
SmallCap,LongShort,FF3,Method3_ConservativeQuality,0.2766313062930016,0.023052608857750134,5.995964230746737,1.0392678939652455e-08,0.022931129424351382,189
SmallCap,LongShort,FF3+MOM,Method3_ConservativeQuality,0.2580984451696462,0.02150820376413718,4.90598699243359,2.0380405469921925e-06,0.025011826896789602,189
SmallCap,LongShort,FF5,Method3_ConservativeQuality,0.19728738428658982,0.016440615357215818,7.270554603283611,1.0077272349917621e-11,0.39228302846686114,189
SmallCap,LongShort,FF5+MOM,Method3_ConservativeQuality,0.2220610101105731,0.018505084175881092,8.83852385577268,8.881784197001252e-16,0.3963666539116786,189
SmallCap,LongShort,CAPM,Method4_ProbabilisticQuality,0.2597668594939028,0.02164723829115857,5.840242478615518,2.2704026214626083e-08,0.000921040215311697,189
