Split,PortfolioStrategy,StrategyLabel,Method,MethodLabel,StartDate,EndDate,NMonths,TotalCumulativeReturn,TotalCumulativeReturnPct
SizeGroup=LargeCap,LongShort,Long-short,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,0.414085836877758,41.4085836877758
SizeGroup=LargeCap,LongShort,Long-short,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,0.13898919023332668,13.898919023332667
SizeGroup=LargeCap,LongShort,Long-short,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,0.8578896837479855,85.78896837479854
SizeGroup=LargeCap,LongShort,Long-short,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,0.3901779612628913,39.01779612628913
SizeGroup=LargeCap,Q5,Long-only Q5,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,6.652872661410436,665.2872661410436
SizeGroup=LargeCap,Q5,Long-only Q5,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,6.534851744954419,653.4851744954419
SizeGroup=LargeCap,Q5,Long-only Q5,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,6.52417620895591,652.417620895591
SizeGroup=LargeCap,Q5,Long-only Q5,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,6.71412614659917,671.412614659917
SizeGroup=SmallCap,LongShort,Long-short,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,24.590402889838806,2459.0402889838806
SizeGroup=SmallCap,LongShort,Long-short,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,26.069636755450425,2606.9636755450424
SizeGroup=SmallCap,LongShort,Long-short,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,31.11591220209914,3111.591220209914
SizeGroup=SmallCap,LongShort,Long-short,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,25.321718992242946,2532.1718992242945
SizeGroup=SmallCap,Q5,Long-only Q5,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,4.187139826220955,418.7139826220955
SizeGroup=SmallCap,Q5,Long-only Q5,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,4.4851852883997685,448.51852883997685
SizeGroup=SmallCap,Q5,Long-only Q5,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,4.2360681135688125,423.6068113568813
SizeGroup=SmallCap,Q5,Long-only Q5,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,4.130940228446537,413.0940228446537
