SizeGroup,PortfolioStrategy,Method,MethodLabel,annualized_return,annualized_excess_return,volatility_ann,excess_volatility_ann,sharpe_ratio,max_drawdown,n_obs
LargeCap,Q5,Method1_ObservedQuality,Observed Quality,0.13680007095828908,0.11727422984717845,0.11773512358537229,0.1180059121575744,0.9937996131124436,-0.19948158121326764,189
LargeCap,Q5,Method2_LatentQuality,Latent Quality,0.13251556078196955,0.11298971967085891,0.12174470098736358,0.12194448616206315,0.9265668602735885,-0.2088767955677805,189
LargeCap,Q5,Method3_ConservativeQuality,Conservative Quality,0.136355306923885,0.11682946581277434,0.11874691188411579,0.1189971940433796,0.9817833668429607,-0.20167516432389965,189
LargeCap,Q5,Method4_ProbabilisticQuality,Probabilistic Quality,0.1372784756176992,0.1177526345065886,0.11747174076696269,0.11773877791650907,1.0001176892636796,-0.19948158121326764,189
LargeCap,LongShort,Method1_ObservedQuality,Observed Quality,0.0330398696436423,0.0330398696436423,0.14841957775808348,0.14841957775808348,0.22261126289885855,-0.41919275056974326,189
LargeCap,LongShort,Method2_LatentQuality,Latent Quality,0.012382474855558528,0.012382474855558528,0.13932121645056655,0.13932121645056655,0.08887716581165535,-0.4722005853641925,189
LargeCap,LongShort,Method3_ConservativeQuality,Conservative Quality,0.03361237929373913,0.03361237929373913,0.14942756595090995,0.14942756595090995,0.22494095436702416,-0.43142337598221314,189
LargeCap,LongShort,Method4_ProbabilisticQuality,Probabilistic Quality,0.03191312100143939,0.03191312100143939,0.14817317976790018,0.14817317976790018,0.21537717589261698,-0.39001225108851667,189
SmallCap,Q5,Method1_ObservedQuality,Observed Quality,0.11937902664815209,0.09985318553704145,0.16879792487203263,0.16931758396067623,0.5897390170664862,-0.3633221311580346,189
SmallCap,Q5,Method2_LatentQuality,Latent Quality,0.11763442517524661,0.09810858406413599,0.16470163015751776,0.16516487405544675,0.5940039286513209,-0.3402426410842856,189
SmallCap,Q5,Method3_ConservativeQuality,Conservative Quality,0.12706761642286019,0.10754177531174955,0.17367582668766876,0.17413999906614694,0.6175592964767382,-0.37005570184123227,189
SmallCap,Q5,Method4_ProbabilisticQuality,Probabilistic Quality,0.1193088193165274,0.09978297820541678,0.16857326426206176,0.16907718784302794,0.5901622772319572,-0.36332213115803424,189
SmallCap,LongShort,Method1_ObservedQuality,Observed Quality,0.21938534716531713,0.21938534716531713,0.15553754411793788,0.15553754411793788,1.4104976930776663,-0.16030364767246352,189
SmallCap,LongShort,Method2_LatentQuality,Latent Quality,0.21367537661136926,0.21367537661136926,0.1580467465949693,0.1580467465949693,1.351975799659837,-0.15122885941157327,189
SmallCap,LongShort,Method3_ConservativeQuality,Conservative Quality,0.2343015207364263,0.2343015207364263,0.15512085505686815,0.15512085505686815,1.510445005286556,-0.138200082395312,189
SmallCap,LongShort,Method4_ProbabilisticQuality,Probabilistic Quality,0.2217398519800738,0.2217398519800738,0.1546977434665394,0.1546977434665394,1.433374831534213,-0.16030364767246352,189
