SizeGroup,PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs
SmallCap,Q5,CAPM,Method1_ObservedQuality,0.002015584476408168,0.000167965373034014,0.04778002225278581,0.961942548492116,0.41039903613691986,189
SmallCap,Q5,FF3,Method1_ObservedQuality,-0.010157931301717028,-0.0008464942751430857,-0.28263393721902325,0.7777734347163214,0.6824966988181211,189
SmallCap,Q5,FF3+MOM,Method1_ObservedQuality,0.014120067042351477,0.0011766722535292897,0.4172599573556009,0.6769747115510212,0.6867845551305105,189
SmallCap,Q5,FF5,Method1_ObservedQuality,-0.037448587653506574,-0.0031207156377922145,-1.1868254108104508,0.23683489419323478,0.7235584959791381,189
SmallCap,Q5,FF5+MOM,Method1_ObservedQuality,-0.006232426042533566,-0.0005193688368777972,-0.22673281792875363,0.8208859665122212,0.730964985957115,189
SmallCap,Q5,CAPM,Method2_LatentQuality,0.0025192816549726455,0.00020994013791438714,0.06897596167288224,0.9450824543503447,0.41170114062557206,189
SmallCap,Q5,FF3,Method2_LatentQuality,-0.009198573561496315,-0.0007665477967913596,-0.32058141766280623,0.7488894443139333,0.6685766329052254,189
SmallCap,Q5,FF3+MOM,Method2_LatentQuality,0.010980460295904014,0.0009150383579920011,0.3408547128095996,0.7336018365465846,0.6716896675301034,189
SmallCap,Q5,FF5,Method2_LatentQuality,-0.03303053918515478,-0.0027525449320962314,-1.3736858534118437,0.17121963922963235,0.7112483821158087,189
SmallCap,Q5,FF5+MOM,Method2_LatentQuality,-0.004989033580117541,-0.0004157527983431284,-0.2149904958887615,0.8300154439950451,0.7175293249284708,189
SmallCap,Q5,CAPM,Method3_ConservativeQuality,-0.0037856816731003757,-0.00031547347275836466,-0.09558028823149603,0.9239562690037395,0.4163062616778779,189
SmallCap,Q5,FF3,Method3_ConservativeQuality,-0.016081894606536442,-0.0013401578838780368,-0.4969344350378921,0.6198253081981067,0.6972748632169884,189
SmallCap,Q5,FF3+MOM,Method3_ConservativeQuality,0.010446155454532167,0.0008705129545443474,0.32784498480943824,0.7434016116780711,0.7020441536193878,189
SmallCap,Q5,FF5,Method3_ConservativeQuality,-0.04153959374861587,-0.0034616328123846557,-1.4656576594099793,0.14445765491356943,0.7340055570863536,189
SmallCap,Q5,FF5+MOM,Method3_ConservativeQuality,-0.007781089560919952,-0.0006484241300766626,-0.31093568558832557,0.7562053445854975,0.742075091365799,189
SmallCap,Q5,CAPM,Method4_ProbabilisticQuality,0.0023963062005207,0.00019969218337672498,0.05767028799209757,0.9540728378809469,0.40778184357078284,189
SmallCap,Q5,FF3,Method4_ProbabilisticQuality,-0.00967455872237995,-0.0008062132268649958,-0.2767973160946043,0.7822447583580825,0.6887687625813823,189
SmallCap,Q5,FF3+MOM,Method4_ProbabilisticQuality,0.013606787600671633,0.0011338989667226361,0.4053979317993958,0.6856560074967031,0.6927230182418951,189
SmallCap,Q5,FF5,Method4_ProbabilisticQuality,-0.03780144878733126,-0.0031501207322776046,-1.2096994852878693,0.22795460591978012,0.7320221424964434,189
SmallCap,Q5,FF5+MOM,Method4_ProbabilisticQuality,-0.00746338169859539,-0.0006219484748829491,-0.26798383799773,0.7890152363394121,0.7390377187138599,189
