FormationYear,Method,mean_quality,median_quality,std_quality,p05_quality,p25_quality,p75_quality,p95_quality,n_firm_years,iqr_quality,p95_p05_spread
2010,Conservative Quality,0.07655309460774114,0.114145717526321,0.6754022846989741,-0.5415441696872295,-0.049584062458103345,0.25978149246914983,0.7870857469503714,312,0.30936555492725315,1.3286299166376008
2010,Latent Quality,0.11980374691433204,0.14097617647258198,0.5673622488216816,-0.3570372355100138,0.0092382331196228,0.281256848837519,0.7507738586178209,312,0.2720186157178962,1.1078110941278347
2010,Observed Quality,0.11508326208917896,0.1447629666046798,0.6714712054341065,-0.44165929906421336,-0.00663611518887855,0.2974663638612519,0.8329507683869295,312,0.30410247905013044,1.274610067451143
2011,Conservative Quality,0.08488441278620296,0.1247256124983001,1.0438066999898477,-0.4324083475550925,-0.0056999053464522505,0.28416162330904554,0.7581898624169926,323,0.2898615286554978,1.190598209972085
2011,Latent Quality,0.12979623275299113,0.1560046018744366,0.8952459787519552,-0.32262376238515006,0.04072406365043635,0.29679975370830947,0.7427768251603196,323,0.2560756900578731,1.0654005875454697
2011,Observed Quality,0.12137756737293509,0.1596840420349363,1.0399013822658103,-0.39832685877970714,0.02486879715616135,0.30821840081046603,0.7899896847158533,323,0.28334960365430467,1.1883165434955605
2012,Conservative Quality,0.05930043801256809,0.131447189765694,0.6114471342375046,-0.6522904980891442,-0.006545773421625,0.2833558045449657,0.6502267530233223,337,0.28990157796659066,1.3025172511124665
2012,Latent Quality,0.10805279335263622,0.1610714734699524,0.5176648502846658,-0.5096519416256758,0.0340875429299973,0.2909477885759181,0.6462004001693399,337,0.2568602456459208,1.1558523417950157
2012,Observed Quality,0.0984680481771584,0.1650873386712112,0.6036973481967565,-0.5878113038177564,0.0264646621202727,0.3038759604074427,0.6762382090606863,337,0.27741129828717,1.2640495128784428
2013,Conservative Quality,0.03062001014132598,0.0952734139164475,0.6450122198808108,-0.7349338199234856,-0.04274476817201695,0.24631494511178745,0.5844821271502578,351,0.2890597132838044,1.3194159470737434
2013,Latent Quality,0.07944386502568779,0.1165959172687169,0.5401507233866034,-0.5038702931087775,0.01393316583856675,0.2601053316176225,0.5776660754556487,351,0.24617216577905576,1.0815363685644264
2013,Observed Quality,0.0708174236571791,0.1227721959098751,0.6382921568353814,-0.6349533777652618,0.0031568646159379,0.2673771084979163,0.6256951915378284,351,0.2642202438819784,1.2606485693030902
2014,Conservative Quality,0.012758667140297511,0.07837444144688885,0.8313193953295986,-0.42034743931902335,-0.037410109039171704,0.20378384721424692,0.44410643977966424,364,0.2411939562534186,0.8644538790986875
2014,Latent Quality,0.05513484079623618,0.10041180426796766,0.7402098925838074,-0.3024909464667198,0.01233632307214225,0.21528648250116258,0.4337404391824009,364,0.20295015942902034,0.7362313856491207
2014,Observed Quality,0.05139182954289214,0.106955210305272,0.8285332555001792,-0.35820294792957247,0.0055213805440991505,0.22665414192415761,0.47962551863334374,364,0.22113276138005847,0.8378284665629162
