Ticker,FormationYear,sigma_acc,sigma_lag1
20202.OL,2023,0.0335487436084288,0.0395642063562708
20202.OL,2024,0.0338336357270701,0.0335487436084288
20202.OL,2025,0.0347294493220481,0.0338336357270701
8TRA.ST,2022,0.1393225448931529,0.1278164173578544
8TRA.ST,2023,0.12747908147997,0.1393225448931529
8TRA.ST,2024,0.1152825226542073,0.12747908147997
8TRA.ST,2025,0.0825455937449395,0.1152825226542073
AAB.CO,2011,0.1831647970639328,0.153863723090073
AAB.CO,2013,0.2834895223166017,0.1831647970639328
AAB.CO,2014,0.2666206367453083,0.2834895223166017
AAB.CO,2015,0.2774263280824093,0.2666206367453083
AAB.CO,2016,0.2646822390985331,0.2774263280824093
AAB.CO,2017,0.2461887079478351,0.2646822390985331
AAB.CO,2018,0.2286123669857801,0.2461887079478351
AAB.CO,2019,0.2167563898440476,0.2286123669857801
AAB.CO,2020,0.2487663549251465,0.2167563898440476
AAB.CO,2021,0.2435170412998869,0.2487663549251465
AAB.CO,2022,0.2487383908436325,0.2435170412998869
AAB.CO,2023,0.2488712143926611,0.2487383908436325
AAB.CO,2024,0.1852109281063484,0.2488712143926611
AAB.CO,2025,0.1778722088880613,0.1852109281063484
AAK.ST,2011,0.1407954619596278,0.1693402362974249
AAK.ST,2012,0.1224142164922024,0.1407954619596278
AAK.ST,2013,0.0678048882274679,0.1224142164922024
AAK.ST,2014,0.0426101890955896,0.0678048882274679
AAK.ST,2015,0.0485651259729324,0.0426101890955896
AAK.ST,2016,0.0501878545687777,0.0485651259729324
AAK.ST,2017,0.051387798769508,0.0501878545687777
AAK.ST,2018,0.0433521765444293,0.051387798769508
AAK.ST,2019,0.0477082245026216,0.0433521765444293
AAK.ST,2020,0.056089256826761,0.0477082245026216
AAK.ST,2021,0.0566918782374761,0.056089256826761
AAK.ST,2022,0.0647330845459203,0.0566918782374761
AAK.ST,2023,0.072535712149102,0.0647330845459203
AAK.ST,2024,0.068018227535889,0.072535712149102
AAK.ST,2025,0.0657900130219447,0.068018227535889
ABB.ST,2011,0.1221492838230177,0.1008644706241507
ABB.ST,2012,0.1246203186033818,0.1221492838230177
ABB.ST,2013,0.1193692226613999,0.1246203186033818
ABB.ST,2014,0.0866185983670694,0.1193692226613999
ABB.ST,2015,0.0807462883516729,0.0866185983670694
ABB.ST,2016,0.0717136504569197,0.0807462883516729
ABB.ST,2017,0.0580177457141231,0.0717136504569197
ABB.ST,2018,0.0431488197070635,0.0580177457141231
ABB.ST,2019,0.0412260315849944,0.0431488197070635
ABB.ST,2020,0.0653314716494024,0.0412260315849944
ABB.ST,2021,0.082875982614673,0.0653314716494024
ABB.ST,2022,0.0891308997804253,0.082875982614673
ABB.ST,2023,0.0889124520149714,0.0891308997804253
ABB.ST,2024,0.0914628013054178,0.0889124520149714
ABB.ST,2025,0.0899271279524216,0.0914628013054178
ABL.OL,2019,0.0712775839304454,0.0638974378080712
ABL.OL,2020,0.1195947446689513,0.0712775839304454
ABL.OL,2021,0.1229058193995571,0.1195947446689513
ABL.OL,2022,0.1452740777265946,0.1229058193995571
ABL.OL,2023,0.1406872404763711,0.1452740777265946
ABL.OL,2024,0.1141726980798031,0.1406872404763711
ABL.OL,2025,0.0853507551191961,0.1141726980798031
ACADE.ST,2018,0.0555214288529488,0.0643687554274726
ACADE.ST,2019,0.0457073246541088,0.0555214288529488
ACADE.ST,2020,0.0592111649124195,0.0457073246541088
ACADE.ST,2021,0.0598397741872202,0.0592111649124195
ACADE.ST,2022,0.0669899679729584,0.0598397741872202
ACADE.ST,2023,0.0637871125337143,0.0669899679729584
ACADE.ST,2024,0.0578115715085273,0.0637871125337143
ACADE.ST,2025,0.0513365096203406,0.0578115715085273
