FormationYear,mean_sigma,median_sigma,p05_sigma,p25_sigma,p75_sigma,p95_sigma,mean_lambda,mean_uncertainty_weight,n_firm_years
2010,0.1372516725630196,0.1187919939678988,0.035929014550865876,0.07775777078276339,0.1794817682885447,0.2887124773534452,0.9036745812964054,0.09632541870359451,312
2011,0.1261132562756906,0.1125042583667867,0.031195066659071034,0.06970501029125875,0.1624239388162033,0.2745646619627288,0.9087671135331697,0.09123288646683032,323
2012,0.12017339595078758,0.1032196254125939,0.02987743772328566,0.0692672576592385,0.1538455386548507,0.2752299144420264,0.9020809745885243,0.09791902541147574,337
2013,0.11113980375806874,0.0940115238780164,0.0286052897165542,0.06262765153724875,0.14256949519562515,0.23767789845436246,0.8995064662103672,0.10049353378963274,351
2014,0.10002457105182515,0.086286272707865,0.03162990098345835,0.057846453555955926,0.12680289758202481,0.21426918423407165,0.9034170939935134,0.09658290600648653,364
2015,0.0943757892561067,0.08017435357472766,0.023805766981063424,0.05242543410768165,0.12162335204167272,0.20952897873135382,0.899900649412997,0.10009935058700309,376
2016,0.08586933881594612,0.0724777070344642,0.02385281354481126,0.04831283207558275,0.10719856821533086,0.19250883976937494,0.898777791587769,0.10122220841223091,399
2017,0.08787441498464134,0.0771274947101421,0.02498248320524926,0.0478381573127736,0.1080085909152816,0.20503183401512728,0.9059448286308533,0.09405517136914664,429
2018,0.08276643070517911,0.0692638338770282,0.02238947146477433,0.04509611451753645,0.10237099863728105,0.1917958451576601,0.8975504183407811,0.10244958165921894,443
2019,0.08639860151512621,0.07143073848088805,0.023382038592176,0.04538741928355225,0.11167476811002303,0.19566452877046087,0.8946305380774031,0.10536946192259694,478
2020,0.09573907455604364,0.08007293144884081,0.024767481701334252,0.05131378841236797,0.12513726238239203,0.2054914566928802,0.8962362086424425,0.10376379135755757,502
2021,0.10282028772243926,0.0855503145131496,0.02905040751901204,0.0532868696779074,0.1315594757106347,0.23530398035350042,0.8949941696089361,0.10500583039106397,525
2022,0.1049476077838586,0.08728554197648986,0.02608311293922895,0.0572124313829207,0.1314513634205949,0.24881692276603418,0.8952810309291893,0.10471896907081071,540
2023,0.10586270103532648,0.0869296942012114,0.02471410901692519,0.0571679779481716,0.1357132669642711,0.2546753383968126,0.8921663212715392,0.1078336787284609,568
2024,0.09647092266889734,0.0786648453690476,0.02132007382401248,0.05316292863877335,0.1208497580898017,0.2318790023209296,0.8908970612329091,0.10910293876709086,587
2025,0.09612063274707394,0.07671719874742855,0.0203136621281695,0.051328866178612126,0.12378780321150631,0.24949074716452405,0.8855881221838874,0.11441187781611266,612
