Exchange,n_firm_years,n_firms,mean_sigma,median_sigma,mean_lambda,mean_uncertainty_weight,mean_abs_latent_adjustment,mean_abs_conservative_adjustment,mean_latent_adjustment,mean_conservative_adjustment
Oslo,1530,143,0.10525582340748478,0.09480972877087955,0.8899582906224015,0.1100417093775985,0.06951627563722933,0.0220083418755197,0.022939560663990454,-0.0220083418755197
Stockholm,2795,254,0.10111610789609246,0.0808726678502182,0.8953489334211551,0.1046510665788449,0.052289730446742434,0.020930213315769004,0.004905619712906401,-0.020930213315769004
Copenhagen,1183,86,0.1058257243074367,0.0809625300653446,0.885313048731083,0.11468695126891694,0.04368974919081422,0.022937390253783402,0.00044288247768671946,-0.022937390253783402
Helsinki,1460,112,0.09405758090721891,0.0825279645260305,0.9125415842470161,0.08745841575298384,0.03147476981964773,0.017491683150596786,-0.001527450415287244,-0.017491683150596786
Iceland,178,19,0.07306020614783537,0.0667203950345627,0.93299112264294,0.06700887735705999,0.013303453924378556,0.013401775471412025,-0.00270951022216487,-0.013401775471412025
