sigma_decile,min_sigma,max_sigma,mean_sigma,mean_lambda,mean_uncertainty_weight,mean_abs_latent_adjustment,mean_abs_conservative_adjustment,mean_latent_ci_width,n_firm_years
1,0.002643622234992,0.034182991380251,0.02284025327536445,0.9937032630342593,0.0062967369657406244,0.0012266365949683284,0.001259347393148155,0.4740915865850574,715
2,0.0341875854876356,0.0478610615293063,0.04131848030557578,0.9818329865695105,0.018167013430489487,0.004559899963146754,0.0036334026860979215,0.8120807116581241,715
3,0.047877450569392,0.0597169187683679,0.0538467364164814,0.9702792764382421,0.02972072356175788,0.007666898663188561,0.005944144712351599,1.0870455049875885,714
4,0.0597189117466086,0.0714055125500286,0.06542054472823308,0.9569452961840006,0.04305470381599942,0.01958911272658421,0.008610940763199902,1.2665337927905946,715
5,0.0714344237316164,0.0839663237204806,0.07755707813423178,0.9427085815537042,0.05729141844629581,0.016517117747615707,0.011458283689259182,1.6147067107690996,714
6,0.0840106783481555,0.0986425820704605,0.09096759102347471,0.9225598466195138,0.07744015338048604,0.034073386487347805,0.015488030676097206,1.6983333904307143,715
7,0.0986517384912201,0.1163647017224175,0.10690303074311025,0.8977127105737156,0.10228728942628441,0.030140113339445624,0.0204574578852569,1.9722919930071423,714
8,0.1163831827998001,0.1427410991739475,0.12931178897719037,0.8609325789367731,0.13906742106322695,0.057937778639205836,0.0278134842126454,2.3843341012205324,715
9,0.1427854002125249,0.1867920982052527,0.16166273997867064,0.8039104503997941,0.1960895496002059,0.13483474167596432,0.0392179099200412,2.809877235821965,714
10,0.1870022110149839,0.5219053850278133,0.25657947340068094,0.639288483904929,0.36071151609507096,0.18674803335552656,0.0721423032190142,3.872666863824239,715
