lag,n_pairs,pearson_corr,spearman_corr
1,6532,0.9506331842856555,0.9399269643156609
2,5942,0.8725830074645016,0.852207919364714
3,5372,0.7757082808332799,0.7485865626181485
4,4827,0.6724161569111904,0.641476606368733
5,4302,0.5769429961468006,0.5424796490773026
