Specification,SpecificationLabel,PortfolioStrategy,Method,MethodLabel,annualized_return,annualized_excess_return,volatility_ann,excess_volatility_ann,sharpe_ratio,max_drawdown,n_obs
analyst_cfo_hybrid_point,Analyst CFO hybrid HB,Q5,Method1_ObservedQuality,Observed Quality,0.1089904842105285,0.089849349458756,0.1251202166467764,0.1255293127385239,0.7157638921031227,-0.2168505701980569,141
analyst_cfo_hybrid_point,Analyst CFO hybrid HB,Q5,Method2_LatentQuality,Latent Quality,0.107846774612785,0.0887056398610125,0.1266777459409493,0.1270114595395062,0.6984065861665116,-0.2243672610968765,141
analyst_cfo_hybrid_point,Analyst CFO hybrid HB,Q5,Method3_ConservativeQuality,Conservative Quality,0.1045701365310221,0.0854290017792495,0.1244976901500139,0.1249033714034118,0.6839607355619869,-0.2160225607668385,141
analyst_cfo_hybrid_point,Analyst CFO hybrid HB,Q5,Method4_ProbabilisticQuality,Probabilistic Quality,0.1071258870687808,0.0879847523170083,0.1248680842502499,0.1252741190084701,0.7023378253496992,-0.215991447296989,141
analyst_cfo_hybrid_point,Analyst CFO hybrid HB,LongShort,Method1_ObservedQuality,Observed Quality,0.0306744179105556,0.0306744179105556,0.1047749765689679,0.1047749765689679,0.2927647317617324,-0.2254281299249827,141
analyst_cfo_hybrid_point,Analyst CFO hybrid HB,LongShort,Method2_LatentQuality,Latent Quality,0.0329425739749034,0.0329425739749034,0.1036386923751639,0.1036386923751639,0.317859799462289,-0.2289891757635935,141
analyst_cfo_hybrid_point,Analyst CFO hybrid HB,LongShort,Method3_ConservativeQuality,Conservative Quality,0.024750762906005,0.024750762906005,0.1059455275524504,0.1059455275524504,0.2336178173613956,-0.2420221072420733,141
analyst_cfo_hybrid_point,Analyst CFO hybrid HB,LongShort,Method4_ProbabilisticQuality,Probabilistic Quality,0.0278851275702021,0.0278851275702021,0.1047656197384909,0.1047656197384909,0.2661667791381104,-0.2410981660182358,141
no_cfo_lead_matched_point,Baseline no-lead HB matched sample,Q5,Method1_ObservedQuality,Observed Quality,0.1089904842105285,0.089849349458756,0.1251202166467764,0.1255293127385239,0.7157638921031227,-0.2168505701980569,141
no_cfo_lead_matched_point,Baseline no-lead HB matched sample,Q5,Method2_LatentQuality,Latent Quality,0.1038598663417233,0.0847187315899508,0.1280357174134692,0.1283257817014352,0.6601848082800597,-0.2274931156548755,141
no_cfo_lead_matched_point,Baseline no-lead HB matched sample,Q5,Method3_ConservativeQuality,Conservative Quality,0.1044967535321687,0.0853556187803961,0.1249441433327956,0.1253488203491042,0.6809447312122725,-0.2160225607668388,141
no_cfo_lead_matched_point,Baseline no-lead HB matched sample,Q5,Method4_ProbabilisticQuality,Probabilistic Quality,0.1071258870687808,0.0879847523170083,0.1248680842502499,0.1252741190084701,0.7023378253496992,-0.215991447296989,141
no_cfo_lead_matched_point,Baseline no-lead HB matched sample,LongShort,Method1_ObservedQuality,Observed Quality,0.0306744179105556,0.0306744179105556,0.1047749765689679,0.1047749765689679,0.2927647317617324,-0.2254281299249827,141
no_cfo_lead_matched_point,Baseline no-lead HB matched sample,LongShort,Method2_LatentQuality,Latent Quality,0.0267051505561458,0.0267051505561458,0.1054678454423982,0.1054678454423982,0.2532065620960375,-0.2129357502551856,141
no_cfo_lead_matched_point,Baseline no-lead HB matched sample,LongShort,Method3_ConservativeQuality,Conservative Quality,0.0289826809695818,0.0289826809695818,0.1078438820095652,0.1078438820095652,0.2687466403241232,-0.2508820759007932,141
no_cfo_lead_matched_point,Baseline no-lead HB matched sample,LongShort,Method4_ProbabilisticQuality,Probabilistic Quality,0.0278591984269483,0.0278591984269483,0.1047971477431597,0.1047971477431597,0.2658392811913794,-0.2410981660182358,141
