portfolio_year,analyst_skipped,analyst_skip_reason,analyst_window_rows_initial,analyst_window_firms_initial,analyst_rows_dropped_missing_analyst_forecast,analyst_portfolio_firms_after_cfo_source_filter,analyst_window_rows_final,analyst_window_firms_final,analyst_portfolio_year_rows_final,baseline_skipped,baseline_skip_reason,baseline_reference_sample_rows_available,baseline_window_rows_after_reference_sample_filter,baseline_window_firms_after_reference_sample_filter,baseline_window_rows_final,baseline_window_firms_final,baseline_portfolio_year_rows_final
2009,True,no_portfolio_year_rows_after_filters,1620,320,318,0,,,0,True,no_reference_sample_rows,0,0,0,,,
2010,True,no_portfolio_year_rows_after_filters,1909,329,327,0,,,0,True,no_reference_sample_rows,0,0,0,,,
2011,True,no_portfolio_year_rows_after_filters,2018,344,342,0,,,0,True,no_reference_sample_rows,0,0,0,,,
2012,True,no_portfolio_year_rows_after_filters,2094,357,356,0,,,0,True,no_reference_sample_rows,0,0,0,,,
2013,False,,2189,374,231,142,840.0,142.0,142,False,,840,840,142,840.0,142.0,142.0
2014,False,,2273,387,227,160,944.0,160.0,160,False,,944,944,160,944.0,160.0,160.0
2015,False,,2377,405,232,173,1016.0,173.0,173,False,,1016,1016,173,1016.0,173.0,173.0
2016,False,,2527,434,243,191,1119.0,191.0,191,False,,1119,1119,191,1119.0,191.0,191.0
2017,False,,2627,447,246,201,1185.0,201.0,201,False,,1185,1185,201,1185.0,201.0,201.0
2018,False,,2809,482,255,227,1316.0,227.0,227,False,,1316,1316,227,1316.0,227.0,227.0
2019,False,,2965,509,264,245,1425.0,245.0,245,False,,1425,1425,245,1425.0,245.0,245.0
2020,False,,3107,529,266,263,1541.0,263.0,263,False,,1541,1541,263,1541.0,263.0,263.0
2021,False,,3226,547,263,284,1668.0,284.0,284,False,,1668,1668,284,1668.0,284.0,284.0
2022,False,,3359,571,260,310,1810.0,310.0,310,False,,1810,1810,310,1810.0,310.0,310.0
2023,False,,3478,591,259,329,1926.0,329.0,329,False,,1926,1926,329,1926.0,329.0,329.0
2024,False,,3625,617,265,351,2056.0,351.0,351,False,,2056,2056,351,2056.0,351.0,351.0
