FormationYear,n_firms,mu_t,var_obs_t,avg_obs_var_i,tau2_t,q5_cutoff_obs
2010,307,0.12397448396385134,0.2653297948583271,0.28223008038656716,1e-08,0.36074737845571747
2011,324,0.14721482266391325,0.1918234000337793,0.19401471451449684,1e-08,0.3726387928118103
2012,339,0.10939356146686229,0.22999695533047082,0.23041330467423782,1e-08,0.3458847886616651
2013,356,0.10229957433453375,0.1594405564360006,0.12785338383105685,0.03158717260494376,0.323706505929287
2014,375,0.062332977288386826,0.22001799247844106,0.21550442349232027,0.004513568986120792,0.2729132370851924
2015,389,0.10583555708659005,0.17077307355720622,0.17857398366620947,1e-08,0.3014490281158675
2016,420,0.07652689268326864,0.25131910495548576,0.2820653045734415,1e-08,0.2850045827301933
2017,432,0.11234694410589194,0.22102252359785537,0.2131982211807313,0.007824302417124063,0.314247968017147
2018,463,0.0676302405971744,0.2037382788750323,0.20929361839190996,1e-08,0.28510566177611796
2019,492,0.06413951615196502,0.3356572497046673,0.49265110271442863,1e-08,0.29901500115580076
2020,509,0.061069745905521555,0.34225003628403367,0.4805085262453849,1e-08,0.2961348450623615
2021,529,0.07175618950660252,0.14621166402968816,0.18522811529725808,1e-08,0.2686183219262704
2022,560,0.09211401324727085,0.19775613781996526,0.2757135366494811,1e-08,0.296563298130274
2023,577,0.11389462139446688,0.12282440769263075,0.17271080303744865,1e-08,0.2920876443659566
2024,601,0.1321027853958856,0.2345780240244123,0.3299926529024632,1e-08,0.2904162191937165
2025,619,0.12102659933429977,0.1860694251298013,0.28623489562153115,1e-08,0.2663967966229949
