PortfolioStrategy,FactorModel,Method1_Raw_alpha_annualized,Method2_PostMean_alpha_annualized,Method3_ProbQ5_alpha_annualized,Method1_Raw_p_value,Method2_PostMean_p_value,Method3_ProbQ5_p_value,Method1_Raw_t_stat,Method2_PostMean_t_stat,Method3_ProbQ5_t_stat,Method2_PostMean_minus_Method1_Raw_alpha_difference_annualized,Method3_ProbQ5_minus_Method1_Raw_alpha_difference_annualized,Method2_PostMean_minus_Method1_Raw_p_value,Method3_ProbQ5_minus_Method1_Raw_p_value,Method2_PostMean_minus_Method1_Raw_t_stat,Method3_ProbQ5_minus_Method1_Raw_t_stat
LongShort,CAPM,0.10964180583532421,0.087174184107881,0.012529498257072485,0.00890578388153851,0.01619277985107148,0.5883473815044535,2.642901383230736,2.426181444446236,0.5421544634538523,-0.022467621727443245,-0.09711230757825164,0.6824448838027748,0.04118155089561926,-0.40944354168619906,-2.04866306128293
LongShort,FF3,0.10082939604119917,0.07852282758275046,0.00853949439268927,0.0029972940628255618,0.003155000887512749,0.6715642649859141,3.0071998047488466,2.9908182511368464,0.4246680728638626,-0.022306568458441128,-0.09228990164850501,0.5998394955985233,0.018196961099011588,-0.5250764746109635,-2.3719564014271017
LongShort,FF3+MOM,0.054495792781276295,0.03770343026012306,0.002710217117365238,0.1387513604435262,0.21827711492544521,0.8980808044363042,1.486801526596358,1.2352770599298404,0.12826031120073023,-0.016792362521174893,-0.05178557566391734,0.7244448415236051,0.21923287508646272,-0.3527897038935581,-1.2306348477617675
LongShort,FF5,0.08570454760816,0.06528448105828089,9.244492759355628e-05,0.00556456335842026,0.005269001310675314,0.9963742266627038,2.8051162866196755,2.8234195211567124,0.004550360686977929,-0.020420066549872315,-0.08561210268056564,0.5913862130788092,0.01920696262023558,-0.5372933768280443,-2.3517330438341864
LongShort,FF5+MOM,0.05625631722275719,0.03744335981205733,-0.0007516006837180672,0.08708107269172127,0.17939021732961002,0.9719488541407912,1.7201297484401459,1.3477397063230996,-0.03521175314555883,-0.01881295741069503,-0.05700791790644033,0.6589860342276168,0.14182600362804498,-0.44166999754781905,-1.472166442185538
Q5,CAPM,0.04575849721092593,0.04715394413668998,0.033545986019250115,0.009463666002741178,0.0008881511003548948,0.07374130984931826,2.6214913110394606,3.3772053258935175,1.7981465228041287,0.001395446925763981,-0.012212511191675886,0.9502375345599834,0.6329394538975772,0.06244972129461717,-0.47797975970020634
Q5,FF3,0.04150423682851351,0.043498593684457576,0.030549768889319102,0.006642957809215089,0.0014681449510067779,0.07738140101886759,2.744748161371274,3.228577613134606,1.775812888405138,0.0019943568559277064,-0.010954467939211118,0.921458889538598,0.6322048455290274,0.09866241327847257,-0.479017202785355
Q5,FF3+MOM,0.025029043790462634,0.029832054989605714,0.03390772778397665,0.15907339168914847,0.05636766849927821,0.06294338223553941,1.4138335537348818,1.9200948712832047,1.870740109463757,0.004803011199153412,0.00887868399352855,0.8381357676963801,0.7255871030246439,0.20442093508633793,0.35126532503073943
Q5,FF5,0.03609634543139063,0.038475009473852906,0.02626722836763149,0.024637834389845015,0.007311445924150561,0.1428899234352674,2.265447828609754,2.7121668566756063,1.4713366557002292,0.002378664042440151,-0.009829117063782332,0.9111602444171856,0.6811444463957241,0.11165113391596213,-0.41122487957938875
Q5,FF5+MOM,0.021165434799576888,0.024789742935363904,0.029295244769944606,0.2231485204590058,0.10160514389809805,0.10250676450942686,1.2223018152734386,1.6453038548131655,1.6409502604337391,0.0036243081357901774,0.0081298099703776,0.8743859359849955,0.7434650221691927,0.15819945738059055,0.32751315572503165
