FormationYear,Method,PortfolioNum,Portfolio,MethodLabel,n_firms,total_marketcap,avg_theta_obs,avg_theta_post_mean,avg_theta_conservative,avg_p_q5,avg_p_q1,avg_sigma_acc
2014,Method1_ObservedQuality,1,Q1,Observed Quality,29,1111286.1099999999,-0.0965863376339523,-0.0726283290188535,-0.12923426910051602,0.0014817275820225757,0.8190706172287381,0.05003812480736857
2014,Method1_ObservedQuality,2,Q2,Observed Quality,28,533354.61,0.09659663214505752,0.1029038361043295,0.06414800802309635,0.004071077967682351,0.2496349426687007,0.05004553383479491
2014,Method1_ObservedQuality,3,Q3,Observed Quality,28,479407.79,0.17193189133586947,0.17242915595118774,0.14406190355515705,0.014941290806935402,0.041001411283459,0.04682487605874354
2014,Method1_ObservedQuality,4,Q4,Observed Quality,28,1171043.48,0.26124826051358374,0.2522032646038832,0.22108259767585342,0.2336963615805368,0.007446053767288981,0.057541026131683645
2014,Method1_ObservedQuality,5,Q5,Observed Quality,28,2822834.74,0.44872822352755326,0.4140507640624486,0.4029312564990394,0.8591295609047193,0.0007138074138652338,0.06124221293891085
2014,Method2_LatentQuality,1,Q1,Latent Quality,29,1117289.94,-0.09523537635477197,-0.0740723168292274,-0.12037214238426425,0.00014416496611915303,0.8147882680348021,0.04383681362092401
2014,Method2_LatentQuality,2,Q2,Latent Quality,28,527350.78,0.09519742224876361,0.10439939490793104,0.05496937678126417,0.005456410677010896,0.25407023290527725,0.05646832042075534
2014,Method2_LatentQuality,3,Q3,Latent Quality,28,479407.79,0.17193189133586947,0.17242915595118774,0.14406190355515705,0.014941290806935402,0.041001411283459,0.04682487605874354
2014,Method2_LatentQuality,4,Q4,Latent Quality,28,1106413.3599999999,0.26147387081970946,0.25120136485379635,0.21781075986052242,0.23448036282519702,0.007931117226949787,0.060368517355084216
2014,Method2_LatentQuality,5,Q5,Latent Quality,28,2887464.8600000003,0.44850261322142754,0.41505266381253547,0.40620309431437035,0.858345559660059,0.00022874395420442777,0.058414721715510265
2014,Method3_ConservativeQuality,1,Q1,Conservative Quality,29,944363.08,-0.09376948517942726,-0.06779074549716377,-0.13569142654549954,0.003845186597933347,0.8015408719211581,0.058225354651261954
2014,Method3_ConservativeQuality,2,Q2,Conservative Quality,28,675761.54,0.10359945141554512,0.10625490061923847,0.06664131818235162,0.021045024884097128,0.2847393278540324,0.0542391454540051
2014,Method3_ConservativeQuality,3,Q3,Conservative Quality,28,511126.0,0.16748088699032992,0.1664143163132481,0.13976500044842435,0.02965029937755458,0.029868172429254852,0.04628859949411463
2014,Method3_ConservativeQuality,4,Q4,Conservative Quality,28,1089362.96,0.2582063789263956,0.24935826612769155,0.22514322533939168,0.20861867391438674,0.002272052477111316,0.050860954891888945
2014,Method3_ConservativeQuality,5,Q5,Conservative Quality,28,2897313.15,0.44630083586189245,0.41454918329992096,0.4073619919938543,0.8500764248173562,7.247001290890878e-05,0.05578531821437754
2014,Method4_ProbabilisticQuality,1,Q1,Probabilistic Quality,28,1108700.78,-0.10219540291745773,-0.0777326450287179,-0.13477791234845396,0.0015327415952881426,0.8304659964154787,0.04982443449895995
