Ticker,FormationYear,theta_obs,theta_post_mean,p_q5,p_median,sigma_acc,MarketCap,Method1_Raw_PortfolioNum,Method1_Raw_Portfolio,Method2_PostMean_PortfolioNum,Method2_PostMean_Portfolio,Method3_ProbQ5_PortfolioNum,Method3_ProbQ5_Portfolio,Method4_ProbMedian_PortfolioNum,Method4_ProbMedian_Portfolio
AAB.CO,2010,-0.5286506469500928,-0.6975590890342557,5.972533998088725e-05,0.0010900962662372,0.0867654553434384,46.67,1,Q1,1,Q1,1,Q1,1,Q1
AAK.ST,2010,0.452191260105529,0.2481641554925195,0.397662223838275,0.6067483802658746,0.1697800858136633,5195.33,5,Q5,4,Q4,5,Q5,4,Q4
ABB.ST,2010,-1.3306413948688984,-1.583331611449538,0.0,3.774758283725532e-15,0.0664036007230479,244254.6,1,Q1,1,Q1,1,Q1,1,Q1
ACG1V.HE,2010,-1.2423343224530168,-1.5286757908220796,5.551115123125783e-15,3.710587392902198e-12,0.074648683074843,53.81,1,Q1,1,Q1,1,Q1,1,Q1
ACTI.ST,2010,-0.1178012186332962,-0.1896441243018527,0.0359785521373878,0.1377578982921682,0.0998770451172638,5221.41,1,Q1,1,Q1,2,Q2,1,Q1
ADDTb.ST,2010,0.4013059207623751,0.3665882579415201,0.5307926362444114,0.8971621492912988,0.0520236206629069,1193.13,5,Q5,5,Q5,5,Q5,5,Q5
AFAGR.HE,2010,-0.1006441223832528,-0.2898652408336105,0.1035792424240117,0.19990871802614,0.5313860466080413,4536.01,1,Q1,1,Q1,3,Q3,2,Q2
AFGA.OL,2010,0.3347653090225401,0.2871069875019194,0.3918563736169718,0.7322870935114303,0.0728957878431781,2107.01,4,Q4,5,Q5,5,Q5,4,Q4
AFK.OL,2010,0.056797323631971,0.0337734031569799,0.1975383827699676,0.3894890747343629,0.144990380884436,2736.16,2,Q2,2,Q2,3,Q3,2,Q2
AFRY.ST,2010,0.2271955287605978,0.2191957326763182,0.1588045937840952,0.7258164595309616,0.0375566168997435,2566.5,4,Q4,4,Q4,3,Q3,4,Q4
AGATE.CO,2010,0.0901279155578415,0.0821963786432243,0.2620174277996898,0.4467642191892914,0.1944687605029809,726.11,2,Q2,2,Q2,4,Q4,3,Q3
AGFEb.CO,2010,-0.8359167404783003,-1.718012827861039,2.588297807248896e-05,0.0001417954800644,0.5685774742770818,248.02,1,Q1,1,Q1,1,Q1,1,Q1
AKAST.OL,2010,0.3014359311629946,0.2744076386880452,0.3436029096917934,0.7568907345128073,0.0568863875976007,4308.16,4,Q4,4,Q4,4,Q4,4,Q4
AKRBP.OL,2010,-0.3267558667400766,-0.3562445284585609,1.4838145379059142e-07,0.0001713667233436,0.0389842149253773,3755.56,1,Q1,1,Q1,1,Q1,1,Q1
AKVA.OL,2010,-0.1317019950124689,-0.1477195280307644,0.0001441815540496,0.0188805706426544,0.0388960401783315,344.46,1,Q1,1,Q1,1,Q1,1,Q1
ALFA.ST,2010,0.442248977475661,0.4299638495689536,0.7794221739903764,0.9981356260193192,0.0277924772346647,33806.22,5,Q5,5,Q5,5,Q5,5,Q5
ALKb.CO,2010,0.2651136606835459,0.1785541715498975,0.325446423587969,0.5409139422522562,0.1529855212802344,4193.19,4,Q4,4,Q4,4,Q4,4,Q4
AMBUb.CO,2010,0.296143174760671,0.288388981204216,0.2711881869344342,0.921481245155878,0.0293021579448979,1268.2,4,Q4,5,Q5,4,Q4,5,Q5
ANODb.ST,2010,0.1014981890023048,0.1012313942467593,0.1932393639800735,0.4482290208488778,0.0945878350697436,435.05,3,Q3,3,Q3,3,Q3,3,Q3
ANOT.ST,2010,-0.0553134162770425,-0.1608520055635026,0.1170823844376122,0.2436247674392091,0.2041554686746908,407.83,1,Q1,1,Q1,3,Q3,2,Q2
AOJb.CO,2010,0.8479012879513235,0.4204176570297024,0.567297054062333,0.759372957454469,0.1663868937814745,283.52,5,Q5,5,Q5,5,Q5,4,Q4
APETIT.HE,2010,-0.0459806452746017,-0.0944247542017415,0.0690475420548372,0.2193939744495487,0.099931588950472,820.01,2,Q2,1,Q1,2,Q2,2,Q2
AQ.ST,2010,0.1390188392970034,0.1345494077117654,0.1182598761257609,0.4903255512130375,0.0534931612563443,672.99,3,Q3,3,Q3,3,Q3,3,Q3
ARP.ST,2010,0.1870980113295886,0.181783592211386,0.0979584641788461,0.6268785400758988,0.0371282756130075,1713.87,4,Q4,4,Q4,2,Q2,4,Q4
ARRA.OL,2010,-0.1187142145880011,-0.2025581404217142,0.0437408258781779,0.1465766027697161,0.112170763239966,18.04,1,Q1,1,Q1,2,Q2,1,Q1
ASPO.HE,2010,0.0557998702328599,0.0344523983819847,0.186486195275911,0.3848629187199287,0.1320073188276649,1142.93,2,Q2,2,Q2,3,Q3,2,Q2
ASSAb.ST,2010,0.2857785758439517,0.2846909317177086,0.0471063222719266,0.9998314587789822,0.0110849892913913,38660.27,4,Q4,5,Q5,2,Q2,5,Q5
ATCOa.ST,2010,0.4152508100352901,0.3733365866783159,0.5425585240397817,0.8874904150884028,0.0564455097920212,70074.61,5,Q5,5,Q5,5,Q5,5,Q5
ATEA.OL,2010,0.0809811589050835,0.0792146820359459,0.0356224357739101,0.3466146712972694,0.043050280130529,4322.57,2,Q2,2,Q2,2,Q2,2,Q2
ATLA.CO,2010,0.1290395189555933,0.1172963423886249,0.2507270286672465,0.4752691929621579,0.1273353096622592,474.39,3,Q3,3,Q3,4,Q4,3,Q3
ATRAV.HE,2010,0.2776042299073878,0.2566701779642152,0.2992648019772144,0.7405679138821375,0.0528634562888414,1698.75,4,Q4,4,Q4,4,Q4,4,Q4
ATRLJb.ST,2010,0.1145559804733623,0.1107970150408194,0.2046493380762892,0.4616545251347274,0.0959031982043327,7005.12,3,Q3,3,Q3,3,Q3,3,Q3
AUSS.OL,2010,0.146994988358786,0.135422595201257,0.2093938107533091,0.4946612949036856,0.0849314055161493,7318.1,3,Q3,3,Q3,3,Q3,3,Q3
AXFO.ST,2010,0.3508895361654028,0.2166080030671277,0.3628455781061055,0.5792762855513899,0.1556035471007179,8893.74,4,Q4,4,Q4,4,Q4,4,Q4
AZN.ST,2010,0.781804557254512,0.7157655056227403,0.9863458084910488,0.9997725559088768,0.0470904208572156,394961.01,5,Q5,5,Q5,5,Q5,5,Q5
AZT.OL,2010,-0.6333605887162715,-0.7758451692943257,5.864052651238794e-07,4.0747952049557945e-05,0.0703335221781075,120.55,1,Q1,1,Q1,1,Q1,1,Q1
BAVA.CO,2010,-0.2646515597335269,-0.3463720417817804,0.0024942969204577,0.0256149283049184,0.0768079144480549,1272.1,1,Q1,1,Q1,1,Q1,1,Q1
BEGR.ST,2010,-5.892700605572506,-8.10947754272396,0.0,0.0,0.1099288838562948,1763.86,1,Q1,1,Q1,1,Q1,1,Q1
BEIAb.ST,2010,0.2386938755107905,0.2068693741374523,0.2836676076161897,0.604932068582254,0.0792031097850378,1784.29,4,Q4,4,Q4,4,Q4,4,Q4
BEIJb.ST,2010,0.1497060076693651,0.1255682104542765,0.2733408041379581,0.485762878473998,0.1464221227539112,2717.8,3,Q3,3,Q3,4,Q4,3,Q3
BERGb.ST,2010,0.0721706269522535,0.0643075900197452,0.1420218230577288,0.390685922930875,0.0851332463631965,677.17,2,Q2,2,Q2,3,Q3,2,Q2
BETSb.ST,2010,0.7788891734329573,0.7317673230074947,0.9967566252222044,0.9999896176778228,0.0392691130847194,1447.76,5,Q5,5,Q5,5,Q5,5,Q5
BIF.CO,2010,0.1673374856654599,0.1457514960713357,0.2481376678320712,0.5088297683598018,0.101246230790022,160.37,3,Q3,3,Q3,4,Q4,3,Q3
BILIa.ST,2010,0.1199240229665749,0.1169322660470284,0.1396172150769936,0.4596295443166489,0.0650705930000163,1350.41,3,Q3,3,Q3,3,Q3,3,Q3
BILL.ST,2010,0.0313203811409479,0.0248610416825556,0.0196633735350016,0.2365045880575822,0.0453814978567912,4596.59,2,Q2,2,Q2,2,Q2,2,Q2
BINV.ST,2010,0.8262608309264607,0.1790085336717122,0.3638778014463442,0.5319409045981006,0.4170982951923417,1143.91,5,Q5,4,Q4,4,Q4,3,Q3
BIOBV.HE,2010,0.8539952718676123,0.5740456913119606,0.7540778599192807,0.9116401762428886,0.1105659984456702,93.48,5,Q5,5,Q5,5,Q5,5,Q5
BIOGb.ST,2010,0.4629885057471263,0.4253033296806966,0.6648271177315923,0.9533626213577449,0.0490268752246918,1026.75,5,Q5,5,Q5,5,Q5,5,Q5
BIOPOR.CO,2010,-0.5029103608847496,-0.8156960899969087,0.0010337099873727,0.0059174083247208,0.1484078611480108,331.14,1,Q1,1,Q1,1,Q1,1,Q1
BITTI.HE,2010,0.072443090390268,0.0503828460944375,0.2522492101899527,0.4224280464371006,0.2401905147663041,778.37,2,Q2,2,Q2,4,Q4,3,Q3
BNOR.OL,2010,-0.077674076223329,-0.0921072465689736,0.0014533192666529,0.0609165368789681,0.0423665962091636,3409.22,1,Q1,2,Q2,1,Q1,1,Q1
BO.CO,2010,-1.0411098383606978,-1.0675258598864952,0.0,0.0,0.0220694816292328,1924.6,1,Q1,1,Q1,1,Q1,1,Q1
BOL.ST,2010,0.2228038912186057,0.1930277674724664,0.2714113453567073,0.581545084405203,0.082253191275825,17939.47,4,Q4,4,Q4,4,Q4,4,Q4
