variant,vs_baseline,median_abs_diff,p95_abs_diff,median_rel_diff_pct,p95_rel_diff_pct,spearman_rho
sigma0_quarter,baseline,0.0003077566624764723,0.002345495058467316,0.8523215115956616,2.297315340865942,0.9999116161332334
sigma0_half,baseline,0.00016946137133770633,0.000821429706396899,0.44796479097506736,1.4251356771040018,0.9999349637789631
sigma0_double,baseline,0.00014997247778487932,0.000715796232966947,0.4147138030405389,1.272942384432956,0.999926380836988
sigma0_4x,baseline,0.00016569304497710685,0.0006762426833182454,0.45713571903993766,1.343298109946473,0.9999224980775232
sigma0_8x,baseline,0.00014736648773950277,0.0008059947499464062,0.42882275989910834,1.4589489000540796,0.9999222426328216
omega_half,baseline,0.00014361439781598873,0.0005912241708274616,0.41142023768353253,1.2857780788952444,0.9999282711277802
tau_half,baseline,0.00015783809643604707,0.0006123012118594608,0.4171805605538264,1.3808244212316951,0.9999286287503625
omega_double,baseline,0.00015390919937122507,0.0005665846127709094,0.38728020328059526,1.2004505498400238,0.9999288841950641
tau_double,baseline,0.00014253505659731283,0.0006205787862642524,0.4014680586369163,1.290487090270998,0.9999267384595704
omega_4x,baseline,0.0001509668021472746,0.0005691914902218374,0.37657872072813486,1.1793718937028315,0.9999331756660517
tau_4x,baseline,0.0001614766992756797,0.0006892782275158436,0.44091491539080313,1.3334023299733686,0.9999224469885829
mu0_half,baseline,0.00014595568575502885,0.0005979170369891469,0.38517010107191607,1.293703125107495,0.9999275558826156
mu0_double,baseline,0.00015515196050490399,0.0006036834676178403,0.40958515528655437,1.2947312358733591,0.9999203523420295
nu_quarter,baseline,0.00019470604642912379,0.0010514221949162374,0.5562441263440879,1.510597244472261,0.9999149369143547
nu_half,baseline,0.00016919817615386468,0.0007165187931915002,0.44107020228445787,1.3840745239995274,0.9999230600558667
nu_double,baseline,0.0002168643222961314,0.001209746776693039,0.591669919273649,1.9215392784197292,0.9999070692175442
nu_4x,baseline,0.0005446210626462306,0.002817502605911584,1.4681557357578434,3.7806024360278045,0.9998342674775775
betas_half,baseline,0.00017183094310407182,0.0006691281978280546,0.42071399750580263,1.5706807633976745,0.9999186153180583
betas_3x,baseline,0.0001462662626078963,0.0006206159858912706,0.3755902425966973,1.4007171867849384,0.9999237753010314
betas_10x,baseline,0.00014661647770946099,0.0006172551141501274,0.383179485700953,1.2444777593578487,0.9999355257573067
all_variance_2x,baseline,0.0001462704526729655,0.0006194281025961943,0.3974504445370451,1.3429908211486725,0.999924337279375
all_variance_half,baseline,0.00016004643601617852,0.0010167465948046279,0.4378552986332818,1.3877675248252912,0.9999291907287061
sigma0_2x_nu_loose,baseline,0.00016766872560067952,0.0007257870633033175,0.45998584415089866,1.3530129533430004,0.9999194327411035
stress_max,baseline,0.00016383609927337825,0.0006849651938920831,0.42243059881132383,1.374383295166612,0.9999242351014943
stress_min,baseline,0.0001552169055256715,0.0009244499934341473,0.46008465262246834,1.356753951624433,0.9999278624162575
