,baseline,sigma0_quarter,sigma0_half,sigma0_double,sigma0_4x,sigma0_8x,omega_half,tau_half,omega_double,tau_double,omega_4x,tau_4x,mu0_half,mu0_double,nu_quarter,nu_half,nu_double,nu_4x,betas_half,betas_3x,betas_10x,all_variance_2x,all_variance_half,sigma0_2x_nu_loose,stress_max,stress_min
baseline,1.0,0.9999116161332334,0.9999349637789631,0.999926380836988,0.9999224980775232,0.9999222426328216,0.9999282711277802,0.9999286287503625,0.9999288841950641,0.9999267384595704,0.9999331756660517,0.9999224469885829,0.9999275558826156,0.9999203523420295,0.9999149369143547,0.9999230600558667,0.9999070692175442,0.9998342674775775,0.9999186153180583,0.9999237753010314,0.9999355257573067,0.999924337279375,0.9999291907287061,0.9999194327411035,0.9999242351014943,0.9999278624162575
sigma0_quarter,0.9999116161332334,1.0,0.999940890096041,0.9998928154031929,0.9998860205741293,0.9998837215718146,0.9999228046111651,0.9999081420852911,0.9999160608710419,0.9999020114124518,0.9999079377295298,0.9998986906313305,0.9999012961672873,0.9999084997078734,0.9999052811046328,0.9999104410876059,0.999868343800776,0.9997749532178574,0.999909674753501,0.9999084486189331,0.999894092626701,0.9998963916290158,0.9999310810194982,0.9999040038811247,0.9999052300156924,0.9999316940867822
sigma0_half,0.9999349637789631,0.999940890096041,1.0,0.9999323582430064,0.9999275558826156,0.9999198925415664,0.9999444152329237,0.9999334821996936,0.9999407879181604,0.9999402259398168,0.9999431380094155,0.9999287309282431,0.9999387443605473,0.999941809696967,0.9999279645941382,0.999930263596453,0.9999138640466079,0.999835749056847,0.9999256145028832,0.9999338909112162,0.9999347594232018,0.9999303146853933,0.9999537645090036,0.9999282200388399,0.9999382845600844,0.9999542243094666
sigma0_double,0.999926380836988,0.9998928154031929,0.9999323582430064,1.0,0.9999346572453212,0.9999313875531401,0.9999326647766483,0.9999237753010314,0.9999340952669775,0.9999283733056609,0.9999350659568438,0.9999358322909486,0.9999411455407428,0.9999338909112162,0.9999205056088504,0.9999361388245906,0.9999189218517003,0.99985337474126,0.9999153967148177,0.9999325625987677,0.9999459479011334,0.9999305190411546,0.9999300081517514,0.9999260232144058,0.9999400726729958,0.9999281689498996
sigma0_4x,0.9999224980775232,0.9998860205741293,0.9999275558826156,0.9999346572453212,1.0,0.9999308766637369,0.9999311321084385,0.9999312853752595,0.9999309788416175,0.9999314897310209,0.9999347083342615,0.9999201479862682,0.9999317451757225,0.9999294461734077,0.999920914320373,0.9999191772964019,0.9999146303807127,0.9998377415255199,0.9999162141378629,0.9999228557001054,0.9999271982600333,0.9999233665895088,0.9999230089669264,0.9999261253922864,0.9999280667720188,0.9999261764812267
sigma0_8x,0.9999222426328216,0.9998837215718146,0.9999198925415664,0.9999313875531401,0.9999308766637369,1.0,0.9999156521595193,0.9999253079692412,0.999926993904272,0.9999198414526261,0.9999285776614222,0.9999272493489736,0.9999281178609593,0.9999184109622969,0.999915601070579,0.9999244394572556,0.9999193305632229,0.9998414710181638,0.9999106965323076,0.9999215273876569,0.9999343507116791,0.9999300592406917,0.9999239796567927,0.999918257695476,0.9999255123250025,0.9999260743033461
omega_half,0.9999282711277802,0.9999228046111651,0.9999444152329237,0.9999326647766483,0.9999311321084385,0.9999156521595193,1.0,0.9999248992577185,0.999941503163325,0.999935730113068,0.9999327158655886,0.9999214252097763,0.9999395617835926,0.9999424227642509,0.999920761053552,0.9999275558826156,0.9999111052438301,0.999839785083133,0.9999306723079756,0.9999211186761343,0.9999267384595704,0.9999304679522143,0.9999374671370391,0.9999257677697041,0.999930263596453,0.9999406346513394
tau_half,0.9999286287503625,0.9999081420852911,0.9999334821996936,0.9999237753010314,0.9999312853752595,0.9999253079692412,0.9999248992577185,1.0,0.9999305190411546,0.9999358322909486,0.9999356279351873,0.9999292929065867,0.9999314386420805,0.9999282711277802,0.9999243883683153,0.9999245927240766,0.9999109519770092,0.9998436678425978,0.9999248992577185,0.9999291907287061,0.9999318473536031,0.9999267895485107,0.9999290885508254,0.9999251547024202,0.9999289863729448,0.9999274026157946
omega_double,0.9999288841950641,0.9999160608710419,0.9999407879181604,0.9999340952669775,0.9999309788416175,0.999926993904272,0.999941503163325,0.9999305190411546,1.0,0.9999357812020083,0.9999404302955781,0.9999345550674404,0.9999339420001565,0.9999355257573067,0.999923877478912,0.9999277091494366,0.9999178489839534,0.9998417775518057,0.9999216295655377,0.9999281689498996,0.9999388976273683,0.9999391530720699,0.9999297016181093,0.9999270449932123,0.9999355257573067,0.9999381823822037
tau_double,0.9999267384595704,0.9999020114124518,0.9999402259398168,0.9999283733056609,0.9999314897310209,0.9999198414526261,0.999935730113068,0.9999358322909486,0.9999357812020083,1.0,0.9999338909112162,0.9999284243946012,0.9999337887333356,0.9999402770287571,0.9999193305632229,0.9999261253922864,0.9999217317434183,0.9998579216569492,0.9999245927240766,0.9999279645941382,0.9999335843775743,0.9999279135051979,0.9999328691324096,0.9999209654093133,0.9999344018006194,0.999938386737965
