parameter,prior_dist,prior_sd,posterior_mean,posterior_sd,contraction
beta_PPE,Normal,0.3,-0.0004316839500938605,0.0020094776433184154,0.9999551333289001
mu_0,Normal,0.1,0.0028183769710852665,0.0015273016897459544,0.9997667349548499
nu_minus_two,Exponential,10.0,0.7350709991038131,0.18489954846734669,0.9996581215697657
beta_dREV,Normal,0.3,0.08789862683665677,0.0063270832444638336,0.9995552001957514
tau,HalfNormal,0.03014051374945435,0.0071396002332727556,0.0011148944830697205,0.9986317475593233
beta_CFO_lag1,Normal,0.3,0.2691802401127362,0.013381096405029795,0.9980105139888811
beta_CFO_curr,Normal,0.3,-0.3058738074354354,0.01379412990541706,0.997885799779472
omega,HalfNormal,0.03014051374945435,0.0023827318570140517,0.0014104905818707173,0.997810025389099
sigma_0,HalfNormal,0.03014051374945435,0.06690021333024615,0.014708180400266896,0.7618686387024592
