FormationYear,n_firms,mu_t,var_obs_t,avg_obs_var_i,tau2_t,q5_cutoff_obs,median_cutoff_obs,q1_cutoff_obs,median_sigma_raw,sigma_input_col,n_sigma_draws_used,tau2_floor_share
2014,141,0.1744477760229303,0.05266748231303295,0.005442986369207588,0.04722449594382536,0.3076398974414143,0.1659043506897434,0.0604674903041995,0.0673500218682851,sigma_mean,1,0.0
2015,159,0.20210259419557466,0.05109588141768789,0.006202400175178632,0.044893481242509255,0.34705720630872217,0.1861844691419789,0.06368517020252508,0.0583948847615272,sigma_mean,1,0.0
2016,170,0.16807957460820416,0.19313066936309126,0.02371520472156367,0.1694154646415276,0.311129823765845,0.17500827540966857,0.06487540443982158,0.056356834670235,sigma_mean,1,0.0
2017,190,0.19419199874764886,0.14359670238374667,0.017385523170634947,0.12621117921311173,0.332137232480357,0.1931314149931168,0.055017880057624015,0.0616708827722165,sigma_mean,1,0.0
2018,200,0.18474809199508457,0.1024220825887608,0.014949961736470771,0.08747212085229003,0.3269341129399266,0.18349261513178916,0.07958835192614472,0.06218444287539115,sigma_mean,1,0.0
2019,226,0.1683158904202394,0.10720614778607478,0.01584269204350868,0.0913634557425661,0.3199737666690956,0.16317640164546282,0.0557613543520285,0.06480967828810665,sigma_mean,1,0.0
2020,243,0.1709832471256192,0.12847715978146687,0.01963811199520582,0.10883904778626105,0.32029076305815557,0.1561560213937813,0.057775789075831446,0.0668300433251954,sigma_mean,1,0.0
2021,262,0.1497269652316867,0.08352134819870609,0.011665111858586505,0.07185623634011959,0.3083825532869748,0.15965207634030304,0.026420745464244805,0.0700798408217776,sigma_mean,1,0.0
2022,281,0.17572326734304614,0.17419007707847048,0.023998236976208363,0.1501918401022621,0.3406202639762613,0.1782093562965676,0.0329783880822713,0.0745097919956523,sigma_mean,1,0.0
2023,308,0.17593655967458482,0.12373891608637262,0.01794995601715304,0.10578896006921959,0.33834103821173844,0.1566623819357953,0.015889526236858745,0.06854169648321155,sigma_mean,1,0.0
2024,328,0.2769557876273803,3.8177838659714856,0.5512971788747759,3.2664866870967098,0.30200911994582263,0.13439093688145226,0.009024116434646453,0.06081159773285485,sigma_mean,1,0.0
2025,350,0.16581241968849003,0.26153713922827837,0.04111418296525873,0.22042295626301964,0.28744966697269697,0.12027424997301264,0.004035510325923898,0.0545457114308923,sigma_mean,1,0.0
