Comparison,alpha_difference,t_stat,p_value,n_obs
Method2_PostMean vs Method1_Raw,0.00037583323231861823,0.08413870419370428,0.9329916565552852,192.0
Method3_ProbQ5 vs Method1_Raw,-0.00010328624171001503,-0.02457305898145445,0.9804087557424033,192.0
Method4_ProbMedian vs Method1_Raw,-0.0017263199802093677,-0.3906038398226075,0.6963148814010143,192.0
