FormationYear,ComparisonMethod,ComparisonMethodLabel,ObservedPortfolio,ComparisonPortfolio,n_firm_years,n_unique_firms,share_of_observed_tail
2010,Method2_LatentQuality,Latent Quality,Q1,Q1,57,57,0.9047619047619048
2010,Method2_LatentQuality,Latent Quality,Q1,Q2,6,6,0.09523809523809523
2010,Method2_LatentQuality,Latent Quality,Q1,Q3,0,0,0.0
2010,Method2_LatentQuality,Latent Quality,Q1,Q4,0,0,0.0
2010,Method2_LatentQuality,Latent Quality,Q1,Q5,0,0,0.0
2010,Method2_LatentQuality,Latent Quality,Q1,Not assigned,0,0,0.0
2011,Method2_LatentQuality,Latent Quality,Q1,Q1,62,62,0.9538461538461539
2011,Method2_LatentQuality,Latent Quality,Q1,Q2,3,3,0.046153846153846156
2011,Method2_LatentQuality,Latent Quality,Q1,Q3,0,0,0.0
2011,Method2_LatentQuality,Latent Quality,Q1,Q4,0,0,0.0
2011,Method2_LatentQuality,Latent Quality,Q1,Q5,0,0,0.0
2011,Method2_LatentQuality,Latent Quality,Q1,Not assigned,0,0,0.0
2012,Method2_LatentQuality,Latent Quality,Q1,Q1,66,66,0.9705882352941176
2012,Method2_LatentQuality,Latent Quality,Q1,Q2,2,2,0.029411764705882353
2012,Method2_LatentQuality,Latent Quality,Q1,Q3,0,0,0.0
2012,Method2_LatentQuality,Latent Quality,Q1,Q4,0,0,0.0
2012,Method2_LatentQuality,Latent Quality,Q1,Q5,0,0,0.0
2012,Method2_LatentQuality,Latent Quality,Q1,Not assigned,0,0,0.0
2013,Method2_LatentQuality,Latent Quality,Q1,Q1,67,67,0.9436619718309859
2013,Method2_LatentQuality,Latent Quality,Q1,Q2,4,4,0.056338028169014086
2013,Method2_LatentQuality,Latent Quality,Q1,Q3,0,0,0.0
2013,Method2_LatentQuality,Latent Quality,Q1,Q4,0,0,0.0
2013,Method2_LatentQuality,Latent Quality,Q1,Q5,0,0,0.0
2013,Method2_LatentQuality,Latent Quality,Q1,Not assigned,0,0,0.0
2014,Method2_LatentQuality,Latent Quality,Q1,Q1,71,71,0.9726027397260274
2014,Method2_LatentQuality,Latent Quality,Q1,Q2,2,2,0.0273972602739726
2014,Method2_LatentQuality,Latent Quality,Q1,Q3,0,0,0.0
2014,Method2_LatentQuality,Latent Quality,Q1,Q4,0,0,0.0
2014,Method2_LatentQuality,Latent Quality,Q1,Q5,0,0,0.0
2014,Method2_LatentQuality,Latent Quality,Q1,Not assigned,0,0,0.0
2015,Method2_LatentQuality,Latent Quality,Q1,Q1,69,69,0.9078947368421053
2015,Method2_LatentQuality,Latent Quality,Q1,Q2,7,7,0.09210526315789473
2015,Method2_LatentQuality,Latent Quality,Q1,Q3,0,0,0.0
2015,Method2_LatentQuality,Latent Quality,Q1,Q4,0,0,0.0
2015,Method2_LatentQuality,Latent Quality,Q1,Q5,0,0,0.0
