Ticker,Date,Price,LagPrice,DividendRaw,DividendYieldRaw,Dividend,DividendYield,PriceReturn,Return,DividendSanityFlag
ARRA.OL,2011-05-31,1251.209248,1374.736275,20000.0,14.548244898826141,0.0,0.0,-0.08985507202099552,-0.08985507202099552,dividend_yield_gt_1_excluded
ARRA.OL,2016-05-31,564.172919,821.185027,76000.0,92.54917893187549,0.0,0.0,-0.31297709961776987,-0.31297709961776987,dividend_yield_gt_1_excluded
ENSG.CO,2016-09-30,6.653580389999999,7.4123368462,9.9072,1.3365825387548347,0.0,0.0,-0.10236400098155063,-0.10236400098155063,dividend_yield_gt_1_excluded
ARRA.OL,2016-10-31,3003.699163,459.565972,35320.0,76.85512451300464,0.0,0.0,5.535947711550759,5.535947711550759,dividend_yield_gt_1_excluded
AFK.OL,2017-12-31,99.597329,94.867414,370.3098,3.9034457079224274,0.0,0.0,0.049858163099080643,0.049858163099080643,dividend_yield_gt_1_excluded
ENSG.CO,2018-04-30,5.8864501278,7.594768092000001,24.6333,3.2434565086915095,0.0,0.0,-0.22493352575169068,-0.22493352575169068,dividend_yield_gt_1_excluded
ENSG.CO,2018-11-30,4.988101112800001,5.2099567975,15.9628101644,3.0639045168397097,0.0,0.0,-0.04258301811762755,-0.04258301811762755,dividend_yield_gt_1_excluded
ENSG.CO,2019-05-31,5.4214234109,5.784133949600001,6.808676103,1.1771297418640954,0.0,0.0,-0.06270783869469065,-0.06270783869469065,dividend_yield_gt_1_excluded
ARRA.OL,2020-11-30,48.565947,47.307762,55.60000000000001,1.1752828214532747,0.0,0.0,0.02659574130773734,0.02659574130773734,dividend_yield_gt_1_excluded
20202.OL,2022-07-31,1.760722,1.751373,1.79577,1.0253498255368787,0.0,0.0,0.005338097595429359,0.005338097595429359,dividend_yield_gt_1_excluded
20202.OL,2022-08-31,1.382089,1.760722,1.7620019999999998,1.0007269745025051,0.0,0.0,-0.21504416938051552,-0.21504416938051552,dividend_yield_gt_1_excluded
20202.OL,2023-11-30,1.857328,1.569069,2.13054,1.3578370358473717,0.0,0.0,0.18371339947446552,0.18371339947446552,dividend_yield_gt_1_excluded
20202.OL,2024-01-31,2.198566,1.893166,2.207751,1.1661687353354118,0.0,0.0,0.1613170741498633,0.1613170741498633,dividend_yield_gt_1_excluded
SKAKO.CO,2024-02-29,25.0525756656,21.4210132782,38.114091488781,1.7792851810408714,0.0,0.0,0.16953270791796826,0.16953270791796826,dividend_yield_gt_1_excluded
20202.OL,2024-04-30,3.012043,2.326335,17.670778578015998,7.5959733133946745,0.0,0.0,0.2947589233708816,0.2947589233708816,dividend_yield_gt_1_excluded
