Ticker,YahooTicker,FetchStatus,FetchMessage,PriceRows,SplitRows,FetchedAt
ATRLJb.ST,ATRLJ-B.ST,ok,,5354,2,2026-05-04T15:40:59.490465+00:00
ATTE.ST,ATTE.ST,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:41:06.077860+00:00
AUSS.OL,AUSS.OL,ok,,4888,0,2026-05-04T15:41:11.526056+00:00
AXFO.ST,AXFO.ST,ok,,5354,1,2026-05-04T15:41:16.960843+00:00
AZN.ST,AZN.ST,ok,,5354,0,2026-05-04T15:41:22.347229+00:00
B3.ST,B3.ST,ok,,2465,0,2026-05-04T15:41:27.790371+00:00
BAKKA.OL,BAKKA.OL,ok,,4020,0,2026-05-04T15:41:33.267510+00:00
BALCO.ST,BALCO.ST,ok,,2128,0,2026-05-04T15:41:38.729451+00:00
BEGR.ST,BEGR.ST,ok,,4860,1,2026-05-04T15:41:44.342706+00:00
BEIAb.ST,BEIA-B.ST,ok,,5354,2,2026-05-04T15:41:49.903860+00:00
BEIJb.ST,BEIJ-B.ST,ok,,5354,4,2026-05-04T15:41:55.588174+00:00
BERAHF.IC,BERAHF.IC,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:42:02.305941+00:00
BERGb.ST,BERG-B.ST,ok,,5354,0,2026-05-04T15:42:07.924678+00:00
BERNERb.ST,BERNER-B.ST,ok,,2875,0,2026-05-04T15:42:13.519588+00:00
BETSb.ST,BETS-B.ST,ok,,5354,1,2026-05-04T15:42:19.184381+00:00
BEWI.OL,BEWI.OL,ok,,1404,0,2026-05-04T15:42:24.513873+00:00
BILIa.ST,BILI-A.ST,ok,,5354,2,2026-05-04T15:42:30.194808+00:00
BILL.ST,BILL.ST,ok,,5354,0,2026-05-04T15:42:35.706365+00:00
BIOAb.ST,BIOA-B.ST,ok,,2124,0,2026-05-04T15:42:41.153346+00:00
BIOBV.HE,BIOBV.HE,ok,,5356,0,2026-05-04T15:42:46.644603+00:00
BIOGb.ST,BIOG-B.ST,ok,,5354,1,2026-05-04T15:42:52.263334+00:00
BITTI.HE,BITTI.HE,ok,,5356,1,2026-05-04T15:42:57.944336+00:00
BMAX.ST,BMAX.ST,ok,,3978,0,2026-05-04T15:43:03.443284+00:00
BO.CO,BO.CO,ok,,5324,0,2026-05-04T15:43:09.028222+00:00
BOL.ST,BOL.ST,ok,,5354,2,2026-05-04T15:43:14.764913+00:00
BOLJ.ST,BOLJ.ST,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:43:21.465185+00:00
BONAVb.ST,BONAV-B.ST,ok,,2467,0,2026-05-04T15:43:26.869953+00:00
BONHR.OL,BONHR.OL,ok,,5350,1,2026-05-04T15:43:32.540760+00:00
BOR.OL,BOR.OL,ok,,5350,1,2026-05-04T15:43:38.144828+00:00
BOREO.HE,BOREO.HE,ok,,5356,0,2026-05-04T15:43:43.662382+00:00
BORG.ST,BORG.ST,ok,,5354,2,2026-05-04T15:43:49.316437+00:00
BOUL.ST,BOUL.ST,ok,,3710,1,2026-05-04T15:43:54.771689+00:00
BOUV.OL,BOUV.OL,ok,,4741,2,2026-05-04T15:44:00.419300+00:00
BRAV.ST,BRAV.ST,ok,,2627,0,2026-05-04T15:44:05.850654+00:00
BRGB.OL,BRGB.OL,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:44:12.376420+00:00
BRIMH.IC,BRIMH.IC,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:44:18.764067+00:00
BTSb.ST,BTS-B.ST,ok,,5354,1,2026-05-04T15:44:24.308808+00:00
BUFAB.ST,BUFAB.ST,ok,,3040,1,2026-05-04T15:44:29.822323+00:00
BULTEN.ST,BULTEN.ST,ok,,3732,0,2026-05-04T15:44:35.355978+00:00
BWLPG.OL,BWLPG.OL,ok,,3099,0,2026-05-04T15:44:40.859715+00:00
CARLb.CO,CARL-B.CO,ok,,5324,0,2026-05-04T15:44:46.602250+00:00
CAST.ST,CAST.ST,ok,,5354,1,2026-05-04T15:44:52.305189+00:00
CATE.ST,CATE.ST,ok,,5354,0,2026-05-04T15:44:57.827958+00:00
CBRAIN.CO,CBRAIN.CO,ok,,5027,0,2026-05-04T15:45:03.417753+00:00
CEMAT.CO,CEMAT.CO,ok,,5324,0,2026-05-04T15:45:08.968375+00:00
CEVI.ST,CEVI.ST,ok,,4734,0,2026-05-04T15:45:14.586314+00:00
CHEMM.CO,CHEMM.CO,ok,,4814,0,2026-05-04T15:45:20.120018+00:00
CIBUS.ST,CIBUS.ST,ok,,2021,1,2026-05-04T15:45:25.555052+00:00
CLASb.ST,CLAS-B.ST,ok,,5354,0,2026-05-04T15:45:31.134055+00:00
CLOEb.ST,CLOE-B.ST,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:45:37.965345+00:00
COLOb.CO,COLO-B.CO,ok,,5324,1,2026-05-04T15:45:43.579016+00:00
COLUM.CO,COLUM.CO,ok,,5324,0,2026-05-04T15:45:49.103396+00:00
CONSTI.HE,CONSTI.HE,ok,,2586,0,2026-05-04T15:45:54.523924+00:00
CONTX.OL,CONTX.OL,ok,,5350,1,2026-05-04T15:46:00.076373+00:00
COOR.ST,COOR.ST,ok,,2714,0,2026-05-04T15:46:05.548399+00:00
COREa.ST,CORE-A.ST,ok,,4620,4,2026-05-04T15:46:11.075942+00:00
CPHCAPST.CO,CPHCAPST.CO,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:46:17.703808+00:00
CRADb.ST,CRAD-B.ST,ok,,4696,0,2026-05-04T15:46:23.175545+00:00
CTH1V.HE,CTH1V.HE,ok,,5356,2,2026-05-04T15:46:28.692567+00:00
CTTS.ST,CTTS.ST,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:46:35.183972+00:00
CTY1S.HE,CTY1S.HE,ok,,5356,1,2026-05-04T15:46:40.937640+00:00
DANT.CO,DANT.CO,ok,,5324,0,2026-05-04T15:46:46.500895+00:00
DEDIC.ST,DEDIC.ST,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:46:53.257493+00:00
DFDS.CO,DFDS.CO,ok,,5324,1,2026-05-04T15:46:58.795495+00:00
DIGIA.HE,DIGIA.HE,ok,,5356,0,2026-05-04T15:47:04.502838+00:00
DIGIGR.HE,DIGIGR.HE,ok,,5356,2,2026-05-04T15:47:10.081384+00:00
DIOS.ST,DIOS.ST,ok,,4994,0,2026-05-04T15:47:15.594368+00:00
DNO.OL,DNO.OL,ok,,5350,3,2026-05-04T15:47:21.294741+00:00
DNORD.CO,DNORD.CO,ok,,5324,1,2026-05-04T15:47:27.062185+00:00
DOFG.OL,DOFG.OL,ok,,697,0,2026-05-04T15:47:32.474912+00:00
DOMETIC.ST,DOMETIC.ST,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:47:39.303138+00:00
DOV1V.HE,DOV1V.HE,ok,,5356,0,2026-05-04T15:47:44.924083+00:00
DSV.CO,DSV.CO,ok,,5324,1,2026-05-04T15:47:50.363640+00:00
DUNI.ST,DUNI.ST,ok,,4614,0,2026-05-04T15:47:55.959892+00:00
DUST.ST,DUST.ST,ok,,2797,0,2026-05-04T15:48:01.438263+00:00
DYVOX.ST,DYVOX.ST,ok,,1080,0,2026-05-04T15:48:06.796847+00:00
EAST9.ST,EAST9.ST,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:48:13.188198+00:00
EEZY.HE,EEZY.HE,ok,,1954,0,2026-05-04T15:48:18.571289+00:00
EG7.ST,EG7.ST,ok,,1794,0,2026-05-04T15:48:23.918399+00:00
EIKF.IC,EIKF.IC,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:48:30.659577+00:00
EIMS.IC,EIMS.IC,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:48:37.092097+00:00
EIOF.OL,EIOF.OL,ok,,5225,0,2026-05-04T15:48:42.814157+00:00
EKTAb.ST,EKTA-B.ST,ok,,5354,2,2026-05-04T15:48:48.389989+00:00
ELANb.ST,ELAN-B.ST,ok,,5354,0,2026-05-04T15:48:54.022854+00:00
ELEAV.HE,ELEAV.HE,ok,,5356,0,2026-05-04T15:48:59.550762+00:00
ELISA.HE,ELISA.HE,ok,,5356,0,2026-05-04T15:49:05.123688+00:00
ELK.OL,ELK.OL,ok,,2011,0,2026-05-04T15:49:10.573675+00:00
ELMRA.OL,ELMRA.OL,ok,,2012,0,2026-05-04T15:49:16.107080+00:00
ELO.OL,ELO.OL,ok,,1206,0,2026-05-04T15:49:21.442191+00:00
ELON.ST,ELON.ST,ok,,5006,0,2026-05-04T15:49:27.119301+00:00
ELTEL.ST,ELTEL.ST,ok,,2802,0,2026-05-04T15:49:32.620199+00:00
ELUXb.ST,ELUX-B.ST,ok,,5354,0,2026-05-04T15:49:38.227962+00:00
EMBLA.CO,EMBLA.CO,ok,,3725,0,2026-05-04T15:49:43.651469+00:00
ENDUR.OL,ENDUR.OL,ok,,4459,1,2026-05-04T15:49:49.180312+00:00
ENEA.ST,ENEA.ST,ok,,5354,1,2026-05-04T15:49:54.850474+00:00
ENENTO.HE,ENENTO.HE,ok,,2766,0,2026-05-04T15:50:00.306288+00:00
ENGCONb.ST,ENGCON-B.ST,ok,,951,0,2026-05-04T15:50:05.630188+00:00
ENH.OL,ENH.OL,ok,,204,0,2026-05-04T15:50:10.897347+00:00
ENRO.ST,ENRO.ST,ok,,5354,3,2026-05-04T15:50:16.482568+00:00
ENSG.CO,ENSG.CO,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:50:23.307557+00:00
ENTRA.OL,ENTRA.OL,ok,,2874,0,2026-05-04T15:50:28.745533+00:00
EOLUb.ST,EOLU-B.ST,ok,,4233,0,2026-05-04T15:50:34.267768+00:00
EPEND.ST,EPEND.ST,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:50:40.816028+00:00
EPIRa.ST,EPIR-A.ST,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:50:47.419550+00:00
EPR.OL,EPR.OL,ok,,2710,0,2026-05-04T15:50:52.869871+00:00
EPROb.ST,EPRO-B.ST,ok,,1514,0,2026-05-04T15:50:58.244358+00:00
EQNR.OL,EQNR.OL,ok,,5350,0,2026-05-04T15:51:03.666219+00:00
EQVA.OL,EQVA.OL,ok,,2952,1,2026-05-04T15:51:09.186497+00:00
ERICb.ST,ERIC-B.ST,ok,,5354,1,2026-05-04T15:51:14.904771+00:00
ESENSE.HE,ESENSE.HE,ok,,1992,0,2026-05-04T15:51:20.292467+00:00
ESSITYb.ST,ESSITY-B.ST,ok,,2209,0,2026-05-04T15:51:25.692626+00:00
ETTE.HE,ETTE.HE,ok,,5356,2,2026-05-04T15:51:31.348044+00:00
EVOG.ST,EVOG.ST,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:51:38.270712+00:00
EWRK.ST,EWRK.ST,ok,,4486,0,2026-05-04T15:51:43.866158+00:00
EXL1V.HE,EXL1V.HE,ok,,5356,2,2026-05-04T15:51:49.470251+00:00
FESTI.IC,FESTI.IC,ok,,3054,0,2026-05-04T15:51:54.936474+00:00
FFARMS.CO,FFARMS.CO,ok,,4818,0,2026-05-04T15:52:00.365041+00:00
FIA1S.HE,FIA1S.HE,ok,,488,0,2026-05-04T15:52:05.707513+00:00
FLS.CO,FLS.CO,ok,,5312,0,2026-05-04T15:52:11.515901+00:00
FLUGb.CO,FLUG-B.CO,ok,,5324,0,2026-05-04T15:52:17.060750+00:00
FORTUM.HE,FORTUM.HE,ok,,5356,0,2026-05-04T15:52:22.679403+00:00
FRO.OL,FRO.OL,ok,,5350,1,2026-05-04T15:52:28.302316+00:00
FSECURE.HE,FSECURE.HE,ok,,942,0,2026-05-04T15:52:33.629668+00:00
FSKRS.HE,FSKRS.HE,ok,,5356,0,2026-05-04T15:52:39.297860+00:00
GABR.CO,GABR.CO,ok,,5324,1,2026-05-04T15:52:44.865228+00:00
GARO.ST,GARO.ST,ok,,2524,2,2026-05-04T15:52:50.330350+00:00
GENT.OL,GENT.OL,ok,,2332,0,2026-05-04T15:52:55.804094+00:00
GJ.CO,GJ.CO,ok,,5324,0,2026-05-04T15:53:01.327267+00:00
GLA1V.HE,GLA1V.HE,ok,,5356,3,2026-05-04T15:53:07.160853+00:00
GN.CO,GN.CO,ok,,5324,0,2026-05-04T15:53:12.832874+00:00
GOD.OL,GOD.OL,ok,,5350,1,2026-05-04T15:53:18.403924+00:00
GOFORE.HE,GOFORE.HE,ok,,2099,0,2026-05-04T15:53:23.927953+00:00
GRK.HE,GRK.HE,ok,,245,0,2026-05-04T15:53:29.267394+00:00
GSFG.OL,GSFG.OL,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:53:36.536756+00:00
GUBRA.CO,GUBRA.CO,ok,,744,0,2026-05-04T15:53:41.915791+00:00
GYL.OL,GYL.OL,ok,,5350,0,2026-05-04T15:53:47.505151+00:00
GYLDb.CO,GYLD-B.CO,ok,,5324,0,2026-05-04T15:53:52.989589+00:00
HAFNI.OL,HAFNI.OL,ok,,1604,0,2026-05-04T15:53:58.523338+00:00
HAGA.IC,HAGA.IC,ok,,3557,0,2026-05-04T15:54:04.003760+00:00
HAPD.IC,HAPD.IC,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:54:10.479112+00:00
HARBb.CO,HARB-B.CO,ok,,5324,1,2026-05-04T15:54:16.110889+00:00
HARVIA.HE,HARVIA.HE,ok,,2013,0,2026-05-04T15:54:21.572360+00:00
HAUTO.OL,HAUTO.OL,ok,,1089,0,2026-05-04T15:54:26.944972+00:00
HAVI.OL,HAVI.OL,ok,,5249,1,2026-05-04T15:54:32.462489+00:00
HEIMAR.IC,HEIMAR.IC,ok,,3424,0,2026-05-04T15:54:37.892806+00:00
HEX.OL,HEX.OL,ok,,5350,0,2026-05-04T15:54:43.455649+00:00
HHDC.CO,HHDC.CO,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:54:50.540714+00:00
HIAB.HE,HIAB.HE,ok,,255,0,2026-05-04T15:54:56.034062+00:00
HKFOODS.HE,HKFOODS.HE,ok,,5356,0,2026-05-04T15:55:01.614498+00:00
HLUNa.CO,HLUN-A.CO,ok,,955,0,2026-05-04T15:55:06.988182+00:00
HMb.ST,HM-B.ST,ok,,5354,1,2026-05-04T15:55:12.655121+00:00
HONBS.HE,HONBS.HE,ok,,5356,0,2026-05-04T15:55:18.260003+00:00
HSHP.OL,HSHP.OL,ok,,1022,0,2026-05-04T15:55:23.625680+00:00
HUH1V.HE,HUH1V.HE,ok,,5356,0,2026-05-04T15:55:29.319588+00:00
HUMAN.ST,HUMAN.ST,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:55:36.341019+00:00
HUSCO.CO,HUSCO.CO,ok,,1342,0,2026-05-04T15:55:42.727127+00:00
ICEAIR.IC,ICEAIR.IC,ok,,4831,0,2026-05-04T15:55:48.711515+00:00
ILKKA2.HE,ILKKA2.HE,ok,,5356,0,2026-05-04T15:55:54.258013+00:00
INVEST.HE,INVEST.HE,ok,,5356,1,2026-05-04T15:55:59.786696+00:00
ISS.CO,ISS.CO,ok,,3008,0,2026-05-04T15:56:05.434885+00:00
ITAB.ST,ITAB.ST,ok,,5354,3,2026-05-04T15:56:11.359361+00:00
ITERA.OL,ITERA.OL,ok,,5350,0,2026-05-04T15:56:16.988744+00:00
IWS.OL,IWS.OL,ok,,1259,0,2026-05-04T15:56:22.370285+00:00
JBTM.IC,JBTM.IC,ok,,293,0,2026-05-04T15:56:27.674164+00:00
JDAN.CO,JDAN.CO,ok,,5324,1,2026-05-04T15:56:33.289299+00:00
JINJ.OL,JINJ.OL,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:56:39.849135+00:00
JM.ST,JM.ST,ok,,5354,1,2026-05-04T15:56:45.406191+00:00
JOMA.ST,JOMA.ST,ok,,1711,0,2026-05-04T15:56:50.791597+00:00
K2Apref.ST,K2Apref.ST,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:56:57.154990+00:00
KABEb.ST,KABE-B.ST,ok,,5354,1,2026-05-04T15:57:02.702978+00:00
KALDA.IC,KALDA.IC,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:57:09.081127+00:00
KALMAR.HE,KALMAR.HE,ok,,438,0,2026-05-04T15:57:14.466266+00:00
KAMUX.HE,KAMUX.HE,ok,,2231,0,2026-05-04T15:57:19.936270+00:00
KARNO.ST,KARNO.ST,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:57:26.630784+00:00
KBHL.CO,KBHL.CO,ok,,5324,0,2026-05-04T15:57:32.460959+00:00
KCCK.OL,KCCK.OL,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:57:38.804158+00:00
KCRA.HE,KCRA.HE,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:57:45.744936+00:00
KELAS.HE,KELAS.HE,ok,,5356,1,2026-05-04T15:57:51.427426+00:00
KEMIRA.HE,KEMIRA.HE,ok,,5356,0,2026-05-04T15:57:57.144351+00:00
KESKOB.HE,KESKOB.HE,ok,,5356,2,2026-05-04T15:58:02.761384+00:00
KID.OL,KID.OL,ok,,2614,0,2026-05-04T15:58:08.192449+00:00
KIT.OL,KIT.OL,ok,,5350,0,2026-05-04T15:58:13.756596+00:00
KLARAb.ST,KLARA-B.ST,ok,,1085,0,2026-05-04T15:58:19.131891+00:00
KLEEb.CO,KLEE-B.CO,ok,,5324,0,2026-05-04T15:58:24.657847+00:00
KMCP.OL,KMCP.OL,ok,,3954,3,2026-05-04T15:58:30.190383+00:00
KNEBV.HE,KNEBV.HE,ok,,5249,3,2026-05-04T15:58:35.938099+00:00
KNOW.ST,KNOW.ST,ok,,5354,0,2026-05-04T15:58:41.902567+00:00
KOA.OL,KOA.OL,ok,,5226,1,2026-05-04T15:58:47.547907+00:00
KOG.OL,KOG.OL,ok,,5350,2,2026-05-04T15:58:53.247529+00:00
KOSKI.HE,KOSKI.HE,ok,,833,0,2026-05-04T15:58:58.602825+00:00
KREATE.HE,KREATE.HE,ok,,1285,0,2026-05-04T15:59:03.996720+00:00
KSL.HE,KSL.HE,ok,,482,0,2026-05-04T15:59:09.309515+00:00
LAGRb.ST,LAGR-B.ST,ok,,5354,3,2026-05-04T15:59:14.870334+00:00
LAMMb.ST,LAMM-B.ST,ok,,5354,0,2026-05-04T15:59:20.497501+00:00
LEHTO.HE,LEHTO.HE,ok,,2494,0,2026-05-04T15:59:25.992788+00:00
LIAB.ST,LIAB.ST,ok,,4855,0,2026-05-04T15:59:31.593700+00:00
LIFCOb.ST,LIFCO-B.ST,ok,,2851,1,2026-05-04T15:59:37.081178+00:00
LIMET.ST,LIMET.ST,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:59:44.129136+00:00
LINDEX.HE,LINDEX.HE,ok,,5356,0,2026-05-04T15:59:49.683928+00:00
LOGIa.ST,LOGI-A.ST,ok,,4720,2,2026-05-04T15:59:55.255670+00:00
LOOMIS.ST,LOOMIS.ST,ok,,4345,0,2026-05-04T16:00:00.861396+00:00
LSG.OL,LSG.OL,ok,,5350,1,2026-05-04T16:00:06.444850+00:00
LUMO.HE,LUMO.HE,ok,,1956,0,2026-05-04T16:00:11.934633+00:00
LUNG.ST,LUNG.ST,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T16:00:19.021221+00:00
LUOTEA.HE,LUOTEA.HE,ok,,5356,0,2026-05-04T16:00:24.602881+00:00
MAERSKb.CO,MAERSK-B.CO,ok,,5324,1,2026-05-04T16:00:30.296226+00:00
MARAS.HE,MARAS.HE,ok,,5356,0,2026-05-04T16:00:35.822320+00:00
MATAS.CO,MATAS.CO,ok,,3187,0,2026-05-04T16:00:41.317135+00:00
MCOVb.ST,MCOV-B.ST,ok,,2225,0,2026-05-04T16:00:46.716365+00:00
MEABb.ST,MEAB-B.ST,ok,,5354,1,2026-05-04T16:00:52.375121+00:00
MEDI.OL,MEDI.OL,ok,,5350,0,2026-05-04T16:00:57.930591+00:00
MEKKO.HE,MEKKO.HE,ok,,5356,1,2026-05-04T16:01:03.491548+00:00
MEKO.ST,MEKO.ST,ok,,5354,1,2026-05-04T16:01:09.192886+00:00
MEREN.ST,MEREN.ST,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T16:01:15.864557+00:00
METSB.HE,METSB.HE,ok,,5356,0,2026-05-04T16:01:21.447496+00:00
METSO.HE,METSO.HE,ok,,4895,1,2026-05-04T16:01:27.065220+00:00
MGN.OL,MGN.OL,ok,,5350,1,2026-05-04T16:01:32.583483+00:00
MILDEF.ST,MILDEF.ST,ok,,1213,0,2026-05-04T16:01:37.970605+00:00
MIPS.ST,MIPS.ST,ok,,2265,0,2026-05-04T16:01:43.380551+00:00
MOMENT.ST,MOMENT.ST,ok,,5094,1,2026-05-04T16:01:48.969778+00:00
MOWI.OL,MOWI.OL,ok,,5350,2,2026-05-04T16:01:54.360360+00:00
MPCC.OL,MPCC.OL,ok,,2218,0,2026-05-04T16:01:59.754452+00:00
MSABb.ST,MSAB-B.ST,ok,,3579,0,2026-05-04T16:02:05.224997+00:00
MTHH.CO,MTHH.CO,ok,,5325,0,2026-05-04T16:02:11.456133+00:00
MTRS.ST,MTRS.ST,ok,,2227,0,2026-05-04T16:02:17.979467+00:00
MULTI.OL,MULTI.OL,ok,,2729,0,2026-05-04T16:02:23.403220+00:00
MYCR.ST,MYCR.ST,ok,,5354,1,2026-05-04T16:02:28.916759+00:00
NAS.OL,NAS.OL,ok,,5350,1,2026-05-04T16:02:34.405773+00:00
NAVA.OL,NAVA.OL,ok,,5026,0,2026-05-04T16:02:39.906476+00:00
NCAB.ST,NCAB.ST,ok,,1963,1,2026-05-04T16:02:45.335016+00:00
NCCb.ST,NCC-B.ST,ok,,5354,0,2026-05-04T16:02:50.923147+00:00
NEL.OL,NEL.OL,ok,,5350,2,2026-05-04T16:02:56.422528+00:00
NELLY.ST,NELLY.ST,ok,,3837,1,2026-05-04T16:03:01.933941+00:00
NESTE.HE,NESTE.HE,ok,,5281,1,2026-05-04T16:03:07.582211+00:00
