Ticker,YahooTicker,FetchStatus,FetchMessage,PriceRows,SplitRows,FetchedAt
20202.OL,20202.OL,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:36:46.668773+00:00
8TRA.ST,8TRA.ST,ok,,1698,0,2026-05-04T15:36:52.279779+00:00
AAK.ST,AAK.ST,ok,,5161,1,2026-05-04T15:36:57.736421+00:00
ABB.ST,ABB.ST,ok,,5354,0,2026-05-04T15:37:03.517089+00:00
ABL.OL,ABL.OL,ok,,3127,0,2026-05-04T15:37:08.834679+00:00
ACADE.ST,ACADE.ST,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:37:15.317849+00:00
ACG1V.HE,ACG1V.HE,ok,,5356,1,2026-05-04T15:37:20.787726+00:00
ACRIa.ST,ACRI-A.ST,ok,,2786,2,2026-05-04T15:37:26.081564+00:00
ADDTb.ST,ADDT-B.ST,ok,,5354,2,2026-05-04T15:37:31.537765+00:00
AFAGR.HE,AFAGR.HE,ok,,5356,1,2026-05-04T15:37:37.021954+00:00
AFGA.OL,AFGA.OL,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:37:43.730702+00:00
AFK.OL,AFK.OL,ok,,5350,1,2026-05-04T15:37:49.214604+00:00
AFRY.ST,AFRY.ST,ok,,5354,3,2026-05-04T15:37:54.823426+00:00
AKAST.OL,AKAST.OL,ok,,5350,1,2026-05-04T15:38:00.260302+00:00
AKBM.OL,AKBM.OL,ok,,1444,0,2026-05-04T15:38:05.495256+00:00
AKRBP.OL,AKRBP.OL,ok,,4325,1,2026-05-04T15:38:10.878618+00:00
AKSOA.OL,AKSOA.OL,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:38:17.795288+00:00
AKVA.OL,AKVA.OL,ok,,4866,0,2026-05-04T15:38:24.189766+00:00
ALFA.ST,ALFA.ST,ok,,5354,1,2026-05-04T15:38:29.903667+00:00
ALIFb.ST,ALIF-B.ST,ok,,2524,1,2026-05-04T15:38:35.167521+00:00
ALIG.ST,ALIG.ST,ok,,2713,0,2026-05-04T15:38:40.581245+00:00
ALIVsdb.ST,ALIVsd-B.ST,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:38:47.319622+00:00
ALKb.CO,ALK-B.CO,ok,,5324,2,2026-05-04T15:38:52.811544+00:00
ALLEI.ST,ALLEI.ST,ok,,899,0,2026-05-04T15:38:58.152729+00:00
ALLIGOb.ST,ALLIGO-B.ST,ok,,2205,0,2026-05-04T15:39:03.494288+00:00
AMBEA.ST,AMBEA.ST,ok,,2259,0,2026-05-04T15:39:08.910555+00:00
AMBUb.CO,AMBU-B.CO,ok,,5324,3,2026-05-04T15:39:14.295652+00:00
ANODb.ST,ANOD-B.ST,ok,,5354,1,2026-05-04T15:39:19.805384+00:00
ANORA.HE,ANORA.HE,ok,,2012,0,2026-05-04T15:39:25.159377+00:00
AOJb.CO,AOJ-B.CO,ok,,5325,2,2026-05-04T15:39:30.548901+00:00
APETIT.HE,APETIT.HE,ok,,5356,0,2026-05-04T15:39:35.979741+00:00
APOTEA.ST,APOTEA.ST,ok,,324,0,2026-05-04T15:39:41.303272+00:00
AQ.ST,AQ.ST,ok,,5354,2,2026-05-04T15:39:46.807902+00:00
ARCHA.OL,ARCHA.OL,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:39:53.654327+00:00
ARJOb.ST,ARJO-B.ST,ok,,2081,0,2026-05-04T15:39:58.929884+00:00
ARP.ST,ARP.ST,ok,,3329,0,2026-05-04T15:40:04.326891+00:00
ARPL.ST,ARPL.ST,ok,,1221,0,2026-05-04T15:40:09.548069+00:00
ARRA.OL,ARRA.OL,empty_download,Yahoo returned no rows. This is often a ticker mapping issue or rate limit.,0,0,2026-05-04T15:40:16.024901+00:00
ASKER.ST,ASKER.ST,ok,,251,0,2026-05-04T15:40:21.253234+00:00
ASPO.HE,ASPO.HE,ok,,5356,1,2026-05-04T15:40:26.654810+00:00
ASSAb.ST,ASSA-B.ST,ok,,5354,1,2026-05-04T15:40:32.193224+00:00
ATCOa.ST,ATCO-A.ST,ok,,5354,4,2026-05-04T15:40:37.689567+00:00
ATEA.OL,ATEA.OL,ok,,5350,1,2026-05-04T15:40:43.323047+00:00
ATIC.ST,ATIC.ST,ok,,2254,0,2026-05-04T15:40:48.601016+00:00
ATRAV.HE,ATRAV.HE,ok,,5356,0,2026-05-04T15:40:53.987925+00:00
