Ticker,snapshot_date,cfo_forecast
20202.OL,2018-05-11,1.0
20202.OL,2018-11-15,0.4
20202.OL,2018-12-26,-0.2
20202.OL,2019-01-25,-0.2
20202.OL,2019-02-06,2.65
20202.OL,2019-05-20,4.0
20202.OL,2019-06-21,4.0
20202.OL,2019-08-16,3.0
20202.OL,2019-10-16,7.0
20202.OL,2019-10-16,45.0
20202.OL,2020-07-03,24.89
20202.OL,2020-09-08,36.195
20202.OL,2020-09-08,24.445
20202.OL,2021-02-07,34.0
20202.OL,2021-09-21,77.56667
20202.OL,2021-09-21,88.2
20202.OL,2022-08-08,48.0
20202.OL,2022-08-08,35.0
20202.OL,2023-05-12,39.0
20202.OL,2023-09-12,32.0
20202.OL,2023-11-09,32.0
20202.OL,2024-02-08,56.33333
20202.OL,2024-04-11,55.33333
20202.OL,2024-05-10,55.36
20202.OL,2024-08-27,53.12
20202.OL,2024-10-01,53.52
20202.OL,2024-11-15,52.34
20202.OL,2025-02-13,47.21667
20202.OL,2025-03-02,43.28
20202.OL,2025-04-24,42.88
20202.OL,2025-05-13,37.94
20202.OL,2025-06-12,37.94
20202.OL,2025-07-07,38.14
20202.OL,2025-08-29,35.675
20202.OL,2025-10-29,34.425
20202.OL,2025-11-13,31.16
20202.OL,2025-12-22,31.2
8TRA.ST,2023-05-05,4100.0
8TRA.ST,2023-07-27,4131.94286
8TRA.ST,2023-08-10,4146.94286
8TRA.ST,2023-09-29,4248.65714
8TRA.ST,2023-10-26,4314.9875
8TRA.ST,2023-11-29,4442.54444
8TRA.ST,2024-01-19,4467.65556
8TRA.ST,2024-02-26,4339.8625
8TRA.ST,2024-03-29,4814.3625
8TRA.ST,2024-04-29,5018.5
8TRA.ST,2024-05-24,5010.64286
8TRA.ST,2024-07-31,5043.65714
8TRA.ST,2024-08-01,5012.22857
8TRA.ST,2024-09-09,5004.8
8TRA.ST,2024-10-31,5012.625
8TRA.ST,2024-11-15,4990.125
8TRA.ST,2025-01-28,5001.0
8TRA.ST,2025-03-25,4903.725
8TRA.ST,2025-04-29,4888.2
8TRA.ST,2025-05-29,4888.2
8TRA.ST,2025-06-26,4862.55
8TRA.ST,2025-07-30,4422.575
8TRA.ST,2025-08-01,4335.95
8TRA.ST,2025-09-22,4163.94286
8TRA.ST,2025-10-30,3696.14286
8TRA.ST,2025-11-07,3251.375
8TRA.ST,2025-12-22,3251.375
AAK.ST,2013-07-23,1378.5
AAK.ST,2013-09-25,1353.6
AAK.ST,2013-10-31,1310.58571
AAK.ST,2013-11-28,1301.44286
AAK.ST,2014-01-31,1299.72857
AAK.ST,2014-02-17,1052.92857
AAK.ST,2014-04-24,898.66667
AAK.ST,2014-05-09,950.5
AAK.ST,2014-07-18,955.33333
AAK.ST,2014-09-30,955.66667
AAK.ST,2014-10-30,692.0
AAK.ST,2014-11-06,720.9625
AAK.ST,2014-12-09,679.9625
AAK.ST,2015-01-29,636.9625
AAK.ST,2015-02-10,1849.7625
AAK.ST,2015-04-23,1533.1375
AAK.ST,2015-05-07,1580.85714
AAK.ST,2015-06-26,1389.5
AAK.ST,2015-07-20,1411.5625
AAK.ST,2015-10-30,1446.4375
AAK.ST,2015-11-30,1457.07143
AAK.ST,2015-12-03,1606.78571
AAK.ST,2016-01-28,1587.16667
AAK.ST,2016-02-17,1371.83333
AAK.ST,2016-04-28,1343.33333
AAK.ST,2016-05-05,1315.5
AAK.ST,2016-06-10,1315.5
AAK.ST,2016-07-18,1326.33333
AAK.ST,2016-09-08,1277.16667
AAK.ST,2016-10-27,1121.66667
AAK.ST,2016-11-18,1145.5
AAK.ST,2016-12-21,1125.33333
AAK.ST,2017-01-31,944.4
AAK.ST,2017-02-13,989.65
AAK.ST,2017-04-21,970.34
AAK.ST,2017-07-18,731.4
AAK.ST,2017-08-10,731.4
AAK.ST,2017-10-27,853.625
AAK.ST,2018-01-12,835.9
AAK.ST,2018-02-06,1442.66667
AAK.ST,2018-04-26,1458.33333
AAK.ST,2018-06-26,1437.0
AAK.ST,2018-07-20,1440.66667
AAK.ST,2018-09-27,1435.66667
AAK.ST,2018-10-26,1392.6
AAK.ST,2018-12-17,1369.6
AAK.ST,2019-01-31,1368.8
AAK.ST,2019-02-12,1952.4
AAK.ST,2019-03-25,1922.0
AAK.ST,2019-04-24,1874.75
AAK.ST,2019-07-17,2081.8
AAK.ST,2019-09-26,2087.2
AAK.ST,2019-10-28,2146.8
AAK.ST,2019-11-29,2145.8
AAK.ST,2020-01-31,2222.4
