Date,SEK,DKK,EUR,ISK,NOK
2010-05-31,0.816398,1.062219,7.903862,0.04861,1.0
2010-06-30,0.826625,1.064095,7.917411,0.050473,1.0
2010-07-31,0.845489,1.076732,8.024459,0.050905,1.0
2010-08-31,0.841859,1.064705,7.930648,0.051498,1.0
2010-09-30,0.857916,1.062457,7.913068,0.051848,1.0
2010-10-31,0.873414,1.087462,8.108617,0.052236,1.0
2010-11-30,0.87417,1.091632,8.13788,0.052986,1.0
2010-12-31,0.872409,1.06002,7.899946,0.051578,1.0
2011-01-31,0.878157,1.050605,7.828671,0.05011,1.0
2011-02-28,0.89026,1.04893,7.821003,0.049115,1.0
2011-03-31,0.880635,1.051063,7.838802,0.048548,1.0
2011-04-30,0.87066,1.047319,7.810371,0.047819,1.0
2011-05-31,0.875182,1.052173,7.846495,0.047766,1.0
2011-06-30,0.859125,1.050268,7.832459,0.047309,1.0
2011-07-31,0.852617,1.043886,7.783133,0.046957,1.0
2011-08-31,0.84963,1.046696,7.797665,0.04753,1.0
2011-09-30,0.846318,1.038664,7.734355,0.048152,1.0
2011-10-31,0.850036,1.040333,7.74481,0.048726,1.0
2011-11-30,0.851932,1.046573,7.787389,0.048986,1.0
2011-12-31,0.859816,1.04277,7.752502,0.048641,1.0
2012-01-31,0.86815,1.032461,7.676743,0.048045,1.0
2012-02-29,0.85696,1.016533,7.557293,0.046264,1.0
2012-03-31,0.847964,1.013741,7.537618,0.045148,1.0
2012-04-30,0.853983,1.017593,7.570671,0.045352,1.0
2012-05-31,0.841511,1.018798,7.573541,0.046543,1.0
2012-06-30,0.850445,1.014714,7.541074,0.047214,1.0
2012-07-31,0.872893,1.001889,7.4526,0.048268,1.0
2012-08-31,0.883976,0.98333,7.321957,0.049096,1.0
2012-09-30,0.871098,0.992528,7.398253,0.04679,1.0
2012-10-31,0.8597,0.99317,7.407509,0.04597,1.0
2012-11-30,0.852702,0.983991,7.33945,0.044984,1.0
2012-12-31,0.850983,0.987371,7.365943,0.044329,1.0
2013-01-31,0.856589,0.989724,7.384613,0.043176,1.0
2013-02-28,0.87338,0.995793,7.427918,0.043645,1.0
2013-03-31,0.896481,1.003983,7.485021,0.046176,1.0
2013-04-30,0.892893,1.012223,7.546816,0.048802,1.0
2013-05-31,0.881848,1.0143,7.560552,0.04813,1.0
2013-06-30,0.892073,1.039053,7.749445,0.048235,1.0
2013-07-31,0.911143,1.057285,7.88517,0.04922,1.0
2013-08-31,0.913273,1.065466,7.946875,0.049877,1.0
2013-09-30,0.919486,1.0694,7.975976,0.04931,1.0
2013-10-31,0.928259,1.088224,8.11737,0.049302,1.0
2013-11-30,0.924676,1.101529,8.215988,0.050088,1.0
2013-12-31,0.938834,1.127459,8.411368,0.052423,1.0
2014-01-31,0.949561,1.12392,8.385583,0.05317,1.0
2014-02-28,0.94213,1.119935,8.357395,0.05364,1.0
2014-03-31,0.935743,1.111181,8.294317,0.05315,1.0
2014-04-30,0.913077,1.106234,8.2587,0.053243,1.0
2014-05-31,0.903364,1.093,8.158659,0.052714,1.0
2014-06-30,0.903921,1.101576,8.216317,0.05316,1.0
2014-07-31,0.909057,1.125457,8.392548,0.054226,1.0
2014-08-31,0.89801,1.106626,8.250138,0.053426,1.0
2014-09-30,0.890389,1.099289,8.184,0.0533,1.0
2014-10-31,0.905685,1.116459,8.311833,0.054287,1.0
2014-11-30,0.919848,1.143203,8.506778,0.055163,1.0
2014-12-31,0.954017,1.207367,8.986733,0.058248,1.0
2015-01-31,0.9467,1.199886,8.927459,0.058386,1.0
2015-02-28,0.90805,1.15666,8.616198,0.05746,1.0
2015-03-31,0.935864,1.158502,8.649073,0.058373,1.0
2015-04-30,0.912473,1.141586,8.525614,0.058093,1.0
2015-05-31,0.905874,1.12991,8.43126,0.05701,1.0
2015-06-30,0.945323,1.175066,8.766377,0.0591,1.0
2015-07-31,0.952602,1.197713,8.939235,0.060633,1.0
2015-08-31,0.965976,1.232671,9.199533,0.062686,1.0
2015-09-30,0.9908,1.247911,9.310807,0.064736,1.0
2015-10-31,0.992227,1.243943,9.279675,0.065366,1.0
2015-11-30,0.994767,1.242255,9.269119,0.065824,1.0
2015-12-31,1.02492,1.270311,9.478857,0.067065,1.0
2016-01-31,1.03209,1.283698,9.580495,0.067707,1.0
2016-02-29,1.015883,1.280469,9.557083,0.067143,1.0
2016-03-31,1.01607,1.265054,9.434215,0.066961,1.0
2016-04-30,1.011802,1.251955,9.319076,0.066364,1.0
2016-05-31,1.001686,1.251766,9.311575,0.066632,1.0
2016-06-30,1.000205,1.254034,9.327634,0.067293,1.0
2016-07-31,0.988976,1.259931,9.37306,0.069445,1.0
2016-08-31,0.97997,1.250376,9.304272,0.070389,1.0
2016-09-30,0.961205,1.234955,9.197448,0.07143,1.0
2016-10-31,0.926695,1.21005,9.002793,0.07154,1.0
2016-11-30,0.922425,1.220493,9.081466,0.074893,1.0
2016-12-31,0.930491,1.214602,9.032602,0.076023,1.0
2017-01-31,0.945943,1.210043,8.998552,0.074066,1.0
2017-02-28,0.934783,1.191988,8.862555,0.074793,1.0
2017-03-31,0.954193,1.223146,9.094759,0.077652,1.0
2017-04-30,0.9585,1.237533,9.204745,0.077933,1.0
2017-05-31,0.968598,1.263704,9.401646,0.082711,1.0
2017-06-30,0.975214,1.278234,9.506514,0.083677,1.0
2017-07-31,0.979902,1.263533,9.396179,0.07791,1.0
2017-08-31,0.976615,1.253578,9.323907,0.0745,1.0
2017-09-30,0.978755,1.254257,9.332198,0.07365,1.0
2017-10-31,0.978041,1.263043,9.401341,0.075834,1.0
2017-11-30,0.976916,1.292107,9.616243,0.078634,1.0
2017-12-31,0.991514,1.322486,9.844024,0.079276,1.0
2018-01-31,0.983039,1.296024,9.649939,0.076991,1.0
2018-02-28,0.973133,1.299003,9.672918,0.077623,1.0
2018-03-31,0.942898,1.286559,9.583766,0.078111,1.0
2018-04-30,0.927679,1.292662,9.628079,0.078752,1.0
2018-05-31,0.924802,1.285161,9.572283,0.077978,1.0
2018-06-30,0.92185,1.271779,9.474402,0.075938,1.0
2018-07-31,0.921952,1.275127,9.502698,0.07638,1.0
2018-08-31,0.919726,1.291702,9.630626,0.077502,1.0
2018-09-30,0.921775,1.289063,9.615118,0.074545,1.0
2018-10-31,0.913226,1.2718,9.488004,0.070561,1.0
2018-11-30,0.93623,1.29202,9.64017,0.068941,1.0
2018-12-31,0.956224,1.31625,9.825705,0.071671,1.0
2019-01-31,0.951207,1.30783,9.764846,0.07145,1.0
2019-02-28,0.927675,1.305603,9.744463,0.071623,1.0
2019-03-31,0.925855,1.302052,9.718133,0.071745,1.0
2019-04-30,0.9176,1.288555,9.620723,0.071068,1.0
2019-05-31,0.911202,1.309376,9.779128,0.071107,1.0
2019-06-30,0.917495,1.30537,9.747508,0.06919,1.0
2019-07-31,0.914885,1.294398,9.663402,0.069198,1.0
2019-08-31,0.929684,1.33738,9.976405,0.072448,1.0
2019-09-30,0.927933,1.328983,9.919362,0.07214,1.0
2019-10-31,0.936965,1.354657,10.118926,0.073457,1.0
2019-11-30,0.949457,1.352662,10.107548,0.074055,1.0
2019-12-31,0.95625,1.341282,10.021905,0.073873,1.0
2020-01-31,0.941772,1.329998,9.939135,0.072504,1.0
2020-02-29,0.959693,1.356418,10.13371,0.073308,1.0
2020-03-31,1.04162,1.517261,11.33478,0.075893,1.0
2020-04-30,1.04143,1.519548,11.338748,0.072202,1.0
2020-05-31,1.037905,1.476167,11.008064,0.070343,1.0
2020-06-30,1.023475,1.438848,10.726,0.07025,1.0
2020-07-31,1.028704,1.430885,10.654704,0.067222,1.0
2020-08-31,1.0262,1.420657,10.578193,0.065417,1.0
2020-09-30,1.03395,1.448809,10.782734,0.06638,1.0
2020-10-31,1.051568,1.469041,10.933475,0.066818,1.0
2020-11-30,1.050652,1.442712,10.743569,0.066424,1.0
2020-12-31,1.041704,1.423163,10.59048,0.068261,1.0
2021-01-31,1.026679,1.393407,10.362102,0.066238,1.0
2021-02-28,1.019668,1.382838,10.28392,0.066263,1.0
2021-03-31,0.997728,1.363504,10.139335,0.067017,1.0
2021-04-30,0.987061,1.349736,10.038118,0.066664,1.0
2021-05-31,0.995543,1.357619,10.095276,0.067412,1.0
2021-06-30,1.003016,1.364132,10.144155,0.069064,1.0
2021-07-31,1.01797,1.395664,10.380277,0.07057,1.0
2021-08-31,1.019752,1.40078,10.417277,0.070175,1.0
2021-09-30,1.00227,1.37092,10.194639,0.067595,1.0
2021-10-31,0.97614,1.318783,9.811229,0.065552,1.0
2021-11-30,0.991891,1.341309,9.976098,0.066932,1.0
2021-12-31,0.986283,1.362576,10.132402,0.068898,1.0
2022-01-31,0.966943,1.346293,10.017043,0.068617,1.0
2022-02-28,0.953185,1.351068,10.053178,0.070828,1.0
2022-03-31,0.923161,1.308039,9.731663,0.067878,1.0
2022-04-30,0.932112,1.294871,9.631924,0.068957,1.0
2022-05-31,0.966964,1.365189,10.15727,0.073368,1.0
2022-06-30,0.971739,1.385445,10.305659,0.074434,1.0
2022-07-31,0.963431,1.368017,10.180045,0.0732,1.0
2022-08-31,0.936124,1.322389,9.83738,0.070159,1.0
2022-09-30,0.943032,1.368325,10.173814,0.072498,1.0
2022-10-31,0.948883,1.396202,10.385755,0.073371,1.0
2022-11-30,0.94985,1.389941,10.339436,0.070234,1.0
2022-12-31,0.950891,1.406577,10.461248,0.069368,1.0
2023-01-31,0.956466,1.440777,10.716016,0.069539,1.0
2023-02-28,0.980633,1.472005,10.959088,0.071605,1.0
2023-03-31,1.004422,1.514561,11.276435,0.075283,1.0
2023-04-30,1.015043,1.545523,11.516203,0.076988,1.0
2023-05-31,1.032515,1.577143,11.747076,0.078089,1.0
2023-06-30,1.001986,1.57078,11.700648,0.078361,1.0
2023-07-31,0.975279,1.522224,11.341143,0.07734,1.0
2023-08-31,0.96712,1.53268,11.421791,0.079467,1.0
2023-09-30,0.967921,1.536093,11.45366,0.07926,1.0
2023-10-31,0.998445,1.559195,11.632427,0.079407,1.0
2023-11-30,1.02258,1.582355,11.800157,0.077925,1.0
2023-12-31,1.027826,1.541395,11.491871,0.076336,1.0
2024-01-31,1.005215,1.521287,11.343415,0.075926,1.0
2024-02-29,1.012448,1.527817,11.389114,0.076588,1.0
2024-03-31,1.019267,1.547064,11.535576,0.077376,1.0
2024-04-30,1.008341,1.56767,11.694,0.077766,1.0
2024-05-31,0.999113,1.555707,11.605891,0.077367,1.0
2024-06-30,1.011983,1.530585,11.416855,0.076455,1.0
2024-07-31,1.015528,1.569676,11.709926,0.078383,1.0
2024-08-31,1.029116,1.579493,11.785145,0.077618,1.0
2024-09-30,1.038098,1.58061,11.791133,0.077521,1.0
2024-10-31,1.033741,1.582093,11.800967,0.079172,1.0
2024-11-30,1.013669,1.57386,11.738921,0.080095,1.0
2024-12-31,1.021686,1.576368,11.757925,0.080986,1.0
2025-01-31,1.022896,1.574043,11.743733,0.080817,1.0
2025-02-28,1.037123,1.56261,11.655855,0.079693,1.0
2025-03-31,1.053902,1.547474,11.544002,0.079471,1.0
2025-04-30,1.079918,1.586525,11.843407,0.081668,1.0
2025-05-31,1.065589,1.555995,11.608677,0.079807,1.0
2025-06-30,1.052286,1.554226,11.594071,0.080895,1.0
2025-07-31,1.05813,1.588617,11.855587,0.083243,1.0
2025-08-31,1.06391,1.59,11.866821,0.082905,1.0
2025-09-30,1.061141,1.563559,11.671105,0.081666,1.0
2025-10-31,1.0633,1.563007,11.67183,0.082028,1.0
2025-11-30,1.06846,1.572425,11.742365,0.079975,1.0
2025-12-31,1.087817,1.584363,11.833922,0.079878,1.0
2026-01-31,1.092682,1.562339,11.670741,0.07978,1.0
2026-02-28,1.065248,1.515605,11.3219,0.078243,1.0
2026-03-31,1.036586,1.49447,11.16665,0.077539,1.0
