Date,SEK,DKK,EUR,ISK,NOK
2004-01-31,0.94093,1.153823,8.593527,0.098041,1.0
2004-02-29,0.957255,1.179308,8.78728,0.10137,1.0
2004-03-31,0.923772,1.145054,8.530074,0.097828,1.0
2004-04-30,0.905043,1.114975,8.301186,0.094784,1.0
2004-05-31,0.899933,1.104195,8.21519,0.09339,1.0
2004-06-30,0.906845,1.115607,8.29348,0.094686,1.0
2004-07-31,0.921439,1.140107,8.477302,0.096666,1.0
2004-08-31,0.906568,1.11998,8.329039,0.095586,1.0
2004-09-30,0.919918,1.123375,8.36272,0.09543,1.0
2004-10-31,0.908398,1.106457,8.228843,0.093933,1.0
2004-11-30,0.90568,1.096675,8.14942,0.093602,1.0
2004-12-31,0.916593,1.107198,8.230048,0.098083,1.0
2005-01-31,0.907955,1.105412,8.225212,0.100233,1.0
2005-02-28,0.915893,1.117928,8.320475,0.103073,1.0
2005-03-31,0.900507,1.099598,8.188837,0.103443,1.0
2005-04-30,0.892133,1.097755,8.1786,0.101348,1.0
2005-05-31,0.879257,1.085716,8.081827,0.098239,1.0
2005-06-30,0.85168,1.060427,7.895295,0.099566,1.0
2005-07-31,0.840819,1.063048,7.92995,0.101079,1.0
2005-08-31,0.847976,1.061633,7.919367,0.101067,1.0
2005-09-30,0.83655,1.046991,7.808902,0.102655,1.0
2005-10-31,0.830545,1.049631,7.832626,0.106886,1.0
2005-11-30,0.818355,1.04973,7.830732,0.107284,1.0
2005-12-31,0.845586,1.070573,7.980716,0.105945,1.0
2006-01-31,0.863623,1.077398,8.038205,0.10772,1.0
2006-02-28,0.862673,1.079748,8.059823,0.10513,1.0
2006-03-31,0.849272,1.069322,7.978507,0.095189,1.0
2006-04-30,0.841183,1.051428,7.845853,0.085168,1.0
2006-05-31,0.835391,1.045333,7.794743,0.084998,1.0
2006-06-30,0.850845,1.054034,7.858923,0.083264,1.0
2006-07-31,0.861883,1.064243,7.939583,0.084317,1.0
2006-08-31,0.868857,1.072515,8.002763,0.08887,1.0
2006-09-30,0.891952,1.10844,8.269367,0.092538,1.0
2006-10-31,0.907509,1.126809,8.400036,0.097293,1.0
2006-11-30,0.905911,1.105698,8.243509,0.092389,1.0
2006-12-31,0.904029,1.095369,8.166267,0.088655,1.0
2007-01-31,0.910922,1.110063,8.274772,0.090843,1.0
2007-02-28,0.880563,1.085208,8.089215,0.091845,1.0
2007-03-31,0.874905,1.091791,8.132589,0.091668,1.0
2007-04-30,0.879419,1.089952,8.123686,0.091812,1.0
2007-05-31,0.883689,1.092246,8.139465,0.095689,1.0
2007-06-30,0.863364,1.081388,8.051388,0.095621,1.0
2007-07-31,0.864002,1.066793,7.937916,0.095523,1.0
2007-08-31,0.854496,1.070613,7.968841,0.090026,1.0
2007-09-30,0.842923,1.049423,7.819045,0.088275,1.0
2007-10-31,0.83832,1.031946,7.691791,0.089161,1.0
2007-11-30,0.85628,1.066764,7.952448,0.089093,1.0
2007-12-31,0.848798,1.07341,8.007281,0.088188,1.0
2008-01-31,0.844222,1.068139,7.95803,0.084385,1.0
2008-02-29,0.848714,1.065812,7.944519,0.080933,1.0
2008-03-31,0.84959,1.071674,7.991776,0.071086,1.0
2008-04-30,0.849664,1.067732,7.966364,0.068309,1.0
2008-05-31,0.844927,1.05528,7.872968,0.067011,1.0
2008-06-30,0.852248,1.071743,7.993912,0.064857,1.0
2008-07-31,0.851011,1.078593,8.046441,0.06503,1.0
2008-08-31,0.848652,1.069336,7.976643,0.065352,1.0
2008-09-30,0.852405,1.094591,8.162795,0.062259,1.0
2008-10-31,0.872628,1.154654,8.607272,0.057207,1.0
2008-11-30,0.870315,1.186463,8.83799,0.051195,1.0
2008-12-31,0.876072,1.273315,9.485833,0.056924,1.0
2009-01-31,0.860361,1.239568,9.236795,0.056427,1.0
2009-02-28,0.805348,1.181283,8.801635,0.060478,1.0
2009-03-31,0.792984,1.187425,8.848564,0.059023,1.0
2009-04-30,0.8087,1.178973,8.782357,0.052464,1.0
2009-05-31,0.832307,1.182002,8.802262,0.051,1.0
2009-06-30,0.82227,1.202055,8.949232,0.050443,1.0
2009-07-31,0.827809,1.202615,8.954752,0.049959,1.0
2009-08-31,0.848455,1.163626,8.66226,0.047829,1.0
2009-09-30,0.843677,1.15563,8.598825,0.04743,1.0
2009-10-31,0.811755,1.123284,8.362093,0.045507,1.0
2009-11-30,0.815262,1.131379,8.418386,0.045619,1.0
2009-12-31,0.807633,1.129852,8.407735,0.046011,1.0
2010-01-31,0.803119,1.100552,8.191021,0.045593,1.0
2010-02-28,0.81455,1.08733,8.09383,0.04614,1.0
2010-03-31,0.826317,1.079796,8.035211,0.046422,1.0
2010-04-30,0.821984,1.066855,7.940705,0.046393,1.0
