Ticker,YahooTicker,SplitDate,SplitRatio,Source
ASSAb.ST,ASSA-B.ST,2015-06-02,3.0,yahoo_stock_splits
ATCOa.ST,ATCO-A.ST,2005-05-17,3.0,yahoo_stock_splits
ATCOa.ST,ATCO-A.ST,2007-05-18,2.0,yahoo_stock_splits
ATCOa.ST,ATCO-A.ST,2022-05-13,4.0,yahoo_stock_splits
ATCOa.ST,ATCO-A.ST,2022-06-07,4.0,yahoo_stock_splits
ATEA.OL,ATEA.OL,2006-06-02,0.1,yahoo_stock_splits
ATRLJb.ST,ATRLJ-B.ST,2007-04-17,4.0,yahoo_stock_splits
ATRLJb.ST,ATRLJ-B.ST,2025-04-09,5.0,yahoo_stock_splits
AXFO.ST,AXFO.ST,2015-04-17,4.0,yahoo_stock_splits
BEGR.ST,BEGR.ST,2016-05-19,0.05,yahoo_stock_splits
BEIAb.ST,BEIA-B.ST,2006-04-26,3.0,yahoo_stock_splits
BEIAb.ST,BEIA-B.ST,2018-05-29,2.0,yahoo_stock_splits
BEIJb.ST,BEIJ-B.ST,2007-05-29,2.0,yahoo_stock_splits
BEIJb.ST,BEIJ-B.ST,2012-05-31,2.0,yahoo_stock_splits
BEIJb.ST,BEIJ-B.ST,2018-04-24,3.0,yahoo_stock_splits
BEIJb.ST,BEIJ-B.ST,2021-04-23,3.0,yahoo_stock_splits
BETSb.ST,BETS-B.ST,2015-05-22,3.0,yahoo_stock_splits
BILIa.ST,BILI-A.ST,2015-05-27,2.0,yahoo_stock_splits
BILIa.ST,BILI-A.ST,2017-06-05,2.0,yahoo_stock_splits
BIOGb.ST,BIOG-B.ST,2022-05-18,5.0,yahoo_stock_splits
BITTI.HE,BITTI.HE,2005-04-11,0.2,yahoo_stock_splits
BOL.ST,BOL.ST,2022-05-11,2.0,yahoo_stock_splits
BOL.ST,BOL.ST,2023-05-09,2.0,yahoo_stock_splits
BONHR.OL,BONHR.OL,2006-06-01,4.0,yahoo_stock_splits
BOR.OL,BOR.OL,2024-06-11,0.025,yahoo_stock_splits
BORG.ST,BORG.ST,2006-05-12,4.0,yahoo_stock_splits
BORG.ST,BORG.ST,2007-04-27,4.0,yahoo_stock_splits
BOUL.ST,BOUL.ST,2018-06-01,4.0,yahoo_stock_splits
BOUV.OL,BOUV.OL,2021-05-21,10.0,yahoo_stock_splits
BOUV.OL,BOUV.OL,2021-06-03,10.0,yahoo_stock_splits
BTSb.ST,BTS-B.ST,2006-05-08,3.0,yahoo_stock_splits
BUFAB.ST,BUFAB.ST,2025-05-09,5.0,yahoo_stock_splits
CAST.ST,CAST.ST,2006-04-25,4.0,yahoo_stock_splits
CIBUS.ST,CIBUS.ST,2022-05-10,1.25,yahoo_stock_splits
COLOb.CO,COLO-B.CO,2012-12-19,5.0,yahoo_stock_splits
CONTX.OL,CONTX.OL,2020-08-19,10.0,yahoo_stock_splits
COREa.ST,CORE-A.ST,2007-12-18,0.02,yahoo_stock_splits
COREa.ST,CORE-A.ST,2011-06-14,2.0,yahoo_stock_splits
COREa.ST,CORE-A.ST,2017-12-08,11.0,yahoo_stock_splits
COREa.ST,CORE-A.ST,2018-01-16,0.5,yahoo_stock_splits
CTH1V.HE,CTH1V.HE,2020-12-18,0.02,yahoo_stock_splits
CTH1V.HE,CTH1V.HE,2020-12-21,0.02,yahoo_stock_splits
CTY1S.HE,CTY1S.HE,2019-03-18,0.2,yahoo_stock_splits
DFDS.CO,DFDS.CO,2015-09-24,5.0,yahoo_stock_splits
DIGIGR.HE,DIGIGR.HE,2013-11-04,0.2,yahoo_stock_splits
DIGIGR.HE,DIGIGR.HE,2025-08-18,0.004,yahoo_stock_splits
DNO.OL,DNO.OL,2005-06-23,1.037037037037037,yahoo_stock_splits
DNO.OL,DNO.OL,2005-10-26,1.05,yahoo_stock_splits
DNO.OL,DNO.OL,2006-06-16,4.0,yahoo_stock_splits
DNORD.CO,DNORD.CO,2007-05-02,20.0,yahoo_stock_splits
DSV.CO,DSV.CO,2007-05-08,2.0,yahoo_stock_splits
EKTAb.ST,EKTA-B.ST,2005-10-17,3.0,yahoo_stock_splits
EKTAb.ST,EKTA-B.ST,2012-09-12,4.0,yahoo_stock_splits
ENDUR.OL,ENDUR.OL,2022-06-20,0.02,yahoo_stock_splits
ENEA.ST,ENEA.ST,2008-05-30,0.05,yahoo_stock_splits
ENRO.ST,ENRO.ST,2009-07-13,0.25,yahoo_stock_splits
ENRO.ST,ENRO.ST,2011-01-25,0.02,yahoo_stock_splits
ENRO.ST,ENRO.ST,2018-05-29,0.01,yahoo_stock_splits
EQVA.OL,EQVA.OL,2021-12-15,1.46935,yahoo_stock_splits
ERICb.ST,ERIC-B.ST,2008-06-02,0.2,yahoo_stock_splits
ETTE.HE,ETTE.HE,2005-04-01,2.0,yahoo_stock_splits
ETTE.HE,ETTE.HE,2007-09-24,2.0,yahoo_stock_splits
EXL1V.HE,EXL1V.HE,2005-04-22,2.0,yahoo_stock_splits
EXL1V.HE,EXL1V.HE,2026-03-30,0.06666666666666667,yahoo_stock_splits
FRO.OL,FRO.OL,2016-02-02,0.2,yahoo_stock_splits
GABR.CO,GABR.CO,2008-01-11,5.0,yahoo_stock_splits
GARO.ST,GARO.ST,2021-05-24,5.0,yahoo_stock_splits
GARO.ST,GARO.ST,2021-05-25,5.0,yahoo_stock_splits
GLA1V.HE,GLA1V.HE,2019-02-28,0.2,yahoo_stock_splits
GLA1V.HE,GLA1V.HE,2019-03-01,0.2,yahoo_stock_splits
GLA1V.HE,GLA1V.HE,2025-04-23,0.5,yahoo_stock_splits
GOD.OL,GOD.OL,2012-05-07,0.1,yahoo_stock_splits
HARBb.CO,HARB-B.CO,2005-10-25,10.0,yahoo_stock_splits
HAVI.OL,HAVI.OL,2018-01-04,0.01,yahoo_stock_splits
HMb.ST,HM-B.ST,2010-06-01,2.0,yahoo_stock_splits
INVEST.HE,INVEST.HE,2005-04-04,0.1,yahoo_stock_splits
ITAB.ST,ITAB.ST,2007-06-04,2.0,yahoo_stock_splits
ITAB.ST,ITAB.ST,2014-05-21,2.0,yahoo_stock_splits
ITAB.ST,ITAB.ST,2016-05-26,3.0,yahoo_stock_splits
JDAN.CO,JDAN.CO,2020-04-21,5.0,yahoo_stock_splits
JM.ST,JM.ST,2006-06-26,4.0,yahoo_stock_splits
KABEb.ST,KABE-B.ST,2005-06-07,2.0,yahoo_stock_splits
KELAS.HE,KELAS.HE,2006-03-23,3.0,yahoo_stock_splits
KESKOB.HE,KESKOB.HE,2020-03-31,4.0,yahoo_stock_splits
KESKOB.HE,KESKOB.HE,2020-04-29,4.0,yahoo_stock_splits
KMCP.OL,KMCP.OL,2019-07-10,0.1,yahoo_stock_splits
KMCP.OL,KMCP.OL,2025-08-21,0.01,yahoo_stock_splits
KMCP.OL,KMCP.OL,2026-02-11,0.16666666666666666,yahoo_stock_splits
KNEBV.HE,KNEBV.HE,2005-11-29,2.0,yahoo_stock_splits
KNEBV.HE,KNEBV.HE,2008-02-26,2.0,yahoo_stock_splits
KNEBV.HE,KNEBV.HE,2013-12-03,2.0,yahoo_stock_splits
KOA.OL,KOA.OL,2021-02-03,0.1,yahoo_stock_splits
KOG.OL,KOG.OL,2009-05-08,4.0,yahoo_stock_splits
KOG.OL,KOG.OL,2025-06-03,5.0,yahoo_stock_splits
LAGRb.ST,LAGR-B.ST,2015-10-05,3.0,yahoo_stock_splits
LAGRb.ST,LAGR-B.ST,2020-10-06,3.0,yahoo_stock_splits
LAGRb.ST,LAGR-B.ST,2020-10-07,3.0,yahoo_stock_splits
LIFCOb.ST,LIFCO-B.ST,2021-05-06,5.0,yahoo_stock_splits
LOGIa.ST,LOGI-A.ST,2021-11-11,11.0,yahoo_stock_splits
LOGIa.ST,LOGI-A.ST,2021-11-23,0.1,yahoo_stock_splits
LSG.OL,LSG.OL,2017-05-24,10.0,yahoo_stock_splits
MAERSKb.CO,MAERSK-B.CO,2014-04-04,5.0,yahoo_stock_splits
MEABb.ST,MEAB-B.ST,2007-06-12,2.0,yahoo_stock_splits
MEKKO.HE,MEKKO.HE,2022-04-13,5.0,yahoo_stock_splits
MEKO.ST,MEKO.ST,2005-06-02,2.0,yahoo_stock_splits
METSO.HE,METSO.HE,2013-03-27,4.0,yahoo_stock_splits
MGN.OL,MGN.OL,2011-12-01,0.01,yahoo_stock_splits
MOMENT.ST,MOMENT.ST,2023-06-16,0.05,yahoo_stock_splits
MOWI.OL,MOWI.OL,2007-11-30,1.01,yahoo_stock_splits
MOWI.OL,MOWI.OL,2014-01-21,0.1,yahoo_stock_splits
MYCR.ST,MYCR.ST,2025-06-03,2.0,yahoo_stock_splits
NAS.OL,NAS.OL,2020-12-18,0.01,yahoo_stock_splits
NCAB.ST,NCAB.ST,2021-12-28,10.0,yahoo_stock_splits
NEL.OL,NEL.OL,2011-05-30,0.1,yahoo_stock_splits
NEL.OL,NEL.OL,2013-08-16,0.1,yahoo_stock_splits
NELLY.ST,NELLY.ST,2020-12-28,0.1,yahoo_stock_splits
NESTE.HE,NESTE.HE,2019-04-03,3.0,yahoo_stock_splits
NEWAb.ST,NEWA-B.ST,2005-08-08,2.0,yahoo_stock_splits
NEWAb.ST,NEWA-B.ST,2023-06-12,2.0,yahoo_stock_splits
NHY.OL,NHY.OL,2006-05-10,5.0,yahoo_stock_splits
NIBEb.ST,NIBE-B.ST,2006-06-14,4.0,yahoo_stock_splits
NIBEb.ST,NIBE-B.ST,2016-05-27,4.0,yahoo_stock_splits
NIBEb.ST,NIBE-B.ST,2021-05-25,4.0,yahoo_stock_splits
NMAN.ST,NMAN.ST,2018-05-16,3.0,yahoo_stock_splits
NOBI.ST,NOBI.ST,2007-04-25,3.0,yahoo_stock_splits
NOD.OL,NOD.OL,2010-06-15,5.0,yahoo_stock_splits
NOLAb.ST,NOLA-B.ST,2021-05-12,10.0,yahoo_stock_splits
NOVOb.CO,NOVO-B.CO,2007-12-03,2.0,yahoo_stock_splits
NOVOb.CO,NOVO-B.CO,2014-01-02,5.0,yahoo_stock_splits
NOVOb.CO,NOVO-B.CO,2023-09-13,2.0,yahoo_stock_splits
NRC.OL,NRC.OL,2012-05-24,0.01,yahoo_stock_splits
NRC.OL,NRC.OL,2013-11-21,0.01,yahoo_stock_splits
NSISb.CO,NSIS-B.CO,2011-11-28,5.0,yahoo_stock_splits
ODF.OL,ODF.OL,2005-05-06,2.0,yahoo_stock_splits
OEMb.ST,OEM-B.ST,2007-05-15,3.0,yahoo_stock_splits
OEMb.ST,OEM-B.ST,2021-05-03,3.0,yahoo_stock_splits
OEMb.ST,OEM-B.ST,2022-05-06,2.0,yahoo_stock_splits
OKEAC.CO,OKEAC.CO,2020-04-03,0.001,yahoo_stock_splits
OLVAS.HE,OLVAS.HE,2006-04-10,2.0,yahoo_stock_splits
OLVAS.HE,OLVAS.HE,2011-04-08,2.0,yahoo_stock_splits
ORK.OL,ORK.OL,2007-04-20,5.0,yahoo_stock_splits
OUT1V.HE,OUT1V.HE,2014-06-23,0.04,yahoo_stock_splits
PAALb.CO,PAAL-B.CO,2016-02-08,10.0,yahoo_stock_splits
PACT.ST,PACT.ST,2021-05-19,3.0,yahoo_stock_splits
PEABb.ST,PEAB-B.ST,2007-09-25,2.0,yahoo_stock_splits
PON1V.HE,PON1V.HE,2006-03-28,2.0,yahoo_stock_splits
PRICb.ST,PRIC-B.ST,2011-05-19,0.1,yahoo_stock_splits
RAYb.ST,RAY-B.ST,2008-06-25,3.0,yahoo_stock_splits
RBLNb.CO,RBLN-B.CO,2013-03-25,5.0,yahoo_stock_splits
RBREW.CO,RBREW.CO,2015-05-05,5.0,yahoo_stock_splits
REACH.OL,REACH.OL,2011-05-02,0.025,yahoo_stock_splits
REACH.OL,REACH.OL,2012-12-06,0.05,yahoo_stock_splits
REBL.HE,REBL.HE,2007-03-26,20.0,yahoo_stock_splits
REG1V.HE,REG1V.HE,2013-03-28,0.1,yahoo_stock_splits
REG1V.HE,REG1V.HE,2018-03-21,3.0,yahoo_stock_splits
REG1V.HE,REG1V.HE,2018-03-22,2.0,yahoo_stock_splits
REG1V.HE,REG1V.HE,2020-03-20,2.0,yahoo_stock_splits
ROCKb.CO,ROCK-B.CO,2025-04-09,10.0,yahoo_stock_splits
RROS.ST,RROS.ST,2010-05-05,0.1,yahoo_stock_splits
SAABb.ST,SAAB-B.ST,2024-05-07,4.0,yahoo_stock_splits
SAFETYb.ST,SAFETY-B.ST,2018-01-30,0.05,yahoo_stock_splits
SAFETYb.ST,SAFETY-B.ST,2022-11-16,2.0,yahoo_stock_splits
SAGAb.ST,SAGA-B.ST,2019-05-31,2.0,yahoo_stock_splits
SAND.ST,SAND.ST,2006-06-08,5.0,yahoo_stock_splits
SCANA.OL,SCANA.OL,2009-04-30,1.0188679245283019,yahoo_stock_splits
SCANA.OL,SCANA.OL,2013-05-28,0.1,yahoo_stock_splits
SCANA.OL,SCANA.OL,2015-07-14,0.1,yahoo_stock_splits
SCAb.ST,SCA-B.ST,2007-05-07,3.0,yahoo_stock_splits
SCHO.CO,SCHO.CO,2008-04-22,2.0,yahoo_stock_splits
SECTb.ST,SECT-B.ST,2021-09-24,5.0,yahoo_stock_splits
SGG.ST,SGG.ST,2023-06-15,0.0125,yahoo_stock_splits
SIILI.HE,SIILI.HE,2016-03-24,3.0,yahoo_stock_splits
SIMINN.IC,SIMINN.IC,2022-11-03,0.60274,yahoo_stock_splits
SKFb.ST,SKF-B.ST,2005-05-04,4.0,yahoo_stock_splits
SKISb.ST,SKIS-B.ST,2005-12-20,2.0,yahoo_stock_splits
SKISb.ST,SKIS-B.ST,2019-01-16,2.0,yahoo_stock_splits
SOFF.OL,SOFF.OL,2020-10-21,0.001,yahoo_stock_splits
SRV1V.HE,SRV1V.HE,2022-07-05,0.025,yahoo_stock_splits
SSABa.ST,SSAB-A.ST,2006-06-26,3.0,yahoo_stock_splits
STEFb.ST,STEF-B.ST,2014-02-06,2.0,yahoo_stock_splits
STEFb.ST,STEF-B.ST,2014-12-16,0.25,yahoo_stock_splits
STRO.OL,STRO.OL,2005-05-09,0.1,yahoo_stock_splits
SUY1V.HE,SUY1V.HE,2016-03-22,0.2,yahoo_stock_splits
SVEDb.ST,SVED-B.ST,2006-05-08,4.0,yahoo_stock_splits
SWECb.ST,SWEC-B.ST,2007-05-08,5.0,yahoo_stock_splits
SWECb.ST,SWEC-B.ST,2020-11-10,3.0,yahoo_stock_splits
SYSR.ST,SYSR.ST,2021-09-06,4.0,yahoo_stock_splits
TEL2b.ST,TEL2-B.ST,2005-05-19,4.0,yahoo_stock_splits
TEM1V.HE,TEM1V.HE,2024-04-22,0.05,yahoo_stock_splits
TGS.OL,TGS.OL,2006-06-15,4.0,yahoo_stock_splits
TIV.CO,TIV.CO,2016-04-25,10.0,yahoo_stock_splits
TNOM.HE,TNOM.HE,2020-02-26,6.0,yahoo_stock_splits
TOM.OL,TOM.OL,2022-05-27,2.0,yahoo_stock_splits
TRH1V.HE,TRH1V.HE,2019-07-02,0.2,yahoo_stock_splits
TRH1V.HE,TRH1V.HE,2022-04-04,0.1,yahoo_stock_splits
TRIANb.ST,TRIAN-B.ST,2022-05-13,4.0,yahoo_stock_splits
TRIANb.ST,TRIAN-B.ST,2022-05-25,4.0,yahoo_stock_splits
TRMDa.CO,TRMD-A.CO,2007-05-23,2.0,yahoo_stock_splits
TRMDa.CO,TRMD-A.CO,2015-09-24,0.0006666666666666666,yahoo_stock_splits
TROAX.ST,TROAX.ST,2019-06-18,3.0,yahoo_stock_splits
TULAV.HE,TULAV.HE,2006-04-21,4.0,yahoo_stock_splits
TYRES.HE,TYRES.HE,2005-04-18,10.0,yahoo_stock_splits
UIE.CO,UIE.CO,2022-08-04,10.0,yahoo_stock_splits
VAIAS.HE,VAIAS.HE,2018-04-11,2.0,yahoo_stock_splits
VAR.OL,VAR.OL,2023-02-15,1.1,yahoo_stock_splits
VBGb.ST,VBG-B.ST,2006-06-05,4.0,yahoo_stock_splits
VEI.OL,VEI.OL,2007-05-09,5.0,yahoo_stock_splits
VERK.HE,VERK.HE,2015-08-20,6.0,yahoo_stock_splits
VITR.ST,VITR.ST,2018-05-17,5.0,yahoo_stock_splits
VITb.ST,VIT-B.ST,2015-12-22,5.0,yahoo_stock_splits
VOLVb.ST,VOLV-B.ST,2007-04-26,5.0,yahoo_stock_splits
VWS.CO,VWS.CO,2021-04-27,5.0,yahoo_stock_splits
WALLb.ST,WALL-B.ST,2005-05-06,5.0,yahoo_stock_splits
WALLb.ST,WALL-B.ST,2011-05-23,3.0,yahoo_stock_splits
WALLb.ST,WALL-B.ST,2015-05-25,2.0,yahoo_stock_splits
WALLb.ST,WALL-B.ST,2022-05-23,2.0,yahoo_stock_splits
WIHL.ST,WIHL.ST,2006-05-23,2.0,yahoo_stock_splits
WIHL.ST,WIHL.ST,2011-05-23,2.0,yahoo_stock_splits
WIHL.ST,WIHL.ST,2018-05-23,2.0,yahoo_stock_splits
WIHL.ST,WIHL.ST,2022-05-23,2.0,yahoo_stock_splits
WISE.ST,WISE.ST,2015-06-23,0.05,yahoo_stock_splits
WRT1V.HE,WRT1V.HE,2011-03-04,2.0,yahoo_stock_splits
WRT1V.HE,WRT1V.HE,2018-03-09,3.0,yahoo_stock_splits
XANOb.ST,XANO-B.ST,2017-06-08,2.0,yahoo_stock_splits
XANOb.ST,XANO-B.ST,2019-06-11,2.0,yahoo_stock_splits
XANOb.ST,XANO-B.ST,2022-06-14,2.0,yahoo_stock_splits
YIT.HE,YIT.HE,2006-03-27,2.0,yahoo_stock_splits
