Ticker,FiscalYear,PeriodEndDate,AnnouncementDate
20202.OL,2018,2018-12-31,2019-02-12
20202.OL,2019,2019-12-31,2020-02-11
20202.OL,2020,2020-12-31,2021-01-28
20202.OL,2021,2021-12-31,2022-01-26
20202.OL,2022,2022-12-31,2023-02-08
20202.OL,2023,2023-12-31,2024-02-07
20202.OL,2024,2024-12-31,2025-02-12
20202.OL,2025,2025-12-31,2026-02-11
8TRA.ST,2019,2019-12-31,2020-03-23
8TRA.ST,2020,2020-12-31,2021-01-22
8TRA.ST,2021,2021-12-31,2022-03-15
8TRA.ST,2022,2022-12-31,2023-03-07
8TRA.ST,2023,2023-12-31,2024-03-05
8TRA.ST,2024,2024-12-31,2025-03-10
8TRA.ST,2025,2025-12-31,2026-03-04
AAK.ST,2011,2011-12-31,2012-02-09
AAK.ST,2012,2012-12-31,2013-02-07
AAK.ST,2013,2013-12-31,2014-02-05
AAK.ST,2014,2014-12-31,2015-02-03
AAK.ST,2015,2015-12-31,2016-02-03
AAK.ST,2016,2016-12-31,2017-02-03
AAK.ST,2017,2017-12-31,2018-02-05
AAK.ST,2018,2018-12-31,2019-02-08
AAK.ST,2019,2019-12-31,2020-01-30
AAK.ST,2020,2020-12-31,2021-01-28
AAK.ST,2021,2021-12-31,2022-02-04
AAK.ST,2022,2022-12-31,2023-02-02
AAK.ST,2023,2023-12-31,2024-02-07
AAK.ST,2024,2024-12-31,2025-02-05
AAK.ST,2025,2025-12-31,2026-02-05
ABB.ST,2011,2011-12-31,2012-02-16
ABB.ST,2012,2012-12-31,2013-02-14
ABB.ST,2013,2013-12-31,2014-02-13
ABB.ST,2014,2014-12-31,2015-02-05
ABB.ST,2015,2015-12-31,2016-02-03
ABB.ST,2016,2016-12-31,2017-02-08
ABB.ST,2017,2017-12-31,2018-02-08
ABB.ST,2018,2018-12-31,2019-02-28
ABB.ST,2019,2019-12-31,2020-02-05
ABB.ST,2020,2020-12-31,2021-02-04
ABB.ST,2021,2021-12-31,2022-02-03
ABB.ST,2022,2022-12-31,2023-02-02
ABB.ST,2023,2023-12-31,2024-02-01
ABB.ST,2024,2024-12-31,2025-01-30
