Ticker,ExDate,DPS_UNADJUSTED,DPS_ADJUSTED_GROSS,AdjustmentFactor,DPS_LOCAL,Currency,AdjustmentBasis,SplitFallbackSource,SplitFallbackEventCount,SplitFallbackEvents,InstrumentCurrency
ABB.ST,2020-03-30,0.8,,1.0,0.8,CHF,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ABB.ST,2021-03-29,0.8,,1.0,0.8,CHF,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ABB.ST,2022-03-28,0.82,,1.0,0.82,CHF,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ABB.ST,2023-03-27,0.84,,1.0,0.84,CHF,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ABB.ST,2024-03-25,0.87,,1.0,0.87,CHF,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ABB.ST,2025-03-31,0.9,,1.0,0.9,CHF,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ABB.ST,2026-03-23,0.94,,1.0,0.94,CHF,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ABL.OL,2018-06-28,0.9,,0.984043,0.8856387,NOK,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,,0,,NOK
ABL.OL,2020-06-11,0.2,,1.0,0.2,NOK,yahoo_no_later_split_verified_1,yahoo,0,,NOK
ABL.OL,2020-11-02,0.2,,1.0,0.2,NOK,yahoo_no_later_split_verified_1,yahoo,0,,NOK
ABL.OL,2021-06-03,0.25,,1.0,0.25,NOK,yahoo_no_later_split_verified_1,yahoo,0,,NOK
ABL.OL,2021-11-01,0.25,,1.0,0.25,NOK,yahoo_no_later_split_verified_1,yahoo,0,,NOK
ABL.OL,2022-06-02,0.3,,1.0,0.3,NOK,yahoo_no_later_split_verified_1,yahoo,0,,NOK
ABL.OL,2022-11-07,0.3,,1.0,0.3,NOK,yahoo_no_later_split_verified_1,yahoo,0,,NOK
ABL.OL,2023-06-01,0.35,,1.0,0.35,NOK,yahoo_no_later_split_verified_1,yahoo,0,,NOK
ABL.OL,2023-10-30,0.35,,1.0,0.35,NOK,yahoo_no_later_split_verified_1,yahoo,0,,NOK
ABL.OL,2024-05-30,0.4,,1.0,0.4,NOK,yahoo_no_later_split_verified_1,yahoo,0,,NOK
ABL.OL,2024-11-04,0.4,,1.0,0.4,NOK,yahoo_no_later_split_verified_1,yahoo,0,,NOK
ABL.OL,2025-05-30,0.45,,1.0,0.45,NOK,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,,0,,NOK
ABL.OL,2025-11-03,0.45,,1.0,0.45,NOK,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,,0,,NOK
ABL.OL,2026-05-28,0.45,,1.0,0.45,NOK,yahoo_no_later_split_verified_1,yahoo,0,,NOK
ACADE.ST,2019-11-27,1.25,,1.0,1.25,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ACADE.ST,2020-11-27,1.5,,1.0,1.5,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ACADE.ST,2021-12-01,1.75,,1.0,1.75,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ACADE.ST,2022-12-01,1.75,,1.0,1.75,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ACADE.ST,2023-12-01,1.75,,1.0,1.75,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ACADE.ST,2024-11-29,1.75,,1.0,1.75,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ACADE.ST,2025-11-27,2.25,,1.0,2.25,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ACG1V.HE,2004-04-05,0.3,,10.0,3.0,EUR,yahoo_split_events,yahoo,1,2011-12-30:0.1,EUR
ACG1V.HE,2005-04-08,0.3,,10.0,3.0,EUR,yahoo_split_events,yahoo,1,2011-12-30:0.1,EUR
ACG1V.HE,2018-03-19,0.07,,1.0,0.07,EUR,yahoo_no_later_split_verified_1,yahoo,0,,EUR
ACG1V.HE,2019-04-04,0.12,,1.0,0.12,EUR,yahoo_no_later_split_verified_1,yahoo,0,,EUR
ACG1V.HE,2020-09-17,0.15,,1.0,0.15,EUR,yahoo_no_later_split_verified_1,yahoo,0,,EUR
ACG1V.HE,2022-04-27,0.15,,1.0,0.15,EUR,yahoo_no_later_split_verified_1,yahoo,0,,EUR
ACG1V.HE,2023-04-21,0.21,,1.0,0.21,EUR,yahoo_no_later_split_verified_1,yahoo,0,,EUR
ACRIa.ST,2016-02-26,1.25,,0.1666666666666666,0.20833333333333326,SEK,yahoo_split_events,yahoo,2,2019-07-02:3;2021-03-18:2,SEK
ACRIa.ST,2017-05-02,0.75,,0.1666666666666666,0.12499999999999994,SEK,yahoo_split_events,yahoo,2,2019-07-02:3;2021-03-18:2,SEK
ACRIa.ST,2017-10-26,0.75,,0.1666666666666666,0.12499999999999994,SEK,yahoo_split_events,yahoo,2,2019-07-02:3;2021-03-18:2,SEK
ACRIa.ST,2018-04-30,0.8,,0.1666666666666666,0.13333333333333328,SEK,yahoo_split_events,yahoo,2,2019-07-02:3;2021-03-18:2,SEK
ACRIa.ST,2018-10-31,0.8,,0.1666666666666666,0.13333333333333328,SEK,yahoo_split_events,yahoo,2,2019-07-02:3;2021-03-18:2,SEK
ACRIa.ST,2019-04-29,1.05,,0.1666666666666666,0.17499999999999993,SEK,yahoo_split_events,yahoo,2,2019-07-02:3;2021-03-18:2,SEK
ACRIa.ST,2019-10-31,0.35,,0.5,0.175,SEK,yahoo_split_events,yahoo,1,2021-03-18:2,SEK
ACRIa.ST,2020-04-24,0.4,,0.5,0.2,SEK,yahoo_split_events,yahoo,1,2021-03-18:2,SEK
ACRIa.ST,2021-04-23,0.2,,1.0,0.2,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ACRIa.ST,2021-10-19,0.2,,1.0,0.2,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ACRIa.ST,2022-04-25,0.2,,1.0,0.2,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ACRIa.ST,2023-05-02,0.2,,1.0,0.2,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ACRIa.ST,2023-10-19,0.2,,1.0,0.2,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ACRIa.ST,2024-05-07,0.15,,1.0,0.15,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ACRIa.ST,2024-10-18,0.15,,1.0,0.15,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ACRIa.ST,2025-05-07,0.7,,1.0,0.7,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ACRIa.ST,2025-09-08,0.7,,1.0,0.7,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ACRIa.ST,2026-05-07,3.75,,1.0,3.75,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ADDTb.ST,2004-08-20,2.0,,0.0833333333333333,0.1666666666666666,SEK,yahoo_split_events,yahoo,2,2013-12-10:3;2020-09-15:4,SEK
ADDTb.ST,2005-08-18,2.75,,0.0833333333333333,0.22916666666666657,SEK,yahoo_split_events,yahoo,2,2013-12-10:3;2020-09-15:4,SEK
ADDTb.ST,2006-08-23,4.0,,0.0833333333333333,0.3333333333333332,SEK,yahoo_split_events,yahoo,2,2013-12-10:3;2020-09-15:4,SEK
ADDTb.ST,2007-08-28,6.0,,0.0833333333333333,0.4999999999999998,SEK,yahoo_split_events,yahoo,2,2013-12-10:3;2020-09-15:4,SEK
ADDTb.ST,2008-08-26,7.0,,0.0833333333333333,0.5833333333333331,SEK,yahoo_split_events,yahoo,2,2013-12-10:3;2020-09-15:4,SEK
ADDTb.ST,2009-08-25,5.0,,0.0833333333333333,0.4166666666666665,SEK,yahoo_split_events,yahoo,2,2013-12-10:3;2020-09-15:4,SEK
ADDTb.ST,2010-08-25,5.0,,0.0833333333333333,0.4166666666666665,SEK,yahoo_split_events,yahoo,2,2013-12-10:3;2020-09-15:4,SEK
ADDTb.ST,2011-08-24,7.0,,0.0833333333333333,0.5833333333333331,SEK,yahoo_split_events,yahoo,2,2013-12-10:3;2020-09-15:4,SEK
ADDTb.ST,2012-08-29,8.0,,0.0833333333333333,0.6666666666666664,SEK,yahoo_split_events,yahoo,2,2013-12-10:3;2020-09-15:4,SEK
ADDTb.ST,2013-08-29,8.0,,0.0833333333333333,0.6666666666666664,SEK,yahoo_split_events,yahoo,2,2013-12-10:3;2020-09-15:4,SEK
ADDTb.ST,2014-08-28,3.0,,0.25,0.75,SEK,yahoo_split_events,yahoo,1,2020-09-15:4,SEK
ADDTb.ST,2015-08-28,3.25,,0.25,0.8125,SEK,yahoo_split_events,yahoo,1,2020-09-15:4,SEK
ADDTb.ST,2016-09-01,3.25,,0.25,0.8125,SEK,yahoo_split_events,yahoo,1,2020-09-15:4,SEK
ADDTb.ST,2017-09-01,3.5,,0.25,0.875,SEK,yahoo_split_events,yahoo,1,2020-09-15:4,SEK
ADDTb.ST,2018-08-31,4.0,,0.25,1.0,SEK,yahoo_split_events,yahoo,1,2020-09-15:4,SEK
ADDTb.ST,2019-08-30,5.0,,0.25,1.25,SEK,yahoo_split_events,yahoo,1,2020-09-15:4,SEK
ADDTb.ST,2020-08-31,4.0,,0.25,1.0,SEK,yahoo_split_events,yahoo,1,2020-09-15:4,SEK
ADDTb.ST,2021-08-27,1.2,,1.0,1.2,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ADDTb.ST,2022-08-26,1.8,,1.0,1.8,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ADDTb.ST,2023-08-24,2.5,,1.0,2.5,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ADDTb.ST,2024-08-23,2.8,,1.0,2.8,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ADDTb.ST,2025-08-28,3.2,,1.0,3.2,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
AFAGR.HE,2006-04-27,0.02,,1.0,0.02,EUR,yahoo_no_later_split_verified_1,yahoo,0,,EUR
AFAGR.HE,2006-10-30,0.01,,1.0,0.01,EUR,yahoo_no_later_split_verified_1,yahoo,0,,EUR
AFAGR.HE,2007-04-23,0.03,,1.0,0.03,EUR,yahoo_no_later_split_verified_1,yahoo,0,,EUR
AFAGR.HE,2008-04-01,0.04,,1.0,0.04,EUR,yahoo_no_later_split_verified_1,yahoo,0,,EUR
AFAGR.HE,2009-05-08,0.04,,0.974522,0.03898088,EUR,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,,0,,EUR
AFAGR.HE,2010-04-22,0.04,,0.979057,0.03916228,EUR,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,,0,,EUR
AFAGR.HE,2011-05-12,0.04,,1.0,0.04,EUR,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,,0,,EUR
AFAGR.HE,2013-05-10,0.01,,1.0,0.01,EUR,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,,0,,EUR
AFAGR.HE,2014-05-09,0.02,,1.0,0.02,EUR,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,,0,,EUR
AFAGR.HE,2015-05-11,0.02,,1.0,0.02,EUR,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,,0,,EUR
AFAGR.HE,2016-05-12,0.01,,1.0,0.01,EUR,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,,0,,EUR
AFAGR.HE,2016-08-16,0.01,,1.0,0.01,EUR,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,,0,,EUR
AFAGR.HE,2017-05-31,0.02,,1.0,0.02,EUR,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,,0,,EUR
AFAGR.HE,2026-02-12,0.005,,0.985423,0.004927115,EUR,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,,0,,EUR
AFGA.OL,2004-05-10,1.0,,0.2,0.2,NOK,yahoo_split_events,yahoo,1,2010-01-18:5,NOK
AFGA.OL,2005-05-13,2.5,,0.2,0.5,NOK,yahoo_split_events,yahoo,1,2010-01-18:5,NOK
AFGA.OL,2005-05-13,2.5,,0.2,0.5,NOK,yahoo_split_events,yahoo,1,2010-01-18:5,NOK
AFGA.OL,2006-05-12,3.0,,0.2,0.6000000000000001,NOK,yahoo_split_events,yahoo,1,2010-01-18:5,NOK
AFGA.OL,2007-05-14,5.0,,0.2,1.0,NOK,yahoo_split_events,yahoo,1,2010-01-18:5,NOK
AFGA.OL,2008-05-13,6.0,,0.2,1.2000000000000002,NOK,yahoo_split_events,yahoo,1,2010-01-18:5,NOK
AFGA.OL,2009-05-18,7.0,,0.2,1.4000000000000001,NOK,yahoo_split_events,yahoo,1,2010-01-18:5,NOK
AFGA.OL,2010-05-31,1.6,,1.0,1.6,NOK,yahoo_no_later_split_verified_1,yahoo,0,,NOK
AFGA.OL,2010-10-29,2.0,,1.0,2.0,NOK,yahoo_no_later_split_verified_1,yahoo,0,,NOK
AFGA.OL,2011-05-23,2.0,,1.0,2.0,NOK,yahoo_no_later_split_verified_1,yahoo,0,,NOK
AFGA.OL,2011-05-23,2.5,,1.0,2.5,NOK,yahoo_no_later_split_verified_1,yahoo,0,,NOK
AFGA.OL,2012-05-14,2.2,,1.0,2.2,NOK,yahoo_no_later_split_verified_1,yahoo,0,,NOK
AFGA.OL,2012-05-14,2.3,,1.0,2.3,NOK,yahoo_no_later_split_verified_1,yahoo,0,,NOK
