Ticker,ExDate,DPS_UNADJUSTED,DPS_ADJUSTED_GROSS,AdjustmentFactor,DPS_LOCAL,Currency,AdjustmentBasis,SplitFallbackSource,SplitFallbackEventCount,SplitFallbackEvents,InstrumentCurrency
20202.OL,2019-11-11,0.055,,1.0,0.055,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2019-12-06,0.08,,1.0,0.08,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2020-01-14,0.04,,1.0,0.04,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2020-02-13,0.03,,1.0,0.03,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2020-08-17,0.01,,1.0,0.01,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2020-09-11,0.03,,1.0,0.03,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2020-10-12,0.06,,0.990954,0.059457239999999995,USD,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,,0,,NOK
20202.OL,2020-11-16,0.07,,1.0,0.07,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2020-12-17,0.04,,1.0,0.04,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2021-01-21,0.06,,1.0,0.06,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2021-02-19,0.13,,1.0,0.13,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2021-03-23,0.03,,1.0,0.03,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2021-04-21,0.1,,1.0,0.1,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2021-05-20,0.21,,1.0,0.21,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2021-06-17,0.3,,1.0,0.3,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2021-07-19,0.24,,1.0,0.24,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2021-08-20,0.26,,1.0,0.26,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2021-09-17,0.32,,1.0,0.32,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2021-10-19,0.39,,1.0,0.39,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2021-11-19,0.49,,1.0,0.49,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2021-12-16,0.35,,1.0,0.35,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2022-01-20,0.36,,1.0,0.36,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2022-02-17,0.06,,1.0,0.06,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2022-03-18,0.08,,1.0,0.08,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2022-04-20,0.12,,1.0,0.12,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2022-05-19,0.08,,1.0,0.08,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2022-06-21,0.26,,1.0,0.26,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2022-07-21,0.18,,1.0,0.18,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2022-08-19,0.18,,1.0,0.18,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2022-09-20,0.06,,1.0,0.06,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2022-10-20,0.06,,1.0,0.06,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2022-11-21,0.1,,1.0,0.1,USD,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,,0,,NOK
20202.OL,2022-12-20,0.08,,1.0,0.08,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2023-01-20,0.09,,1.0,0.09,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2023-02-20,0.01,,1.0,0.01,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2023-03-21,0.01,,1.0,0.01,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2023-04-20,0.02,,1.0,0.02,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2023-05-23,0.07,,1.0,0.07,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2023-06-22,0.08,,1.0,0.08,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2023-07-21,0.04,,1.0,0.04,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2023-08-22,0.04,,1.0,0.04,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2023-09-20,0.03,,1.0,0.03,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2023-10-24,0.05,,1.0,0.05,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2023-11-21,0.2,,1.0,0.2,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2023-12-21,0.18,,1.0,0.18,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2024-01-23,0.21,,1.0,0.21,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2024-02-21,0.1,,1.0,0.1,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2024-03-19,0.1,,1.0,0.1,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2024-04-16,1.68,,0.892878,1.5000350399999998,USD,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,,0,,NOK
20202.OL,2024-04-16,0.11,,1.0,0.11,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2024-05-15,0.14,,1.0,0.14,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2024-06-18,0.18,,1.0,0.18,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2024-07-16,0.2,,1.0,0.2,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2024-08-20,0.2,,1.0,0.2,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2024-09-17,0.17,,1.0,0.17,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2024-10-17,0.2,,1.0,0.2,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2024-11-19,0.15,,1.0,0.15,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2024-12-12,0.14,,1.0,0.14,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2025-01-16,0.05,,1.0,0.05,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2025-02-18,0.03,,1.0,0.03,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2025-03-20,0.01,,1.0,0.01,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2025-04-15,0.06,,1.0,0.06,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2025-05-15,0.1,,1.0,0.1,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2025-06-17,0.11,,1.0,0.11,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2025-07-15,0.16,,1.0,0.16,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2025-08-21,0.15,,1.0,0.15,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2025-09-16,0.2,,1.0,0.2,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2025-10-16,0.19,,1.0,0.19,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2025-11-20,0.19,,1.0,0.19,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2025-12-18,0.21,,1.0,0.21,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2026-01-15,0.23,,1.0,0.23,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2026-02-18,0.15,,1.0,0.15,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
20202.OL,2026-03-17,0.1,,1.0,0.1,USD,yahoo_no_later_split_verified_1,yahoo,0,,NOK
8TRA.ST,2020-09-24,1.0,,1.0,1.0,EUR,yahoo_no_later_split_verified_1,yahoo,0,,SEK
8TRA.ST,2021-07-01,0.25,,1.0,0.25,EUR,yahoo_no_later_split_verified_1,yahoo,0,,SEK
8TRA.ST,2022-06-10,0.5,,1.0,0.5,EUR,yahoo_no_later_split_verified_1,yahoo,0,,SEK
8TRA.ST,2023-06-02,0.7,,1.0,0.7,EUR,yahoo_no_later_split_verified_1,yahoo,0,,SEK
8TRA.ST,2024-06-14,1.5,,1.0,1.5,EUR,yahoo_no_later_split_verified_1,yahoo,0,,SEK
8TRA.ST,2025-05-15,1.7,,1.0,1.7,EUR,yahoo_no_later_split_verified_1,yahoo,0,,SEK
8TRA.ST,2026-06-17,0.93,,1.0,0.93,EUR,yahoo_no_later_split_verified_1,yahoo,0,,SEK
AAK.ST,2006-11-13,25.0,,0.1666666666666666,4.166666666666665,SEK,yahoo_split_events,yahoo,1,2018-06-13:6,SEK
AAK.ST,2006-11-13,4.0,,0.1666666666666666,0.6666666666666664,SEK,yahoo_split_events,yahoo,1,2018-06-13:6,SEK
AAK.ST,2007-05-22,4.0,,0.1666666666666666,0.6666666666666664,SEK,yahoo_split_events,yahoo,1,2018-06-13:6,SEK
AAK.ST,2008-05-22,4.0,,0.1666666666666666,0.6666666666666664,SEK,yahoo_split_events,yahoo,1,2018-06-13:6,SEK
AAK.ST,2009-05-20,4.0,,0.1666666666666666,0.6666666666666664,SEK,yahoo_split_events,yahoo,1,2018-06-13:6,SEK
AAK.ST,2010-05-24,4.25,,0.1666666666666666,0.708333333333333,SEK,yahoo_split_events,yahoo,1,2018-06-13:6,SEK
AAK.ST,2011-05-18,4.5,,0.1666666666666666,0.7499999999999997,SEK,yahoo_split_events,yahoo,1,2018-06-13:6,SEK
AAK.ST,2012-05-16,4.75,,0.1666666666666666,0.7916666666666664,SEK,yahoo_split_events,yahoo,1,2018-06-13:6,SEK
AAK.ST,2013-05-06,5.25,,0.1666666666666666,0.8749999999999997,SEK,yahoo_split_events,yahoo,1,2018-06-13:6,SEK
AAK.ST,2014-05-09,6.0,,0.1666666666666666,0.9999999999999996,SEK,yahoo_split_events,yahoo,1,2018-06-13:6,SEK
AAK.ST,2015-05-06,6.75,,0.1666666666666666,1.1249999999999996,SEK,yahoo_split_events,yahoo,1,2018-06-13:6,SEK
AAK.ST,2016-05-12,7.75,,0.1666666666666666,1.291666666666666,SEK,yahoo_split_events,yahoo,1,2018-06-13:6,SEK
AAK.ST,2017-05-18,8.75,,0.1666666666666666,1.4583333333333328,SEK,yahoo_split_events,yahoo,1,2018-06-13:6,SEK
AAK.ST,2018-05-31,9.75,,0.1666666666666666,1.6249999999999993,SEK,yahoo_split_events,yahoo,1,2018-06-13:6,SEK
AAK.ST,2019-05-16,1.85,,1.0,1.85,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
AAK.ST,2020-11-27,2.1,,1.0,2.1,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
AAK.ST,2021-05-10,2.3,,1.0,2.3,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
AAK.ST,2022-05-19,2.5,,1.0,2.5,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
AAK.ST,2023-05-05,2.75,,1.0,2.75,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
AAK.ST,2024-05-10,3.7,,1.0,3.7,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
AAK.ST,2025-05-09,5.0,,1.0,5.0,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
AAK.ST,2026-05-11,3.85,,1.0,3.85,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
AAK.ST,2026-05-11,5.5,,1.0,5.5,SEK,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ABB.ST,2006-05-09,0.12,,1.0,0.12,CHF,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ABB.ST,2007-05-08,0.24,,1.0,0.24,CHF,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ABB.ST,2008-07-28,0.48,,1.0,0.48,CHF,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ABB.ST,2009-07-27,0.48,,1.0,0.48,CHF,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ABB.ST,2010-07-12,0.51,,1.0,0.51,CHF,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ABB.ST,2011-05-03,0.6,,1.0,0.6,CHF,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,,0,,SEK
ABB.ST,2012-04-30,0.65,,1.0,0.65,CHF,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,,0,,SEK
ABB.ST,2013-04-29,0.68,,1.0,0.68,CHF,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,,0,,SEK
ABB.ST,2014-05-05,0.7,,1.0,0.7,CHF,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,,0,,SEK
ABB.ST,2015-05-05,0.55,,1.0,0.55,CHF,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,,0,,SEK
ABB.ST,2015-07-27,0.17,,1.0,0.17,CHF,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ABB.ST,2016-07-11,0.74,,1.0,0.74,CHF,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ABB.ST,2017-04-19,0.76,,1.0,0.76,CHF,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ABB.ST,2018-04-04,0.78,,1.0,0.78,CHF,yahoo_no_later_split_verified_1,yahoo,0,,SEK
ABB.ST,2019-05-06,0.8,,1.0,0.8,CHF,yahoo_no_later_split_verified_1,yahoo,0,,SEK
