SizeGroup,PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs
SmallCap,LongShort,CAPM,Method1_Raw,0.20069846132547384,0.01672487177712282,5.111679611899041,7.752678654604495e-07,0.001431965131582058,192
SmallCap,LongShort,FF3,Method1_Raw,0.19640946293606315,0.016367455244671928,5.358610108945728,2.43579976633157e-07,0.055607136192537765,192
SmallCap,LongShort,FF3+MOM,Method1_Raw,0.15446217109983695,0.01287184759165308,3.8132106029122363,0.00018616670249027578,0.08604001906157044,192
SmallCap,LongShort,FF5,Method1_Raw,0.18044305485451945,0.015036921237876621,7.0917464422850784,2.680433652813008e-11,0.26632287386901954,192
SmallCap,LongShort,FF5+MOM,Method1_Raw,0.15998430589292506,0.01333202549107709,5.301062330241081,3.2563529495099885e-07,0.2735148259706114,192
SmallCap,LongShort,CAPM,Method2_PostMean,0.19682103294975162,0.016401752745812636,5.4450574600587025,1.5877273917830337e-07,0.0035081682804642966,192
SmallCap,LongShort,FF3,Method2_PostMean,0.19351855235391663,0.016126546029493052,5.8326488625913155,2.3431555584707553e-08,0.07666532919860192,192
SmallCap,LongShort,FF3+MOM,Method2_PostMean,0.1533680629368615,0.012780671911405125,4.119530567886484,5.696246099895497e-05,0.1035053264515805,192
SmallCap,LongShort,FF5,Method2_PostMean,0.18042117990830348,0.015035098325691956,6.761637599812326,1.7109180738827945e-10,0.24429944641907086,192
SmallCap,LongShort,FF5+MOM,Method2_PostMean,0.16007656011367807,0.013339713342806507,5.523019215524592,1.1169401892274777e-07,0.25114570559973426,192
SmallCap,LongShort,CAPM,Method3_ProbQ5,0.1663134676544541,0.013859455637871176,3.9209409997968927,0.00012308421758788768,0.006218209881694525,192
SmallCap,LongShort,FF3,Method3_ProbQ5,0.15817745134411565,0.013181454278676303,4.442310965741758,1.5168981978952445e-05,0.06107466781896831,192
SmallCap,LongShort,FF3+MOM,Method3_ProbQ5,0.10004345993017175,0.00833695499418098,2.962211058809986,0.0034509794145840544,0.12746022405222257,192
SmallCap,LongShort,FF5,Method3_ProbQ5,0.15031715854382516,0.012526429878652098,4.649584230684523,6.291329163854442e-06,0.15763509638738393,192
SmallCap,LongShort,FF5+MOM,Method3_ProbQ5,0.10544610898999249,0.008787175749166041,3.6730505605974906,0.00031364316665327685,0.19692664718762165,192
LargeCap,LongShort,CAPM,Method1_Raw,0.08252751335657074,0.006877292779714229,1.786639214565843,0.07559022093733248,0.07127533573214839,192
LargeCap,LongShort,FF3,Method1_Raw,0.07311183102817313,0.006092652585681094,1.8243575908054528,0.06968550740554313,0.24912489500284485,192
LargeCap,LongShort,FF3+MOM,Method1_Raw,0.027360026619608818,0.002280002218300735,0.6462302167719765,0.518922560527352,0.28596799874185463,192
LargeCap,LongShort,FF5,Method1_Raw,0.059615810710934844,0.004967984225911237,1.5986130658414346,0.11160394389972406,0.390363619829443,192
LargeCap,LongShort,FF5+MOM,Method1_Raw,0.030853389089698306,0.002571115757474859,0.7937043556608864,0.4283844171389155,0.40482947296750194,192
LargeCap,LongShort,CAPM,Method2_PostMean,0.04946711593100916,0.00412225966091743,1.0828054172130812,0.2802670495225139,0.05290252834928666,192
LargeCap,LongShort,FF3,Method2_PostMean,0.040228558493690544,0.0033523798744742117,1.0215870702452043,0.3082891601054958,0.24184413847029895,192
LargeCap,LongShort,FF3+MOM,Method2_PostMean,0.007259014239691752,0.000604917853307646,0.17418346201861987,0.8619097074954327,0.26214036574762123,192
LargeCap,LongShort,FF5,Method2_PostMean,0.027520241535158425,0.0022933534612632023,0.797457989973525,0.4262019453448469,0.39135531294948056,192
LargeCap,LongShort,FF5+MOM,Method2_PostMean,0.012058984922116971,0.0010049154101764142,0.3199747660311185,0.7493485406275986,0.39578968784141244,192
LargeCap,LongShort,CAPM,Method3_ProbQ5,0.035447998472333424,0.002953999872694452,1.583309869195357,0.11501394340207138,0.021960101740143956,192
LargeCap,LongShort,FF3,Method3_ProbQ5,0.028975967569317057,0.0024146639641097548,1.6067958594360885,0.10977740423759941,0.21565114910884398,192
LargeCap,LongShort,FF3+MOM,Method3_ProbQ5,0.0049449097289804966,0.0004120758107483747,0.215235923975668,0.8298179464285127,0.24566650354144515,192
LargeCap,LongShort,FF5,Method3_ProbQ5,0.017917833148317207,0.001493152762359767,0.9039848794411097,0.3671727434984975,0.36080453024146986,192
LargeCap,LongShort,FF5+MOM,Method3_ProbQ5,0.0022349626632467523,0.00018624688860389602,0.09665208492750196,0.9231073164197932,0.3735044860722718,192
