SizeGroup,Method,Portfolio,Date,n_firms,raw_weight_sum,ucits_weight_sum,max_raw_weight,max_ucits_weight,cash_weight,large_position_weight,n_large_positions,n_names_single_cap_binding,aggregate_cap_relaxed
LargeCap,Method1_Raw,Q1,2010-01-31,19,1.0,1.0,0.5305579087375397,0.10000000000000002,0.0,0.4,4,2,False
LargeCap,Method1_Raw,Q2,2010-01-31,28,0.9999999999999999,1.0,0.2010467266599604,0.1,0.0,0.4,4,5,False
LargeCap,Method1_Raw,Q3,2010-01-31,31,0.9999999999999999,1.0,0.18709455736993338,0.1,0.0,0.4,4,4,False
LargeCap,Method1_Raw,Q4,2010-01-31,37,0.9999999999999999,1.0,0.24092469839286937,0.1,0.0,0.4,5,2,False
LargeCap,Method1_Raw,Q5,2010-01-31,37,1.0,1.0,0.2143803498276059,0.1,0.0,0.4,4,4,False
LargeCap,Method2_PostMean,Q1,2010-01-31,20,1.0,1.0,0.3838053090129634,0.10000000000000002,0.0,0.4,4,3,False
LargeCap,Method2_PostMean,Q2,2010-01-31,25,1.0,1.0,0.19070249816395934,0.1,0.0,0.4,4,3,False
LargeCap,Method2_PostMean,Q3,2010-01-31,33,0.9999999999999999,1.0,0.20840471406098374,0.1,0.0,0.4,4,3,False
LargeCap,Method2_PostMean,Q4,2010-01-31,35,0.9999999999999998,1.0,0.20922571630924247,0.1,0.0,0.4,5,2,False
LargeCap,Method2_PostMean,Q5,2010-01-31,39,1.0,1.0,0.19788168310335966,0.1,0.0,0.4,4,4,False
LargeCap,Method3_ProbQ5,Q1,2010-01-31,34,1.0000000000000002,1.0,0.20194389607108088,0.10000000000000002,0.0,0.4,4,4,False
LargeCap,Method3_ProbQ5,Q2,2010-01-31,24,1.0,1.0,0.37087157550111605,0.10000000000000002,0.0,0.4,4,3,False
LargeCap,Method3_ProbQ5,Q3,2010-01-31,23,1.0,0.9999999999999999,0.1952031156021168,0.1,0.0,0.4,4,4,False
LargeCap,Method3_ProbQ5,Q4,2010-01-31,32,1.0,1.0,0.3262441942496527,0.1,0.0,0.37376672094768804,4,1,False
LargeCap,Method3_ProbQ5,Q5,2010-01-31,39,1.0,1.0,0.197318639859755,0.1,0.0,0.4,4,4,False
LargeCap,Method1_Raw,Q1,2010-02-28,19,0.9999999999999998,1.0,0.5293200063058988,0.10000000000000002,0.0,0.4,4,2,False
LargeCap,Method1_Raw,Q2,2010-02-28,28,1.0,1.0,0.20543834310391637,0.1,0.0,0.4,4,5,False
LargeCap,Method1_Raw,Q3,2010-02-28,31,1.0000000000000002,0.9999999999999999,0.20202405268395485,0.1,0.0,0.4,4,4,False
LargeCap,Method1_Raw,Q4,2010-02-28,37,0.9999999999999999,1.0,0.2602918029358046,0.1,0.0,0.4000000000000001,5,2,False
LargeCap,Method1_Raw,Q5,2010-02-28,37,0.9999999999999999,1.0,0.19431608382516063,0.1,0.0,0.4,4,4,False
LargeCap,Method2_PostMean,Q1,2010-02-28,20,0.9999999999999999,1.0,0.3827925619244347,0.10000000000000002,0.0,0.4,4,4,False
LargeCap,Method2_PostMean,Q2,2010-02-28,25,1.0,0.9999999999999999,0.18125923411260986,0.1,0.0,0.4,4,3,False
LargeCap,Method2_PostMean,Q3,2010-02-28,33,1.0,1.0,0.22271846834884712,0.1,0.0,0.4,4,3,False
LargeCap,Method2_PostMean,Q4,2010-02-28,35,1.0,1.0,0.20419802358397118,0.1,0.0,0.4,5,2,False
LargeCap,Method2_PostMean,Q5,2010-02-28,39,1.0000000000000002,1.0,0.17842158586464182,0.1,0.0,0.4,4,4,False
LargeCap,Method3_ProbQ5,Q1,2010-02-28,34,0.9999999999999999,1.0,0.20099746307196628,0.10000000000000002,0.0,0.4,4,4,False
LargeCap,Method3_ProbQ5,Q2,2010-02-28,24,0.9999999999999999,1.0,0.41381200614914626,0.10000000000000002,0.0,0.4,4,3,False
LargeCap,Method3_ProbQ5,Q3,2010-02-28,23,1.0,1.0,0.1826994378104781,0.1,0.0,0.4,4,4,False
LargeCap,Method3_ProbQ5,Q4,2010-02-28,32,1.0,1.0,0.3103022633709799,0.1,0.0,0.36997018063723186,4,1,False
LargeCap,Method3_ProbQ5,Q5,2010-02-28,39,1.0,1.0,0.17794027450398445,0.1,0.0,0.4,4,4,False
