SizeGroup,PortfolioStrategy,FactorModel,Comparison,alpha_difference_annualized,alpha_difference_monthly,t_stat,p_value
SmallCap,Q5,CAPM,Method2_PostMean minus Method1_Raw,-0.008249127325988849,-0.0006874272771657374,-0.1404519375107514,0.8883773424843853
SmallCap,Q5,CAPM,Method3_ProbQ5 minus Method1_Raw,-0.0011012319213123609,-9.176932677603007e-05,-0.017285966195954284,0.9862175534644997
SmallCap,Q5,FF3,Method2_PostMean minus Method1_Raw,-0.008562364002940276,-0.0007135303335783563,-0.21522848182060667,0.8297058801070964
SmallCap,Q5,FF3,Method3_ProbQ5 minus Method1_Raw,-0.0014389589242861794,-0.00011991324369051495,-0.03268266236562086,0.9739449918207177
SmallCap,Q5,FF3+MOM,Method2_PostMean minus Method1_Raw,-0.006294258783323632,-0.0005245215652769693,-0.17803722945832937,0.8587901296051923
SmallCap,Q5,FF3+MOM,Method3_ProbQ5 minus Method1_Raw,-0.001803810546346575,-0.00015031754552888126,-0.04896442169207818,0.9609737867011052
SmallCap,Q5,FF5,Method2_PostMean minus Method1_Raw,-0.006984264187809827,-0.0005820220156508189,-0.19249666089920145,0.847458225796889
SmallCap,Q5,FF5,Method3_ProbQ5 minus Method1_Raw,-0.0009695377857251719,-8.079481547709766e-05,-0.024585161281874227,0.9803990377162852
SmallCap,Q5,FF5+MOM,Method2_PostMean minus Method1_Raw,-0.005286212286810629,-0.00044051769056755244,-0.16946518327818347,0.8655233683287906
SmallCap,Q5,FF5+MOM,Method3_ProbQ5 minus Method1_Raw,-0.0012849297659654202,-0.00010707748049711835,-0.040167742067358556,0.9679810599393632
LargeCap,Q5,CAPM,Method2_PostMean minus Method1_Raw,-0.008589299178224551,-0.0007157749315187126,-0.3683318387389852,0.7128309156890409
LargeCap,Q5,CAPM,Method3_ProbQ5 minus Method1_Raw,-0.0027782231305648053,-0.00023151859421373377,-0.1151118672143827,0.9084172548646516
LargeCap,Q5,FF3,Method2_PostMean minus Method1_Raw,-0.008363687469267224,-0.0006969739557722687,-0.4082936761795536,0.6832904943236975
LargeCap,Q5,FF3,Method3_ProbQ5 minus Method1_Raw,-0.002645905189865967,-0.00022049209915549726,-0.12515706355658576,0.900466096467051
LargeCap,Q5,FF3+MOM,Method2_PostMean minus Method1_Raw,-0.0050730980145992435,-0.0004227581678832703,-0.21212498937700033,0.8321250809715999
LargeCap,Q5,FF3+MOM,Method3_ProbQ5 minus Method1_Raw,-0.0006759544630852224,-5.63295385904352e-05,-0.027328793196885907,0.9782120680219899
LargeCap,Q5,FF5,Method2_PostMean minus Method1_Raw,-0.008622930290801169,-0.0007185775242334307,-0.39922174801711774,0.6899589072655821
LargeCap,Q5,FF5,Method3_ProbQ5 minus Method1_Raw,-0.0027939431194862613,-0.00023282859329052177,-0.12469053548805506,0.9008359019347361
LargeCap,Q5,FF5+MOM,Method2_PostMean minus Method1_Raw,-0.0057432217690217835,-0.0004786018140851486,-0.24712051067263233,0.8049520222561624
LargeCap,Q5,FF5+MOM,Method3_ProbQ5 minus Method1_Raw,-0.0012929070658722966,-0.00010774225548935805,-0.05344886495521608,0.957403118373239
