SizeGroup,PortfolioStrategy,FactorModel,Method1_Raw_alpha_annualized,Method2_PostMean_alpha_annualized,Method3_ProbQ5_alpha_annualized,Method1_Raw_p_value,Method2_PostMean_p_value,Method3_ProbQ5_p_value,Method1_Raw_t_stat,Method2_PostMean_t_stat,Method3_ProbQ5_t_stat,Method2_PostMean_minus_Method1_Raw_alpha_difference_annualized,Method3_ProbQ5_minus_Method1_Raw_alpha_difference_annualized,Method2_PostMean_minus_Method1_Raw_p_value,Method3_ProbQ5_minus_Method1_Raw_p_value,Method2_PostMean_minus_Method1_Raw_t_stat,Method3_ProbQ5_minus_Method1_Raw_t_stat
LargeCap,LongShort,CAPM,0.08252751335657074,0.04946711593100916,0.035447998472333424,0.07559022093733248,0.2802670495225139,0.11501394340207138,1.786639214565843,1.0828054172130812,1.583309869195357,-0.03306039742556159,-0.04707951488423735,0.6108060263773907,0.3605084772831133,-0.5093450553770713,-0.9155024991741687
LargeCap,LongShort,FF3,0.07311183102817313,0.040228558493690544,0.028975967569317057,0.06968550740554313,0.3082891601054958,0.10977740423759941,1.8243575908054528,1.0215870702452043,1.6067958594360885,-0.032883272534474886,-0.044135863458850885,0.557840264198441,0.31580595089480745,-0.5865763438822346,-1.0044536878360226
LargeCap,LongShort,FF3+MOM,0.027360026619608818,0.007259014239691752,0.0049449097289804966,0.518922560527352,0.8619097074954327,0.8298179464285127,0.6462302167719765,0.17418346201861987,0.215235923975668,-0.02010101237993821,-0.0224151168906402,0.7346767511730143,0.6413754276751584,-0.33916372446147397,-0.4661557106333408
LargeCap,LongShort,FF5,0.059615810710934844,0.027520241535158425,0.017917833148317207,0.11160394389972406,0.4262019453448469,0.3671727434984975,1.5986130658414346,0.797457989973525,0.9039848794411097,-0.03209556917577022,-0.04169797756261702,0.5252261268690575,0.3219208388936383,-0.6359099675765865,-0.9918388530885857
LargeCap,LongShort,FF5+MOM,0.030853389089698306,0.012058984922116971,0.0022349626632467523,0.4283844171389155,0.7493485406275986,0.9231073164197932,0.7937043556608864,0.3199747660311185,0.09665208492750196,-0.018794404167578244,-0.028618426426428336,0.7265919392014504,0.5247772028930959,-0.34992785880406363,-0.6366028516635696
LargeCap,Q5,CAPM,0.0462406214401142,0.03765132226188965,0.043462398309549434,0.00866206819710702,0.016008571230560875,0.009981124817247888,2.6526357772381965,2.430462698791444,2.6026238526981036,-0.008589299178224551,-0.0027782231305648053,0.7128309156890409,0.9084172548646516,-0.3683318387389852,-0.1151118672143827
LargeCap,Q5,FF3,0.04197553183214,0.03361184436288895,0.039329626642289936,0.0060303698695454155,0.01648745675866725,0.008752048813981617,2.7776488125111563,2.4196520987890797,2.649308031702084,-0.008363687469267224,-0.002645905189865967,0.6832904943236975,0.900466096467051,-0.4082936761795536,-0.12515706355658576
LargeCap,Q5,FF3+MOM,0.025634114246078296,0.0205610162314688,0.024958159782983706,0.14992681362160942,0.20449184522455943,0.1518193767300311,1.4457298923347093,1.2733008703235222,1.4390100682392297,-0.0050730980145992435,-0.0006759544630852224,0.8321250809715999,0.9782120680219899,-0.21212498937700033,-0.027328793196885907
LargeCap,Q5,FF5,0.03658373579480838,0.027960805504029265,0.03378979267534349,0.022674956157834103,0.05786143903774188,0.03398330988631226,2.2979896504970907,1.9085393022431225,2.1360439699561273,-0.008622930290801169,-0.0027939431194862613,0.6899589072655821,0.9008359019347361,-0.39922174801711774,-0.12469053548805506
LargeCap,Q5,FF5+MOM,0.02172190340508804,0.015978681636064463,0.020428996339214765,0.21187855432575042,0.3058620296661121,0.22965160375257088,1.252748196854497,1.026785713513484,1.2052359697942565,-0.0057432217690217835,-0.0012929070658722966,0.8049520222561624,0.957403118373239,-0.24712051067263233,-0.05344886495521608
SmallCap,LongShort,CAPM,0.20069846132547384,0.19682103294975162,0.1663134676544541,7.752678654604495e-07,1.5877273917830337e-07,0.00012308421758788768,5.111679611899041,5.4450574600587025,3.9209409997968927,-0.0038774283757220807,-0.03438499367101971,0.9426373921629363,0.5549812219193555,-0.07200301180082065,-0.590836495265706
SmallCap,LongShort,FF3,0.19640946293606315,0.19351855235391663,0.15817745134411565,2.43579976633157e-07,2.3431555584707553e-08,1.5168981978952445e-05,5.358610108945728,5.8326488625913155,4.442310965741758,-0.0028909105821441307,-0.038232011591947515,0.9538517283372483,0.45788804359415036,-0.057909186123016085,-0.7430952519317223
SmallCap,LongShort,FF3+MOM,0.15446217109983695,0.1533680629368615,0.10004345993017175,0.00018616670249027578,5.696246099895497e-05,0.0034509794145840544,3.8132106029122363,4.119530567886484,2.962211058809986,-0.001094108162987325,-0.054418711169679515,0.9842486669588504,0.3049674007291532,-0.019755857338094315,-1.027248444664119
SmallCap,LongShort,FF5,0.18044305485451945,0.18042117990830348,0.15031715854382516,2.680433652813008e-11,1.7109180738827945e-10,6.291329163854442e-06,7.0917464422850784,6.761637599812326,4.649584230684523,-2.1874946214152022e-05,-0.030125896310700596,0.9995297070943245,0.4659735180795095,-0.0005898210330913708,-0.729797082486473
SmallCap,LongShort,FF5+MOM,0.15998430589292506,0.16007656011367807,0.10544610898999249,3.2563529495099885e-07,1.1169401892274777e-07,0.00031364316665327685,5.301062330241081,5.523019215524592,3.6730505605974906,9.225422075427592e-05,-0.05453819690293246,0.9982495919855054,0.1925901125114189,0.0021952956825975647,-1.3053344420371626
SmallCap,Q5,CAPM,0.03540148759307338,0.02715236026708448,0.03430025567176098,0.43694377702537635,0.4690432220120573,0.44509818762891795,0.7790086579526252,0.7254914394630847,0.765206238293719,-0.008249127325988849,-0.0011012319213123609,0.8883773424843853,0.9862175534644997,-0.1404519375107514,-0.017285966195954284
SmallCap,Q5,FF3,0.034268100641794336,0.025705736638875126,0.03282914171752968,0.2748954381032678,0.29910936189223736,0.2914953816802277,1.0950504690095129,1.0412226894650987,1.057818770714323,-0.008562364002940276,-0.0014389589242861794,0.8297058801070964,0.9739449918207177,-0.21522848182060667,-0.03268266236562086
SmallCap,Q5,FF3+MOM,0.010894475678891855,0.0046002168955507385,0.009090665132527426,0.6750297982596005,0.8478261922271981,0.7272010002566756,0.4199147418233537,0.19215897325593415,0.34937488597813243,-0.006294258783323632,-0.001803810546346575,0.8587901296051923,0.9609737867011052,-0.17803722945832937,-0.04896442169207818
SmallCap,Q5,FF5,0.02912445880937023,0.02214019462158901,0.028154921023674923,0.3028176409837977,0.3352150867123289,0.30867760336568906,1.0332732663574122,0.9661671581074253,1.020794665532618,-0.006984264187809827,-0.0009695377857251719,0.847458225796889,0.9803990377162852,-0.19249666089920145,-0.024585161281874227
SmallCap,Q5,FF5+MOM,0.012361247094368324,0.007075034807558382,0.011076317328403435,0.586086304662951,0.7390259985600856,0.6193861448852003,0.545471558362996,0.3336441023194383,0.4975584824536805,-0.005286212286810629,-0.0012849297659654202,0.8655233683287906,0.9679810599393632,-0.16946518327818347,-0.040167742067358556
