FormationYear,n_firms,mu_t,var_obs_t,avg_obs_var_i,tau2_t,q5_cutoff_obs,median_sigma_raw,sigma_input_col
2010,312,0.1365857907649631,0.15688495562685034,0.04302500672142453,0.1138599489054258,0.35323361760037514,0.06715668161649646,sigma_mean
2011,323,0.14586277012072102,0.1786386064194745,0.045898005466523464,0.13274060095295104,0.35716747595486653,0.0660792023072957,sigma_mean
2012,337,0.11517524930185752,0.21695534882889506,0.06650584051380454,0.15044950831509052,0.34448740537157024,0.0603395625480962,sigma_mean
2013,351,0.08670339824944012,0.1802437586100773,0.05325858166445807,0.12698517694561923,0.3151515473841522,0.0562337799999866,sigma_mean
2014,364,0.06812903748961556,0.1807433711455188,0.052485300024178075,0.12825807112134074,0.26440349072882224,0.05505125139453,sigma_mean
2015,376,0.11040629876180992,0.14898214174695162,0.04422384169876219,0.10475830004818944,0.3019779578132983,0.05014445898052655,sigma_mean
2016,399,0.06712141524348349,0.2666852107217825,0.08043388623729515,0.18625132448448734,0.2780031321456135,0.0458729358326986,sigma_mean
2017,429,0.10498021873657744,0.22398084643716012,0.06152997685063165,0.1624508695865285,0.3130359421260289,0.0445739596439656,sigma_mean
2018,443,0.06079999171253266,0.21759440082059317,0.06323554053903108,0.1543588602815621,0.28563519609879623,0.0421625142040728,sigma_mean
2019,478,0.05442071676120315,0.34367897499928163,0.10724060389047865,0.23643837110880297,0.29578314218814633,0.04177943481988705,sigma_mean
2020,502,0.07111338613762333,0.3780642654840056,0.1221225165447779,0.2559417489392277,0.2954029770740033,0.0396692286307753,sigma_mean
2021,525,0.07415450624769179,0.15248039779063088,0.045976921029832085,0.1065034767607988,0.2682947168919225,0.0410791376362731,sigma_mean
2022,540,0.08558633978515078,0.200745745728867,0.06016787257808829,0.14057787315077871,0.296563298130274,0.0398625588169903,sigma_mean
2023,568,0.11090140556047984,0.12217113358232833,0.03688944619861962,0.0852816873837087,0.2879705852072393,0.03914628458919945,sigma_mean
2024,587,0.126344225668079,0.2329307403423558,0.0719182588018781,0.1610124815404777,0.28715185916643654,0.0392540766356702,sigma_mean
2025,612,0.11890869827660822,0.1867256943074956,0.061509601542170195,0.12521609276532542,0.2627484274705752,0.0383368010194673,sigma_mean
