SizeGroup,PortfolioStrategy,FactorModel,Method1_Raw_alpha_annualized,Method2_PostMean_alpha_annualized,Method3_ProbQ5_alpha_annualized,Method1_Raw_p_value,Method2_PostMean_p_value,Method3_ProbQ5_p_value,Method1_Raw_t_stat,Method2_PostMean_t_stat,Method3_ProbQ5_t_stat,Method2_PostMean_minus_Method1_Raw_alpha_difference_annualized,Method3_ProbQ5_minus_Method1_Raw_alpha_difference_annualized,Method2_PostMean_minus_Method1_Raw_p_value,Method3_ProbQ5_minus_Method1_Raw_p_value,Method2_PostMean_minus_Method1_Raw_t_stat,Method3_ProbQ5_minus_Method1_Raw_t_stat
LargeCap,LongShort,CAPM,0.02800780666786462,0.004435943973608853,0.013638321461392787,0.4558814728756244,0.9051137337444393,0.6207937478020802,0.7471751845231429,0.11936319148821686,0.49553702068794964,-0.02357186269425577,-0.01436948520647177,0.6537467737017857,0.757500563953174,-0.44891790953613403,-0.30898724869374516
LargeCap,LongShort,FF3,0.0232834522949688,-0.00014137034129312065,0.007381842861867001,0.48728626902750904,0.9966112274249095,0.7434174517935901,0.6960033431296494,-0.004252861062808833,0.32781350524387004,-0.02342482263625757,-0.015901609433098693,0.6176056490089197,0.6933116965960129,-0.4996615796253012,-0.39466799581329143
LargeCap,LongShort,FF3+MOM,-0.02799492782402232,-0.045392845068660745,-0.029151110784132912,0.4832641117307801,0.23262852271432943,0.28537817921931374,-0.7024627563105009,-1.1974972378866677,-1.0713827060278973,-0.017397917244653435,-0.001156182960123233,0.7510148137765571,0.980813469945963,-0.31753509781083894,-0.024065157570625082
LargeCap,LongShort,FF5,-0.00334639167315213,-0.026210454875339358,-0.011080722022705004,0.9238870908157628,0.42515122738199196,0.6732573168321077,-0.09566820010068969,-0.7992736859676232,-0.4223500824932972,-0.022864063202183833,-0.00773433034955324,0.6276981144544969,0.8579211675969285,-0.48537214359232517,-0.17914526999380603
LargeCap,LongShort,FF5+MOM,-0.033000160561086615,-0.049809530273678924,-0.03373177466946478,0.3998311614535066,0.15954483096224847,0.24058249785362995,-0.8438713293251066,-1.4122889831903647,-1.1773142966869372,-0.016809369712590762,-0.0007316141083693536,0.746968664393953,0.9878330744939816,-0.3228797943715513,-0.015259880403906826
LargeCap,Q5,CAPM,0.037004276469158645,0.031809472226520606,0.036384570975134,0.09723669599676299,0.11574633268511958,0.09434514045901565,1.6666245746016706,1.5801041428075835,1.6813130087060784,-0.005194804242638074,-0.0006197054940246249,0.8626287111861948,0.98407817457997,-0.17314618642336455,-0.019969512174326232
LargeCap,Q5,FF3,0.0310189539512897,0.026255524032947543,0.030577924183282604,0.09517973546823733,0.11831965837503944,0.09722611568521655,1.6771258729382283,1.5690422449829518,1.666765612942758,-0.004763429918357959,-0.00044102976802253,0.8487657438952985,0.9865103857569333,-0.1908249359604829,-0.01691877839991341
LargeCap,Q5,FF3+MOM,0.005085010627062745,0.00301775343345256,0.006885701523122366,0.8098005937722679,0.8722198298828547,0.7389499737669332,0.24102397645924087,0.16106023090357033,0.33373964397743583,-0.0020672571936033585,0.0018006908960656806,0.9415094301962021,0.951273208846867,-0.07342216645309035,0.061149000352349235
LargeCap,Q5,FF5,0.023485141336307552,0.018922126755191095,0.023000004568275605,0.2492136984447222,0.3080643217867385,0.2570847575919435,1.1558778386652522,1.0220931753842102,1.1367990158366874,-0.004563014581138572,-0.0004851367680531876,0.8681943901191682,0.9865038277948981,-0.16606706673373575,-0.016927125286585184
LargeCap,Q5,FF5+MOM,0.0012769704390478143,-0.0008409681652640854,0.002640993138541889,0.9532709228606489,0.9652484563631778,0.9008509747200577,0.05867924850414682,-0.043627408485339254,0.12475752228304804,-0.0021179386043098172,0.001364022699495239,0.9418796522593551,0.9641399980258651,-0.072957133078136,0.044989438298043694
