Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,MarketCap
2016,WSTEP.OL,Webstep ASA,Software & IT Services,Information Technology,562.52,33.84,455.96,0.0,9.32,196.92,0.0,0.3219581555961811,
2017,WSTEP.OL,Webstep ASA,Software & IT Services,Information Technology,596.52,49.33,490.11,0.0,12.26,357.74,0.0,0.1252865209369931,701.14
2018,WSTEP.OL,Webstep ASA,Software & IT Services,Information Technology,663.15,70.64,513.72,0.0,2.45,376.57,0.0,0.202724593037151,674.18
2019,WSTEP.OL,Webstep ASA,Software & IT Services,Information Technology,660.51,84.2,515.91,0.0,2.74,371.64,0.0,0.155150145301905,652.6
2020,WSTEP.OL,Webstep ASA,Software & IT Services,Information Technology,689.99,78.92,547.15,0.0,3.16,380.18,0.0,0.1598190330895893,598.67
2021,WSTEP.OL,Webstep ASA,Software & IT Services,Information Technology,775.02,70.2,623.63,0.0,3.63,393.69,0.0,0.1970077980136654,918.03
2022,WSTEP.OL,Webstep ASA,Software & IT Services,Information Technology,888.44,74.71,737.5,0.0,5.39,393.4,0.0,0.1800711743772242,685.19
2023,WSTEP.OL,Webstep ASA,Software & IT Services,Information Technology,861.61,69.69,732.11,0.0,5.98,359.18,0.0,0.1498691463889973,594.93
2024,WSTEP.OL,Webstep ASA,Software & IT Services,Information Technology,874.13,61.44,727.62,0.0,7.51,351.61,0.0,0.2205853075851086,620.13
