Ticker,FormationYear,theta_obs,theta_post_mean,p_q5,sigma_acc,MarketCap,Method,SignalUsed,PortfolioNum,Portfolio
AAB.CO,2011,-0.0555555555555564,-0.0026426252648383,0.238619846719003,0.1128847881618447,29.17,Method1_Raw,theta_obs,1,Q1
ABB.ST,2011,-1.162507842243507,-0.9702449520190484,0.0001055090996308,0.0725290863531178,292039.63,Method1_Raw,theta_obs,1,Q1
ACTI.ST,2011,-0.1272035510462903,-0.1099582609586209,0.0276947791315332,0.0471861472618846,9676.68,Method1_Raw,theta_obs,1,Q1
AFAGR.HE,2011,-0.1557839723147298,-0.0300827813190538,0.2672451282003065,0.1574421227650834,3286.09,Method1_Raw,theta_obs,1,Q1
AGFEb.CO,2011,-0.7980803412726628,-0.3783079974783919,0.1198303209607709,0.1584014766552079,147.16,Method1_Raw,theta_obs,1,Q1
AKRBP.OL,2011,-0.6429432593816156,-0.4393594994445246,0.0477379304560527,0.1041340235922475,3000.0,Method1_Raw,theta_obs,1,Q1
AKVA.OL,2011,-0.1343821409738091,-0.1192334250911066,0.0172337223606252,0.0433641556382935,277.29,Method1_Raw,theta_obs,1,Q1
ANOT.ST,2011,-0.1195773735946789,-0.0111031127120626,0.2766197036791256,0.156382370450867,418.37,Method1_Raw,theta_obs,1,Q1
ARRA.OL,2011,-0.1100813468776561,-0.0436783544913424,0.2094229283935547,0.1096172712247843,10.34,Method1_Raw,theta_obs,1,Q1
AZT.OL,2011,-0.9557035321366534,-0.7984229202945675,0.0005440357146658,0.0714646866408547,189.76,Method1_Raw,theta_obs,1,Q1
BAVA.CO,2011,-0.3724617491499811,-0.273927691706079,0.0634789865318063,0.0862834702457509,3319.15,Method1_Raw,theta_obs,1,Q1
BEGR.ST,2011,-6.253847843596691,-5.135111192675887,0.0,0.0797290849245143,1965.24,Method1_Raw,theta_obs,1,Q1
BIF.CO,2011,-0.0278823037524825,-0.0029571260516755,0.1705553957389263,0.0773791018008976,134.43,Method1_Raw,theta_obs,1,Q1
BIOPOR.CO,2011,-1.4017341040462432,-0.8060921053929694,0.0222466804609339,0.1384980037924081,345.68,Method1_Raw,theta_obs,1,Q1
BITTI.HE,2011,-0.0335822254598439,0.0300858769005751,0.2907418525604561,0.1443264883778594,640.71,Method1_Raw,theta_obs,1,Q1
BNOR.OL,2011,-0.1915392695231927,-0.1436616946741327,0.08331526516241,0.0734533625356895,3513.17,Method1_Raw,theta_obs,1,Q1
BOR.OL,2011,-0.0872905621863748,-0.0330223549324192,0.2042560783320497,0.1024589533849439,390.79,Method1_Raw,theta_obs,1,Q1
CARLb.CO,2011,-0.2825139891879057,-0.2625447992118563,0.001303406271904,0.0394147915271501,89526.99,Method1_Raw,theta_obs,1,Q1
CRADb.ST,2011,-0.2124550898203593,-0.053539539309406,0.2601016286003856,0.1647281315289308,185.08,Method1_Raw,theta_obs,1,Q1
DANT.CO,2011,-0.0709465020576131,-0.0621129604173086,0.0172850165889157,0.0379193882146504,27.21,Method1_Raw,theta_obs,1,Q1
ELEAV.HE,2011,-0.174619589304181,-0.1560909567085409,0.0133443956436399,0.0446596730570446,61.38,Method1_Raw,theta_obs,1,Q1
EMGS.OL,2011,-12.940494590417314,-8.452296209512841,0.0,0.1250412370211955,1845.89,Method1_Raw,theta_obs,1,Q1
ENH.OL,2011,-0.3407543317871125,-0.3308305228679642,1.9717835730848066e-07,0.0256018146640022,342.99,Method1_Raw,theta_obs,1,Q1
ENRO.ST,2011,-0.2184690521279775,-0.2161435086828014,3.5305092183079984e-14,0.0143453945263629,2390.37,Method1_Raw,theta_obs,1,Q1
FFARMS.CO,2011,-0.1717188727966768,-0.1474219822522823,0.0291682650413053,0.0519591211598542,295.51,Method1_Raw,theta_obs,1,Q1
GOD.OL,2011,-0.0338124846097019,-0.026958799932527,0.0241608854354812,0.0371483010810279,653.83,Method1_Raw,theta_obs,1,Q1
HHDC.CO,2011,-0.2312729140215978,-0.2199432232533925,0.0002524936952403,0.0314867889566238,543.41,Method1_Raw,theta_obs,1,Q1
ICP1V.HE,2011,-0.9467793513019638,-0.8661413716370444,7.564059898435005e-07,0.0493853139432158,82.93,Method1_Raw,theta_obs,1,Q1
IDEX.OL,2011,-2.2822916666666666,-1.0328978546046108,0.0186358974956033,0.1798024758904573,386.88,Method1_Raw,theta_obs,1,Q1
IOX.OL,2011,-0.2582783804864213,-0.1838021379978307,0.0935167196845421,0.0853752071548927,685.43,Method1_Raw,theta_obs,1,Q1
KOA.OL,2011,-0.0694539437396583,-0.0394208256982947,0.1400930648428721,0.0746895900750881,1972.82,Method1_Raw,theta_obs,1,Q1
METSB.HE,2011,-0.0761203334168802,-0.0402972363337794,0.1566954431045646,0.081350665552721,6107.73,Method1_Raw,theta_obs,1,Q1
MGN.OL,2011,-0.1487561533985448,-0.1228652822824461,0.0469703439133619,0.0562682124768864,1947.58,Method1_Raw,theta_obs,1,Q1
NAVA.OL,2011,-0.1577686857599042,-0.1054180332570292,0.124271653224663,0.0830318000565986,44.35,Method1_Raw,theta_obs,1,Q1
NEL.OL,2011,-0.3216517857142857,-0.2674503875365857,0.0268619809951452,0.0645248822719186,241.8,Method1_Raw,theta_obs,1,Q1
NEOBO.ST,2011,-0.8751674000382628,-0.50033558454835,0.0654736812529449,0.1341911616321175,57.24,Method1_Raw,theta_obs,1,Q1
NKR.OL,2011,-0.273790689272856,-0.2114650206459851,0.0609667371178554,0.0747850424595058,163.56,Method1_Raw,theta_obs,1,Q1
NOM.OL,2011,-0.4988143996550981,-0.307881327589407,0.0976983969073483,0.1152608041027358,179.42,Method1_Raw,theta_obs,1,Q1
NORTHM.CO,2011,-0.2106122288433927,-0.1596597779291364,0.0770645129983157,0.0735870238922267,524.93,Method1_Raw,theta_obs,1,Q1
NOTE.ST,2011,-0.1917255297679114,-0.1435522867719558,0.0839520066786885,0.0736950313957513,207.93,Method1_Raw,theta_obs,1,Q1
NRC.OL,2011,-4.317819395512702,-3.574127998297917,0.0,0.0775282828542973,73.95,Method1_Raw,theta_obs,1,Q1
NTGNT.CO,2011,-0.1844615340192691,-0.0469581467624285,0.2575016936975542,0.1561957748923224,2437.99,Method1_Raw,theta_obs,1,Q1
ODF.OL,2011,-0.0961546222104643,-0.0912808966992527,0.0006052250672563,0.0261631428894062,4685.52,Method1_Raw,theta_obs,1,Q1
OUT1V.HE,2011,-0.0444110992308864,-0.0248221099021611,0.1149832826762364,0.0632606317071359,19779.07,Method1_Raw,theta_obs,1,Q1
PARKSTa.CO,2011,-0.0538021501134231,-0.0514389675678548,7.226066153842581e-05,0.0202095528766405,138.28,Method1_Raw,theta_obs,1,Q1
PREC.ST,2011,-0.0295094061232017,-0.0003036183077016,0.1900502126829596,0.0846688113645157,281.04,Method1_Raw,theta_obs,1,Q1
PSE.OL,2011,-0.2800079347904494,-0.2030344620193575,0.0835023637613797,0.0841826866768181,104.3,Method1_Raw,theta_obs,1,Q1
REACH.OL,2011,-1.0483792936623124,-1.0295408903680072,0.0,0.0221105977669388,175.78,Method1_Raw,theta_obs,1,Q1
RECSI.OL,2011,-0.0549862308699381,-0.0066974945478642,0.2262735369467946,0.1061185603360091,17739.34,Method1_Raw,theta_obs,1,Q1
REKA.HE,2011,-0.4245141427746774,-0.2289042247185737,0.145115334397599,0.1291479065023923,255.31,Method1_Raw,theta_obs,1,Q1
SAFETYb.ST,2011,-0.4015645371577573,-0.1099798027418699,0.2495841212308225,0.1940177387708939,10.17,Method1_Raw,theta_obs,1,Q1
SCANA.OL,2011,-0.1303390757451461,-0.1065826765627089,0.0514788046006761,0.055790655886822,1157.01,Method1_Raw,theta_obs,1,Q1
SIGR.CO,2011,-0.0485553117007961,0.048487806259676,0.329516384408098,0.1994113271972893,512.76,Method1_Raw,theta_obs,1,Q1
SKAKO.CO,2011,-0.1587848101265823,-0.0562788290709534,0.2301475510177488,0.131275867059298,40.47,Method1_Raw,theta_obs,1,Q1
SOSI1.HE,2011,-0.2136866823213687,-0.1307352364966431,0.144739548518316,0.0991323143452754,140.97,Method1_Raw,theta_obs,1,Q1
SRV1V.HE,2011,-0.1227574750830566,-0.0409283384800926,0.2288033926881861,0.1227121427145808,1898.48,Method1_Raw,theta_obs,1,Q1
STWK.ST,2011,-0.3833380242048974,-0.276630969960203,0.0682425094026545,0.0894851742410686,54.39,Method1_Raw,theta_obs,1,Q1
STZEb.ST,2011,-0.0896122896854424,0.0467667951201306,0.338317132673454,0.2336543306350308,42.12,Method1_Raw,theta_obs,1,Q1
SUY1V.HE,2011,-0.3999922848435749,-0.3690381846489228,0.0006419987386541,0.0434187786664634,181.81,Method1_Raw,theta_obs,1,Q1
TECH.OL,2011,-0.3427579784982647,-0.1640660445539179,0.1820850422054885,0.1367391975734874,81.72,Method1_Raw,theta_obs,1,Q1
TRH1V.HE,2011,-0.0444606946983547,-0.0245912595717712,0.116748117821062,0.0637622183058359,190.69,Method1_Raw,theta_obs,1,Q1
TRMDa.CO,2011,-0.0872340785986117,-0.085078737534665,1.3010229593657383e-06,0.0176581272862359,2835.04,Method1_Raw,theta_obs,1,Q1
TULAV.HE,2011,-0.0665272209633372,-0.0554322790966056,0.0333096426111834,0.0432922351289399,243.83,Method1_Raw,theta_obs,1,Q1
UPM.HE,2011,-0.0400411749491003,-0.0332962454760151,0.0195362213626836,0.0360895134692946,53533.65,Method1_Raw,theta_obs,1,Q1
VIVE.ST,2011,-0.5514616848296143,-0.3374984477789328,0.091643239131904,0.1180110344392584,821.86,Method1_Raw,theta_obs,1,Q1
AGATE.CO,2011,0.0451590520011601,0.0722843759246796,0.3029773641128894,0.128462849257963,894.3,Method1_Raw,theta_obs,2,Q2
ANODb.ST,2011,0.0963704630788486,0.1003099030250438,0.2422513738895602,0.074732543475606,601.77,Method1_Raw,theta_obs,2,Q2
AOJb.CO,2011,0.0865871641982432,0.0946166007424357,0.2774732587621684,0.0946656352184138,271.07,Method1_Raw,theta_obs,2,Q2
APETIT.HE,2011,0.0256528707457339,0.0550713486297682,0.278043838740186,0.1151154683485398,861.0,Method1_Raw,theta_obs,2,Q2
ARCHA.OL,2011,0.0767755139444666,0.078619409772614,0.0694516281722821,0.0358888395251185,8452.5,Method1_Raw,theta_obs,2,Q2
ATEA.OL,2011,0.1064346054760052,0.1074579424242065,0.1513233953141808,0.0468593518341939,5076.28,Method1_Raw,theta_obs,2,Q2
ATRLJb.ST,2011,0.1026195425142085,0.1049013869931393,0.2173072601717027,0.0643154730441079,9698.31,Method1_Raw,theta_obs,2,Q2
BIOBV.HE,2011,0.0383134195714427,0.0656725309298627,0.29161815316823,0.1211168253294968,122.88,Method1_Raw,theta_obs,2,Q2
BOLJ.ST,2011,-0.0025382913177418,0.0058045295226252,0.071762286893552,0.0464332316592967,473.23,Method1_Raw,theta_obs,2,Q2
CATE.ST,2011,0.0093186345403443,0.0699861234214025,0.3366513446794879,0.1877730739562473,1535.2,Method1_Raw,theta_obs,2,Q2
CHEMM.CO,2011,0.0908119658119657,0.1002298549190063,0.3085307625258892,0.1153309327432689,89.16,Method1_Raw,theta_obs,2,Q2
CMBT.OL,2011,-0.0139690963009209,-0.0047337623533804,0.0672481740385281,0.0467681257855689,3976.26,Method1_Raw,theta_obs,2,Q2
COREa.ST,2011,0.0604912543096101,0.1062443068804432,0.3772592162119945,0.3005000164051352,891.12,Method1_Raw,theta_obs,2,Q2
CTY1S.HE,2011,0.0568509730251718,0.0595698182049794,0.0586598659900738,0.0362469518930697,5028.37,Method1_Raw,theta_obs,2,Q2
DIOS.ST,2011,0.0786818792557673,0.0806650379492193,0.0828888761451529,0.0381430491765349,1251.4,Method1_Raw,theta_obs,2,Q2
DNO.OL,2011,0.0702195249158408,0.0769474572888731,0.2019410315078731,0.067251632423481,8615.2,Method1_Raw,theta_obs,2,Q2
DNORD.CO,2011,0.0986823270892814,0.1000472553636263,0.12869579764529,0.0437176720189994,9439.44,Method1_Raw,theta_obs,2,Q2
ELANb.ST,2011,0.0182025348506802,0.0223517482589173,0.0356504775801644,0.0353760534262297,438.16,Method1_Raw,theta_obs,2,Q2
ENSG.CO,2011,0.0857979778890673,0.0912487409866449,0.2315031971565793,0.0735086188029122,31.77,Method1_Raw,theta_obs,2,Q2
GYL.OL,2011,0.0391437514725183,0.0419749116057902,0.0332521450882552,0.0326336325698938,705.67,Method1_Raw,theta_obs,2,Q2
HARBb.CO,2011,0.0484651826854437,0.0520323940442685,0.0680844081832908,0.0391973781414693,633.37,Method1_Raw,theta_obs,2,Q2
HAVI.OL,2011,0.0966117434163531,0.1008086465716306,0.2505650897807627,0.0780655524534567,981.54,Method1_Raw,theta_obs,2,Q2
HEX.OL,2011,0.0809606435838788,0.086351891857476,0.211567193164178,0.0678035015549165,604.36,Method1_Raw,theta_obs,2,Q2
ILKKA2.HE,2011,0.0864467700132035,0.0878383739782247,0.0724704720195825,0.0352032077314111,1694.31,Method1_Raw,theta_obs,2,Q2
INVEST.HE,2011,0.0373758494511239,0.0510416442573489,0.2061445966257921,0.0761780003557913,25.36,Method1_Raw,theta_obs,2,Q2
ITERA.OL,2011,0.0219537542218761,0.0275588422757754,0.066860603183617,0.0422422626752366,250.9,Method1_Raw,theta_obs,2,Q2
JDAN.CO,2011,0.0693867840101977,0.0695238185001211,7.138420965446811e-10,0.0088843483835922,4514.37,Method1_Raw,theta_obs,2,Q2
KIT.OL,2011,-0.0091540253935038,0.0219241150946344,0.2289888418202204,0.0966091581570609,390.89,Method1_Raw,theta_obs,2,Q2
LAMMb.ST,2011,0.0660362637705582,0.0687304472542115,0.0789525999153017,0.0390955197747821,231.32,Method1_Raw,theta_obs,2,Q2
LIAB.ST,2011,0.0512928852614007,0.0574839940727168,0.1380318298594363,0.0537967880114156,6026.71,Method1_Raw,theta_obs,2,Q2
MARAS.HE,2011,0.0960777851021755,0.0978009462075378,0.1415086391394877,0.0467221560465509,214.86,Method1_Raw,theta_obs,2,Q2
MEDIVIR.ST,2011,0.0240847235665888,0.0917658205072973,0.3655210189701635,0.2612777316002265,3387.04,Method1_Raw,theta_obs,2,Q2
METSO.HE,2011,0.0999856810452837,0.1053206870932394,0.2929560067447347,0.0996179476197436,16485.96,Method1_Raw,theta_obs,2,Q2
NAS.OL,2011,0.1001169330140881,0.1062934250580323,0.3075536780282148,0.1105888518275299,4062.37,Method1_Raw,theta_obs,2,Q2
NESTE.HE,2011,0.0961547215150345,0.0996165437246953,0.2263329946954895,0.0689308185889861,23862.1,Method1_Raw,theta_obs,2,Q2
NHY.OL,2011,0.0599724944727817,0.0786186343326256,0.292517539402316,0.1141252535362821,69077.79,Method1_Raw,theta_obs,2,Q2
NKT.CO,2011,-0.0225759991050704,-0.0162111685650462,0.0275448672060789,0.0371708676687154,3503.47,Method1_Raw,theta_obs,2,Q2
NOBI.ST,2011,0.1023877867504464,0.1029453628485601,0.0545052112661211,0.0300582817069916,6548.55,Method1_Raw,theta_obs,2,Q2
NTEKb.ST,2011,0.1088912410690657,0.1146510560702082,0.3498515645103417,0.15992267504877,83.3,Method1_Raw,theta_obs,2,Q2
OKEAC.CO,2011,0.0016744678696875,0.0626900399054396,0.3279584748992833,0.1762171421639848,1963.81,Method1_Raw,theta_obs,2,Q2
