FormationYear,n_firms,mu_t,var_obs_t,q5_cutoff_obs,median_sigma_raw,sigma_input_col,avg_obs_var_i,tau2_t,n_sigma_draws_used,tau2_floor_share
2010,312,0.11508326208917896,0.45087357972713193,0.35323361760037514,0.06309611911687567,sigma_mean,0.13056868882983502,0.32030489089729536,8000,0.0
2011,323,0.12137756737293512,1.0813948848383437,0.35716747595486653,0.06039478455340217,sigma_mean,0.30662052123268496,0.7747743636056617,8000,0.0
2012,337,0.0984680481771584,0.364450488219796,0.34448740537157024,0.058208703691668286,sigma_mean,0.109300041658427,0.255150446561369,8000,0.0
2013,351,0.0708174236571791,0.40741687747756306,0.3151515473841522,0.05394522330058893,sigma_mean,0.12053423137310582,0.2868826461044566,8000,0.0
2014,364,0.051391829542892155,0.6864673554697251,0.26440349072882224,0.05275825067172729,sigma_mean,0.2014205907315469,0.4850467647381783,8000,0.0
2015,376,0.1524870170495157,1.1762923118045194,0.3019779578132983,0.047981794586432924,sigma_mean,0.3506208200243797,0.8256714917801435,8000,0.0
2016,399,0.04008419442116522,1.3687476686128381,0.2780031321456135,0.04427973991044292,sigma_mean,0.41533980653560154,0.9534078620772367,8000,0.0
2017,429,0.12180367571394159,0.564870318317524,0.3130359421260289,0.04135809044575647,sigma_mean,0.17335121012792337,0.3915191081896008,8000,0.0
2018,443,0.050698035802394494,0.3208778625998575,0.28563519609879623,0.03975995764356101,sigma_mean,0.10255546935934591,0.2183223932405123,8000,0.0
2019,478,0.0654837325334686,0.934760479545971,0.29578314218814633,0.039692387961666145,sigma_mean,0.3059343164766491,0.628826163069323,8000,0.0
2020,502,-0.26720923454203876,34.8275755787413,0.2954029770740033,0.03789336701592408,sigma_mean,11.434148374895724,23.39342720384562,8000,0.0
2021,525,0.07684769324426026,0.1928416741520648,0.2682947168919225,0.038130674662237185,sigma_mean,0.06179363075070582,0.13104804340135862,8000,0.0
2022,540,0.06321902969871686,0.4694859897229268,0.296563298130274,0.03724855240504843,sigma_mean,0.1461943205055818,0.32329166921734453,8000,0.0
2023,568,-0.20125305270584765,54.588305359287,0.2879705852072393,0.03691239853775259,sigma_mean,17.01894911930468,37.56935623998234,8000,0.0
2024,587,0.16135429518322722,2.7946747356412605,0.28715185916643654,0.0373891129401643,sigma_mean,0.8739693656641389,1.9207053699771164,8000,0.0
2025,612,0.09128858029349661,0.5669210502768152,0.2627484274705752,0.03642003517374274,sigma_mean,0.19103436395224366,0.3758866863245694,8000,0.0
