Ticker,ExDate,DPS_UNADJUSTED,AdjustmentFactor,DPS_LOCAL,Currency,InstrumentCurrency,AdjustmentBasis,FXRate,FXDate,FXSource,DPS_NOK
20202.OL,2019-11-11,0.055,1.0,0.055,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,9.1396,2019-11-11,ex_date_or_prior_business_day,0.502678
20202.OL,2019-12-06,0.08,1.0,0.08,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,9.1252,2019-12-06,ex_date_or_prior_business_day,0.730016
20202.OL,2020-01-14,0.04,1.0,0.04,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,8.8997,2020-01-14,ex_date_or_prior_business_day,0.35598799999999997
20202.OL,2020-02-13,0.03,1.0,0.03,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,9.2404,2020-02-13,ex_date_or_prior_business_day,0.27721199999999996
20202.OL,2020-08-17,0.01,1.0,0.01,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,8.8686,2020-08-17,ex_date_or_prior_business_day,0.08868600000000001
20202.OL,2020-09-11,0.03,1.0,0.03,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,9.0289,2020-09-11,ex_date_or_prior_business_day,0.27086699999999997
20202.OL,2020-10-12,0.06,0.990954,0.0594572399999999,USD,NOK,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,9.147,2020-10-12,ex_date_or_prior_business_day,0.5438553742799991
20202.OL,2020-11-16,0.07,1.0,0.07,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,9.071,2020-11-16,ex_date_or_prior_business_day,0.63497
20202.OL,2020-12-17,0.04,1.0,0.04,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,8.5755,2020-12-17,ex_date_or_prior_business_day,0.34302
20202.OL,2021-01-21,0.06,1.0,0.06,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,8.4317,2021-01-21,ex_date_or_prior_business_day,0.505902
20202.OL,2021-02-19,0.13,1.0,0.13,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,8.4105,2021-02-19,ex_date_or_prior_business_day,1.0933650000000001
20202.OL,2021-03-23,0.03,1.0,0.03,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,8.5654,2021-03-23,ex_date_or_prior_business_day,0.256962
20202.OL,2021-04-21,0.1,1.0,0.1,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,8.3637,2021-04-21,ex_date_or_prior_business_day,0.8363700000000001
20202.OL,2021-05-20,0.21,1.0,0.21,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,8.3402,2021-05-20,ex_date_or_prior_business_day,1.7514419999999997
20202.OL,2021-06-17,0.3,1.0,0.3,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,8.5426,2021-06-17,ex_date_or_prior_business_day,2.56278
20202.OL,2021-07-19,0.24,1.0,0.24,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,8.9563,2021-07-19,ex_date_or_prior_business_day,2.149512
20202.OL,2021-08-20,0.26,1.0,0.26,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,9.0823,2021-08-20,ex_date_or_prior_business_day,2.361398
20202.OL,2021-09-17,0.32,1.0,0.32,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,8.5915,2021-09-17,ex_date_or_prior_business_day,2.74928
20202.OL,2021-10-19,0.39,1.0,0.39,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,8.3518,2021-10-19,ex_date_or_prior_business_day,3.2572020000000004
20202.OL,2021-11-19,0.49,1.0,0.49,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,8.9152,2021-11-19,ex_date_or_prior_business_day,4.368448
20202.OL,2021-12-16,0.35,1.0,0.35,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,8.9501,2021-12-16,ex_date_or_prior_business_day,3.1325350000000003
20202.OL,2022-01-20,0.36,1.0,0.36,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,8.7827,2022-01-20,ex_date_or_prior_business_day,3.161772
20202.OL,2022-02-17,0.06,1.0,0.06,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,8.9028,2022-02-17,ex_date_or_prior_business_day,0.534168
20202.OL,2022-03-18,0.08,1.0,0.08,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,8.8063,2022-03-18,ex_date_or_prior_business_day,0.704504
20202.OL,2022-04-20,0.12,1.0,0.12,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,8.8128,2022-04-20,ex_date_or_prior_business_day,1.0575359999999998
20202.OL,2022-05-19,0.08,1.0,0.08,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,9.7959,2022-05-19,ex_date_or_prior_business_day,0.783672
20202.OL,2022-06-21,0.26,1.0,0.26,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,9.7899,2022-06-21,ex_date_or_prior_business_day,2.545374
20202.OL,2022-07-21,0.18,1.0,0.18,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,9.9765,2022-07-21,ex_date_or_prior_business_day,1.7957699999999999
20202.OL,2022-08-19,0.18,1.0,0.18,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,9.7889,2022-08-19,ex_date_or_prior_business_day,1.7620019999999998
20202.OL,2022-09-20,0.06,1.0,0.06,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.2874,2022-09-20,ex_date_or_prior_business_day,0.617244
20202.OL,2022-10-20,0.06,1.0,0.06,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.6024,2022-10-20,ex_date_or_prior_business_day,0.6361439999999999
20202.OL,2022-11-21,0.1,1.0,0.1,USD,NOK,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,10.2379,2022-11-21,ex_date_or_prior_business_day,1.02379
20202.OL,2022-12-20,0.08,1.0,0.08,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,9.9158,2022-12-20,ex_date_or_prior_business_day,0.7932640000000001
20202.OL,2023-01-20,0.09,1.0,0.09,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,9.8961,2023-01-20,ex_date_or_prior_business_day,0.890649
20202.OL,2023-02-20,0.01,1.0,0.01,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.2757,2023-02-20,ex_date_or_prior_business_day,0.102757
20202.OL,2023-03-21,0.01,1.0,0.01,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.4979,2023-03-21,ex_date_or_prior_business_day,0.104979
20202.OL,2023-04-20,0.02,1.0,0.02,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.6031,2023-04-20,ex_date_or_prior_business_day,0.212062
20202.OL,2023-05-23,0.07,1.0,0.07,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.9398,2023-05-23,ex_date_or_prior_business_day,0.7657860000000001
20202.OL,2023-06-22,0.08,1.0,0.08,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.5589,2023-06-22,ex_date_or_prior_business_day,0.844712
20202.OL,2023-07-21,0.04,1.0,0.04,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.049,2023-07-21,ex_date_or_prior_business_day,0.40196
20202.OL,2023-08-22,0.04,1.0,0.04,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.581,2023-08-22,ex_date_or_prior_business_day,0.42324
20202.OL,2023-09-20,0.03,1.0,0.03,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.7288,2023-09-20,ex_date_or_prior_business_day,0.321864
20202.OL,2023-10-24,0.05,1.0,0.05,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,11.1226,2023-10-24,ex_date_or_prior_business_day,0.55613
20202.OL,2023-11-21,0.2,1.0,0.2,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.6527,2023-11-21,ex_date_or_prior_business_day,2.13054
20202.OL,2023-12-21,0.18,1.0,0.18,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.3023,2023-12-21,ex_date_or_prior_business_day,1.854414
