Ticker,ExDate,DPS_UNADJUSTED,AdjustmentFactor,DPS_LOCAL,Currency,InstrumentCurrency,AdjustmentBasis,FXRate,FXDate,FXSource,DPS_NOK
20202.OL,2024-01-23,0.21,1.0,0.21,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.5131,2024-01-23,ex_date_or_prior_business_day,2.207751
20202.OL,2024-02-21,0.1,1.0,0.1,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.4862,2024-02-21,ex_date_or_prior_business_day,1.04862
20202.OL,2024-03-19,0.1,1.0,0.1,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.6859,2024-03-19,ex_date_or_prior_business_day,1.0685900000000002
20202.OL,2024-04-16,1.68,0.892878,1.5000350399999998,USD,NOK,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,10.9754,2024-04-16,ex_date_or_prior_business_day,16.463484578015997
20202.OL,2024-04-16,0.11,1.0,0.11,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.9754,2024-04-16,ex_date_or_prior_business_day,1.207294
20202.OL,2024-05-15,0.14,1.0,0.14,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.7542,2024-05-15,ex_date_or_prior_business_day,1.5055880000000004
20202.OL,2024-06-18,0.18,1.0,0.18,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.6841,2024-06-18,ex_date_or_prior_business_day,1.923138
20202.OL,2024-07-16,0.2,1.0,0.2,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.8067,2024-07-16,ex_date_or_prior_business_day,2.16134
20202.OL,2024-08-20,0.2,1.0,0.2,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.54,2024-08-20,ex_date_or_prior_business_day,2.108
20202.OL,2024-09-17,0.17,1.0,0.17,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.5831,2024-09-17,ex_date_or_prior_business_day,1.7991270000000001
20202.OL,2024-10-17,0.2,1.0,0.2,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.9272,2024-10-17,ex_date_or_prior_business_day,2.18544
20202.OL,2024-11-19,0.15,1.0,0.15,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,11.0224,2024-11-19,ex_date_or_prior_business_day,1.65336
20202.OL,2024-12-12,0.14,1.0,0.14,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,11.1086,2024-12-12,ex_date_or_prior_business_day,1.555204
20202.OL,2025-01-16,0.05,1.0,0.05,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,11.3868,2025-01-16,ex_date_or_prior_business_day,0.56934
20202.OL,2025-02-18,0.03,1.0,0.03,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,11.1601,2025-02-18,ex_date_or_prior_business_day,0.33480299999999996
20202.OL,2025-03-20,0.01,1.0,0.01,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.618,2025-03-20,ex_date_or_prior_business_day,0.10618000000000001
20202.OL,2025-04-15,0.06,1.0,0.06,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.5728,2025-04-15,ex_date_or_prior_business_day,0.634368
20202.OL,2025-05-15,0.1,1.0,0.1,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.4157,2025-05-15,ex_date_or_prior_business_day,1.0415699999999999
20202.OL,2025-06-17,0.11,1.0,0.11,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,9.8699,2025-06-17,ex_date_or_prior_business_day,1.085689
20202.OL,2025-07-15,0.16,1.0,0.16,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.177,2025-07-15,ex_date_or_prior_business_day,1.62832
20202.OL,2025-08-21,0.15,1.0,0.15,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.1817,2025-08-21,ex_date_or_prior_business_day,1.5272549999999998
20202.OL,2025-09-16,0.2,1.0,0.2,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,9.8162,2025-09-16,ex_date_or_prior_business_day,1.96324
20202.OL,2025-10-16,0.19,1.0,0.19,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.073,2025-10-16,ex_date_or_prior_business_day,1.9138700000000002
20202.OL,2025-11-20,0.19,1.0,0.19,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.1967,2025-11-20,ex_date_or_prior_business_day,1.937373
20202.OL,2025-12-18,0.21,1.0,0.21,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.201,2025-12-18,ex_date_or_prior_business_day,2.14221
20202.OL,2026-01-15,0.23,1.0,0.23,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,10.0826,2026-01-15,ex_date_or_prior_business_day,2.318998
20202.OL,2026-02-18,0.15,1.0,0.15,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,9.4795,2026-02-18,ex_date_or_prior_business_day,1.4219249999999999
20202.OL,2026-03-17,0.1,1.0,0.1,USD,NOK,TR.DivAdjustmentFactor_blank_assumed_1,9.6028,2026-03-17,ex_date_or_prior_business_day,0.96028
8TRA.ST,2020-09-24,1.0,1.0,1.0,EUR,SEK,TR.DivAdjustmentFactor_blank_assumed_1,11.1023,2020-09-24,ex_date_or_prior_business_day,11.1023
8TRA.ST,2021-07-01,0.25,1.0,0.25,EUR,SEK,TR.DivAdjustmentFactor_blank_assumed_1,10.2105,2021-07-01,ex_date_or_prior_business_day,2.552625
8TRA.ST,2022-06-10,0.5,1.0,0.5,EUR,SEK,TR.DivAdjustmentFactor_blank_assumed_1,10.1495,2022-06-10,ex_date_or_prior_business_day,5.07475
8TRA.ST,2023-06-02,0.7,1.0,0.7,EUR,SEK,TR.DivAdjustmentFactor_blank_assumed_1,11.845,2023-06-02,ex_date_or_prior_business_day,8.2915
8TRA.ST,2024-06-14,1.5,1.0,1.5,EUR,SEK,TR.DivAdjustmentFactor_blank_assumed_1,11.4025,2024-06-14,ex_date_or_prior_business_day,17.103749999999998
8TRA.ST,2025-05-15,1.7,1.0,1.7,EUR,SEK,TR.DivAdjustmentFactor_blank_assumed_1,11.65,2025-05-15,ex_date_or_prior_business_day,19.805
8TRA.ST,2026-06-17,0.93,1.0,0.93,EUR,SEK,TR.DivAdjustmentFactor_blank_assumed_1,10.9123,2026-04-30,ex_date_or_prior_business_day,10.148439
AAK.ST,2006-11-13,25.0,1.0,25.0,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,0.9014,2006-11-13,ex_date_or_prior_business_day,22.535
AAK.ST,2006-11-13,4.0,1.0,4.0,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,0.9014,2006-11-13,ex_date_or_prior_business_day,3.6056
AAK.ST,2007-05-22,4.0,1.0,4.0,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,0.8847,2007-05-22,ex_date_or_prior_business_day,3.5388
AAK.ST,2008-05-22,4.0,1.0,4.0,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,0.8442000000000001,2008-05-22,ex_date_or_prior_business_day,3.3768000000000002
AAK.ST,2009-05-20,4.0,1.0,4.0,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,0.8397,2009-05-20,ex_date_or_prior_business_day,3.3588
AAK.ST,2010-05-24,4.25,1.0,4.25,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,0.8283,2010-05-21,ex_date_or_prior_business_day,3.5202750000000003
AAK.ST,2011-05-18,4.5,1.0,4.5,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,0.8833,2011-05-18,ex_date_or_prior_business_day,3.97485
AAK.ST,2012-05-16,4.75,1.0,4.75,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,0.8377,2012-05-16,ex_date_or_prior_business_day,3.979075
AAK.ST,2013-05-06,5.25,1.0,5.25,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,0.8912,2013-05-06,ex_date_or_prior_business_day,4.6788
AAK.ST,2014-05-09,6.0,1.0,6.0,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,0.9022,2014-05-09,ex_date_or_prior_business_day,5.4132
AAK.ST,2015-05-06,6.75,1.0,6.75,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,0.904,2015-05-06,ex_date_or_prior_business_day,6.102
AAK.ST,2016-05-12,7.75,1.0,7.75,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,0.9933,2016-05-12,ex_date_or_prior_business_day,7.698074999999999
AAK.ST,2017-05-18,8.75,1.0,8.75,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,0.9637,2017-05-18,ex_date_or_prior_business_day,8.432375
AAK.ST,2018-05-31,9.75,1.0,9.75,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,0.9288,2018-05-31,ex_date_or_prior_business_day,9.0558
AAK.ST,2019-05-16,1.85,1.0,1.85,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,0.9063,2019-05-16,ex_date_or_prior_business_day,1.676655
AAK.ST,2020-11-27,2.1,1.0,2.1,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,1.0384,2020-11-27,ex_date_or_prior_business_day,2.18064
AAK.ST,2021-05-10,2.3,1.0,2.3,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,0.9879000000000001,2021-05-10,ex_date_or_prior_business_day,2.27217
AAK.ST,2022-05-19,2.5,1.0,2.5,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,0.981,2022-05-19,ex_date_or_prior_business_day,2.4525
AAK.ST,2023-05-05,2.75,1.0,2.75,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,1.0403,2023-05-05,ex_date_or_prior_business_day,2.860825
AAK.ST,2024-05-10,3.7,1.0,3.7,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,0.9989,2024-05-10,ex_date_or_prior_business_day,3.69593
AAK.ST,2025-05-09,5.0,1.0,5.0,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,1.0689,2025-05-09,ex_date_or_prior_business_day,5.3445
AAK.ST,2026-05-11,3.85,1.0,3.85,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,1.0051999999999999,2026-04-30,ex_date_or_prior_business_day,3.87002
AAK.ST,2026-05-11,5.5,1.0,5.5,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,1.0051999999999999,2026-04-30,ex_date_or_prior_business_day,5.528599999999999
ABB.ST,2006-05-09,0.12,1.0,0.12,CHF,SEK,TR.DivAdjustmentFactor_blank_assumed_1,5.0055000000000005,2006-05-09,ex_date_or_prior_business_day,0.6006600000000001
ABB.ST,2007-05-08,0.24,1.0,0.24,CHF,SEK,TR.DivAdjustmentFactor_blank_assumed_1,4.934200000000001,2007-05-08,ex_date_or_prior_business_day,1.1842080000000001
ABB.ST,2008-07-28,0.48,1.0,0.48,CHF,SEK,TR.DivAdjustmentFactor_blank_assumed_1,4.958600000000001,2008-07-28,ex_date_or_prior_business_day,2.380128
ABB.ST,2009-07-27,0.48,1.0,0.48,CHF,SEK,TR.DivAdjustmentFactor_blank_assumed_1,5.7761000000000005,2009-07-27,ex_date_or_prior_business_day,2.7725280000000003
ABB.ST,2010-07-12,0.51,1.0,0.51,CHF,SEK,TR.DivAdjustmentFactor_blank_assumed_1,6.0049,2010-07-12,ex_date_or_prior_business_day,3.0624990000000003
ABB.ST,2011-05-03,0.6,1.0,0.6,CHF,SEK,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,6.1029,2011-05-03,ex_date_or_prior_business_day,3.66174
ABB.ST,2012-04-30,0.65,1.0,0.65,CHF,SEK,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,6.313400000000001,2012-04-30,ex_date_or_prior_business_day,4.10371
ABB.ST,2013-04-29,0.68,1.0,0.68,CHF,SEK,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,6.1968,2013-04-29,ex_date_or_prior_business_day,4.213824
ABB.ST,2014-05-05,0.7,1.0,0.7,CHF,SEK,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,6.785399999999999,2014-05-05,ex_date_or_prior_business_day,4.7497799999999994
ABB.ST,2015-05-05,0.55,1.0,0.55,CHF,SEK,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,8.141399999999999,2015-05-05,ex_date_or_prior_business_day,4.47777
ABB.ST,2015-07-27,0.17,1.0,0.17,CHF,SEK,TR.DivAdjustmentFactor_blank_assumed_1,8.5342,2015-07-27,ex_date_or_prior_business_day,1.450814
ABB.ST,2016-07-11,0.74,1.0,0.74,CHF,SEK,TR.DivAdjustmentFactor_blank_assumed_1,8.655700000000001,2016-07-11,ex_date_or_prior_business_day,6.4052180000000005
ABB.ST,2017-04-19,0.76,1.0,0.76,CHF,SEK,TR.DivAdjustmentFactor_blank_assumed_1,8.562000000000001,2017-04-19,ex_date_or_prior_business_day,6.507120000000001
ABB.ST,2018-04-04,0.78,1.0,0.78,CHF,SEK,TR.DivAdjustmentFactor_blank_assumed_1,8.1815,2018-04-04,ex_date_or_prior_business_day,6.38157
ABB.ST,2019-05-06,0.8,1.0,0.8,CHF,SEK,TR.DivAdjustmentFactor_blank_assumed_1,8.5859,2019-05-06,ex_date_or_prior_business_day,6.868720000000001
ABB.ST,2020-03-30,0.8,1.0,0.8,CHF,SEK,TR.DivAdjustmentFactor_blank_assumed_1,11.0574,2020-03-30,ex_date_or_prior_business_day,8.84592
ABB.ST,2021-03-29,0.8,1.0,0.8,CHF,SEK,TR.DivAdjustmentFactor_blank_assumed_1,9.096,2021-03-29,ex_date_or_prior_business_day,7.276800000000001
ABB.ST,2022-03-28,0.82,1.0,0.82,CHF,SEK,TR.DivAdjustmentFactor_blank_assumed_1,9.274,2022-03-28,ex_date_or_prior_business_day,7.604679999999999
ABB.ST,2023-03-27,0.84,1.0,0.84,CHF,SEK,TR.DivAdjustmentFactor_blank_assumed_1,11.4815,2023-03-27,ex_date_or_prior_business_day,9.64446
ABB.ST,2024-03-25,0.87,1.0,0.87,CHF,SEK,TR.DivAdjustmentFactor_blank_assumed_1,11.9344,2024-03-25,ex_date_or_prior_business_day,10.382928
ABB.ST,2025-03-31,0.9,1.0,0.9,CHF,SEK,TR.DivAdjustmentFactor_blank_assumed_1,11.9746,2025-03-31,ex_date_or_prior_business_day,10.777140000000001
ABB.ST,2026-03-23,0.94,1.0,0.94,CHF,SEK,TR.DivAdjustmentFactor_blank_assumed_1,12.3685,2026-03-23,ex_date_or_prior_business_day,11.626389999999999
ABL.OL,2018-06-28,0.9,0.984043,0.8856387,NOK,NOK,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,1.0,2018-06-28,identity,0.8856387
ABL.OL,2020-06-11,0.2,1.0,0.2,NOK,NOK,TR.DivAdjustmentFactor_blank_assumed_1,1.0,2020-06-11,identity,0.2
ABL.OL,2020-11-02,0.2,1.0,0.2,NOK,NOK,TR.DivAdjustmentFactor_blank_assumed_1,1.0,2020-11-02,identity,0.2
ABL.OL,2021-06-03,0.25,1.0,0.25,NOK,NOK,TR.DivAdjustmentFactor_blank_assumed_1,1.0,2021-06-03,identity,0.25
ABL.OL,2021-11-01,0.25,1.0,0.25,NOK,NOK,TR.DivAdjustmentFactor_blank_assumed_1,1.0,2021-11-01,identity,0.25
ABL.OL,2022-06-02,0.3,1.0,0.3,NOK,NOK,TR.DivAdjustmentFactor_blank_assumed_1,1.0,2022-06-02,identity,0.3
ABL.OL,2022-11-07,0.3,1.0,0.3,NOK,NOK,TR.DivAdjustmentFactor_blank_assumed_1,1.0,2022-11-07,identity,0.3
ABL.OL,2023-06-01,0.35,1.0,0.35,NOK,NOK,TR.DivAdjustmentFactor_blank_assumed_1,1.0,2023-06-01,identity,0.35
ABL.OL,2023-10-30,0.35,1.0,0.35,NOK,NOK,TR.DivAdjustmentFactor_blank_assumed_1,1.0,2023-10-30,identity,0.35
ABL.OL,2024-05-30,0.4,1.0,0.4,NOK,NOK,TR.DivAdjustmentFactor_blank_assumed_1,1.0,2024-05-30,identity,0.4
ABL.OL,2024-11-04,0.4,1.0,0.4,NOK,NOK,TR.DivAdjustmentFactor_blank_assumed_1,1.0,2024-11-04,identity,0.4
ABL.OL,2025-05-30,0.45,1.0,0.45,NOK,NOK,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,1.0,2025-05-30,identity,0.45
ABL.OL,2025-11-03,0.45,1.0,0.45,NOK,NOK,TR.DivUnadjustedGross_x_TR.DivAdjustmentFactor,1.0,2025-11-03,identity,0.45
ABL.OL,2026-05-28,0.45,1.0,0.45,NOK,NOK,TR.DivAdjustmentFactor_blank_assumed_1,1.0,2026-05-28,identity,0.45
ACADE.ST,2019-11-27,1.25,1.0,1.25,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,0.9568000000000001,2019-11-27,ex_date_or_prior_business_day,1.1960000000000002
ACADE.ST,2020-11-27,1.5,1.0,1.5,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,1.0384,2020-11-27,ex_date_or_prior_business_day,1.5575999999999999
ACADE.ST,2021-12-01,1.75,1.0,1.75,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,0.9994,2021-12-01,ex_date_or_prior_business_day,1.74895
ACADE.ST,2022-12-01,1.75,1.0,1.75,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,0.9405,2022-12-01,ex_date_or_prior_business_day,1.645875
ACADE.ST,2023-12-01,1.75,1.0,1.75,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,1.0287,2023-12-01,ex_date_or_prior_business_day,1.800225
ACADE.ST,2024-11-29,1.75,1.0,1.75,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,1.0141,2024-11-29,ex_date_or_prior_business_day,1.774675
ACADE.ST,2025-11-27,2.25,1.0,2.25,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,1.0735,2025-11-27,ex_date_or_prior_business_day,2.4153749999999996
ACG1V.HE,2005-04-08,0.3,1.0,0.3,EUR,EUR,TR.DivAdjustmentFactor_blank_assumed_1,8.1635,2005-04-08,ex_date_or_prior_business_day,2.44905
ACG1V.HE,2018-03-19,0.07,1.0,0.07,EUR,EUR,TR.DivAdjustmentFactor_blank_assumed_1,9.5205,2018-03-19,ex_date_or_prior_business_day,0.6664350000000001
ACG1V.HE,2019-04-04,0.12,1.0,0.12,EUR,EUR,TR.DivAdjustmentFactor_blank_assumed_1,9.6308,2019-04-04,ex_date_or_prior_business_day,1.155696
ACG1V.HE,2020-09-17,0.15,1.0,0.15,EUR,EUR,TR.DivAdjustmentFactor_blank_assumed_1,10.7238,2020-09-17,ex_date_or_prior_business_day,1.60857
ACG1V.HE,2022-04-27,0.15,1.0,0.15,EUR,EUR,TR.DivAdjustmentFactor_blank_assumed_1,9.7838,2022-04-27,ex_date_or_prior_business_day,1.4675699999999998
ACG1V.HE,2023-04-21,0.21,1.0,0.21,EUR,EUR,TR.DivAdjustmentFactor_blank_assumed_1,11.6505,2023-04-21,ex_date_or_prior_business_day,2.446605
ACRIa.ST,2016-02-26,1.25,1.0,1.25,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,1.0164,2016-02-26,ex_date_or_prior_business_day,1.2705
ACRIa.ST,2017-05-02,0.75,1.0,0.75,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,0.9739,2017-05-02,ex_date_or_prior_business_day,0.730425
ACRIa.ST,2017-10-26,0.75,1.0,0.75,SEK,SEK,TR.DivAdjustmentFactor_blank_assumed_1,0.9758,2017-10-26,ex_date_or_prior_business_day,0.73185
