FormationYear,n_firms,mu_t,var_obs_t,avg_obs_var_i,tau2_t,q5_cutoff_obs
2010,307,0.12397448396385134,0.2653297948583271,0.16933804823194026,0.09599174662638682,0.36074737845571747
2011,324,0.14721482266391325,0.1918234000337793,0.1164088287086981,0.07541457132508118,0.3726387928118103
2012,339,0.10939356146686229,0.22999695533047082,0.13824798280454267,0.09174897252592815,0.3458847886616651
2013,356,0.10229957433453375,0.1594405564360006,0.07671203029863412,0.08272852613736649,0.323706505929287
2014,375,0.062332977288386826,0.22001799247844106,0.12930265409539216,0.0907153383830489,0.2729132370851924
2015,389,0.10583555708659005,0.17077307355720622,0.10714439019972567,0.06362868335748055,0.3014490281158675
2016,420,0.07652689268326864,0.25131910495548576,0.16923918274406488,0.08207992221142088,0.2850045827301933
2017,432,0.11234694410589194,0.22102252359785537,0.12791893270843877,0.09310359088941661,0.314247968017147
2018,463,0.0676302405971744,0.2037382788750323,0.12557617103514598,0.07816210783988631,0.28510566177611796
2019,492,0.06413951615196502,0.3356572497046673,0.29559066162865716,0.04006658807601016,0.29901500115580076
2020,509,0.061069745905521555,0.34225003628403367,0.2883051157472309,0.053944920536802776,0.2961348450623615
2021,529,0.07175618950660252,0.14621166402968816,0.11113686917835483,0.03507479485133333,0.2686183219262704
2022,560,0.09211401324727085,0.19775613781996526,0.1654281219896887,0.03232801583027656,0.296563298130274
2023,577,0.11389462139446688,0.12282440769263075,0.10362648182246918,0.019197925870161572,0.2920876443659566
2024,601,0.1321027853958856,0.2345780240244123,0.1979955917414779,0.036582432282934396,0.2904162191937165
2025,619,0.12102659933429977,0.1860694251298013,0.1717409373729187,0.014328487756882585,0.2663967966229949
