ComparisonMethod,ComparisonMethodLabel,Scope,FirmYears,ReassignedFirmYears,ShareReassigned,UniqueFirmsReassigned
Method3_ConservativeQuality,Conservative Quality,All portfolios,7146,810,0.11335012594458438,377
Method3_ConservativeQuality,Conservative Quality,Observed Q1,1436,77,0.05362116991643454,62
Method3_ConservativeQuality,Conservative Quality,Observed Q2,1425,221,0.1550877192982456,124
Method3_ConservativeQuality,Conservative Quality,Observed Q3,1426,258,0.18092566619915848,180
Method3_ConservativeQuality,Conservative Quality,Observed Q4,1425,184,0.12912280701754386,125
Method3_ConservativeQuality,Conservative Quality,Observed Q5,1434,70,0.04881450488145049,48
