portfolio_year,cfo_t1_source,specification_label,reference_sample_label,window_rows_initial,window_firms_initial,window_training_years_initial,reference_sample_rows_available,window_rows_before_reference_sample_filter,window_firms_before_reference_sample_filter,window_rows_after_reference_sample_filter,window_firms_after_reference_sample_filter,rows_removed_by_reference_sample_filter,firms_removed_by_reference_sample_filter,skipped,skip_reason,window_rows_before_cfo_source_filter,rows_dropped_missing_analyst_forecast,rows_dropped_missing_realized_cfo_lead,window_rows_after_cfo_source_filter,portfolio_firms_after_cfo_source_filter,rows_removed_no_portfolio_year_row_after_cfo_filter,firms_removed_no_portfolio_year_row_after_cfo_filter,training_years_after_cfo_filter,training_rows_after_cfo_filter_before_firm_filter,firms_removed_after_cfo_filter_insufficient_training,rows_removed_after_cfo_filter_insufficient_training,window_dropped_insufficient_training_history,window_rows_final,window_firms_final,portfolio_year_rows_final
2009,none,no_cfo_lead_matched_sample,analyst_cfo_hybrid_window_rows,1620,320,5,0,1620,320,0,0,1620,320,True,no_reference_sample_rows,,,,,,,,,,,,,,,
2010,none,no_cfo_lead_matched_sample,analyst_cfo_hybrid_window_rows,1909,329,5,0,1909,329,0,0,1909,329,True,no_reference_sample_rows,,,,,,,,,,,,,,,
2011,none,no_cfo_lead_matched_sample,analyst_cfo_hybrid_window_rows,2018,344,5,0,2018,344,0,0,2018,344,True,no_reference_sample_rows,,,,,,,,,,,,,,,
2012,none,no_cfo_lead_matched_sample,analyst_cfo_hybrid_window_rows,2094,357,5,0,2094,357,0,0,2094,357,True,no_reference_sample_rows,,,,,,,,,,,,,,,
2013,none,no_cfo_lead_matched_sample,analyst_cfo_hybrid_window_rows,2189,374,5,840,2189,374,840,142,1349,232,False,,840.0,0.0,0.0,840.0,142.0,0.0,0.0,5.0,698.0,0.0,0.0,False,840.0,142.0,142.0
2014,none,no_cfo_lead_matched_sample,analyst_cfo_hybrid_window_rows,2273,387,5,944,2273,387,944,160,1329,227,False,,944.0,0.0,0.0,944.0,160.0,0.0,0.0,5.0,784.0,0.0,0.0,False,944.0,160.0,160.0
2015,none,no_cfo_lead_matched_sample,analyst_cfo_hybrid_window_rows,2377,405,5,1016,2377,405,1016,173,1361,232,False,,1016.0,0.0,0.0,1016.0,173.0,0.0,0.0,5.0,843.0,0.0,0.0,False,1016.0,173.0,173.0
2016,none,no_cfo_lead_matched_sample,analyst_cfo_hybrid_window_rows,2527,434,5,1119,2527,434,1119,191,1408,243,False,,1119.0,0.0,0.0,1119.0,191.0,0.0,0.0,5.0,928.0,0.0,0.0,False,1119.0,191.0,191.0
2017,none,no_cfo_lead_matched_sample,analyst_cfo_hybrid_window_rows,2627,447,5,1185,2627,447,1185,201,1442,246,False,,1185.0,0.0,0.0,1185.0,201.0,0.0,0.0,5.0,984.0,0.0,0.0,False,1185.0,201.0,201.0
2018,none,no_cfo_lead_matched_sample,analyst_cfo_hybrid_window_rows,2809,482,5,1316,2809,482,1316,227,1493,255,False,,1316.0,0.0,0.0,1316.0,227.0,0.0,0.0,5.0,1089.0,0.0,0.0,False,1316.0,227.0,227.0
2019,none,no_cfo_lead_matched_sample,analyst_cfo_hybrid_window_rows,2965,509,5,1425,2965,509,1425,245,1540,264,False,,1425.0,0.0,0.0,1425.0,245.0,0.0,0.0,5.0,1180.0,0.0,0.0,False,1425.0,245.0,245.0
2020,none,no_cfo_lead_matched_sample,analyst_cfo_hybrid_window_rows,3107,529,5,1541,3107,529,1541,263,1566,266,False,,1541.0,0.0,0.0,1541.0,263.0,0.0,0.0,5.0,1278.0,0.0,0.0,False,1541.0,263.0,263.0
2021,none,no_cfo_lead_matched_sample,analyst_cfo_hybrid_window_rows,3226,547,5,1668,3226,547,1668,284,1558,263,False,,1668.0,0.0,0.0,1668.0,284.0,0.0,0.0,5.0,1384.0,0.0,0.0,False,1668.0,284.0,284.0
2022,none,no_cfo_lead_matched_sample,analyst_cfo_hybrid_window_rows,3359,571,5,1810,3359,571,1810,310,1549,261,False,,1810.0,0.0,0.0,1810.0,310.0,0.0,0.0,5.0,1500.0,0.0,0.0,False,1810.0,310.0,310.0
2023,none,no_cfo_lead_matched_sample,analyst_cfo_hybrid_window_rows,3478,591,5,1926,3478,591,1926,329,1552,262,False,,1926.0,0.0,0.0,1926.0,329.0,0.0,0.0,5.0,1597.0,0.0,0.0,False,1926.0,329.0,329.0
2024,none,no_cfo_lead_matched_sample,analyst_cfo_hybrid_window_rows,3625,617,5,2056,3625,617,2056,351,1569,266,False,,2056.0,0.0,0.0,2056.0,351.0,0.0,0.0,5.0,1705.0,0.0,0.0,False,2056.0,351.0,351.0
