Ticker,Year,FormationYear,PROF,PROF_w,sigma_acc,sigma_mean,sigma_raw,MarketCap,theta_obs,theta_post_mean,theta_conservative,theta_post_sd,theta_post_sd_between,theta_conservative_sd_between,p_q5,p_q5_sd_mc,p_median,p_median_sd_mc,p_q1,p_q1_sd_mc,lambda_i,mu_t,var_obs_t,obs_var_i,tau2_t,q5_cutoff_obs,median_cutoff_obs,q1_cutoff_obs,n_sigma_draws_used,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,d_ACT,d_CHE,d_LCT,d_STD,d_TXP,WCA,AT_lag,AvgAT,WCA_scaled,CFO,CFO_lag1,dREV,CFO_lag1_scaled,CFO_scaled,dREV_scaled,PPE_scaled,CFO_lead1,CFO_lead1_scaled,usable,sector_idx,firm_idx_x,firm_idx_y,sigma_median,sigma_std,sigma_q05,sigma_q95,n_draws,sigma_measure,sigma_scale_mean,sigma_scale_median,sigma_scale_std,sigma_scale_q05,sigma_scale_q95,sigma_scale_n_draws,sigma_acc_measure
AAK.ST,2013,2014,0.1895951002584571,0.1895951002584571,0.0243304622148845,0.0243304622148845,0.0243304622148845,15967.29,0.1895951002584571,0.18932502643456559,0.18781211984757984,0.027356485677312452,0.0,0.0,7.978083486626097e-06,0.0,0.8067552495864836,0.0,1.178164627882419e-06,0.0,0.9821701958912272,0.1744477760229303,0.05266748231303295,0.0007619629589084804,0.04197338927828019,0.3076398974414143,0.1659043506897434,0.0604674903041995,1,AAK AB (publ),Food & Tobacco,Consumer Staples,5294.71,217.71,2718.04,72.57,133.83,2852.81,9466.96,1173.27,14924.95,11545.02,2527.05,0.0,73.1,4080.83,32.04,421.3299999999999,-64.78,435.00999999999976,14.359999999999992,8.850000000000009,74.31000000000017,8354.86,8910.91,0.0083392156356646,1173.27,1322.65,391.3100000000013,0.1484304072199135,0.131666687240697,0.0439135845833928,0.3201479983525813,635.66,0.0713350263889995,True,2,3,3,0.0216390359767362,0.0122125520188901,0.0110462846659189,0.0463249667602747,8000,student_t_residual_sd,0.0164284099500058,0.0146656607952682,0.0080338690530424,0.0074997053140044,0.0306822903862214,8000,student_t_residual_sd
ABB.ST,2013,2014,-1.2281880363871074,-1.2281880363871074,0.0825132821388135,0.0825132821388135,0.0825132821388135,356410.22,-1.2281880363871074,-0.9859170617606061,-1.2454605865731907,0.08514619620330119,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8272744981391668,0.1744477760229303,0.05266748231303295,0.008763566076554513,0.04197338927828019,0.3076398974414143,0.1659043506897434,0.0604674903041995,1,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,160301.98,14644.05,101155.55,2748.03,0.0,37938.64,291570.64,21471.25,245970.09,350969.37,44458.94,8640.22,2292.3,113306.35,3215.14,4526.850000000006,-843.3400000000001,-4396.809999999998,-11365.3,0.0,-1598.2999999999956,272976.41,282273.525,-0.0056622384263632,21471.25,21974.24,17237.959999999992,0.0778473291110103,0.0760654050003449,0.0610682847426091,0.1344038198410566,24245.53,0.0858937443743617,True,5,4,4,0.0777676159549185,0.0282610841150781,0.0459284203473146,0.136096054235922,8000,student_t_residual_sd,0.0557287694756025,0.0527254536370519,0.0183302077745027,0.0312283842744522,0.090704672043837,8000,student_t_residual_sd
AFRY.ST,2013,2014,0.1632392564334333,0.1632392564334333,0.0646942664624146,0.0646942664624146,0.0646942664624146,7950.61,0.1632392564334333,0.16451421390768506,0.1518643601853465,0.06909724656026427,0.0,0.0,0.018317094495472697,0.0,0.48461653287456263,0.0,0.06846124258446075,0.0,0.8862510375191321,0.1744477760229303,0.05266748231303295,0.005387220189411495,0.04197338927828019,0.3076398974414143,0.1659043506897434,0.0604674903041995,1,Afry AB,Professional & Commercial Services,Industrials,2426.44,176.9,2101.2,0.0,0.0,273.03,6666.83,383.66,7524.3,2100.79,4814.3,0.0,43.95,3450.8,11.97,-98.50999999999976,-249.15,51.00999999999976,-371.77,-46.65,-318.7899999999995,6433.84,6550.335,-0.048667739894219,383.66,414.84,2542.76,0.0633311120728939,0.0585710501829295,0.3881877797089767,0.0416818376464715,551.79,0.0842384397133887,True,5,16,16,0.0602906366646044,0.0248646991055403,0.0332383418110346,0.1106722005280032,8000,student_t_residual_sd,0.0437727938254626,0.0409909518644035,0.0164379119980271,0.0223781024943875,0.0741873271091157,8000,student_t_residual_sd
AKRBP.OL,2013,2014,-0.5894380926919025,-0.5894380926919025,0.1496476364143881,0.1496476364143881,0.1496476364143881,9385.18,-0.5894380926919025,-0.2784265421625719,-0.630152493005732,0.1307257194894752,0.0,0.0,3.3881786265510527e-12,0.0,3.77810394081024e-09,0.0,0.999999667850659,0.0,0.5928559968617056,0.1744477760229303,0.05266748231303295,0.02882523551503743,0.04197338927828019,0.3076398974414143,0.1659043506897434,0.0604674903041995,1,Aker BP ASA,Oil & Gas,Energy,3808.09,1704.28,1891.7,476.68,0.0,2649.97,10511.2,915.82,933.27,2357.5,147.93,0.0,301.87,3179.35,0.0,891.4200000000001,550.0999999999999,188.77,-203.47000000000008,0.0,-50.9199999999999,8364.45,9437.825,-0.005395310889956,915.82,1419.02,608.1800000000001,0.1503545573265026,0.0970371881233229,0.0644406947575315,0.2807818538699329,1657.09,0.1755796489127526,True,3,22,22,0.1420757761714621,0.0464822352807871,0.0896615230598977,0.2359067589132755,8000,student_t_residual_sd,0.1010086939868444,0.0968474002133009,0.0295863564250628,0.0615896338307546,0.1563569696642548,8000,student_t_residual_sd
ALFA.ST,2013,2014,0.3098270411864533,0.3098270411864533,0.0644080915047261,0.0644080915047261,0.0644080915047261,65227.58,0.3098270411864533,0.29454838455678867,0.29854122381168047,0.06882615825359702,0.0,0.0,0.5126753737863627,0.0,0.9817406521072825,0.0,0.00014558344334700786,0.0,0.8871418262522717,0.1744477760229303,0.05266748231303295,0.005339664887587134,0.04197338927828019,0.3076398974414143,0.1659043506897434,0.0604674903041995,1,Alfa Laval AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,15111.32,1362.79,10878.76,988.64,1002.77,3969.62,32900.16,3820.36,26895.96,17388.83,5200.31,633.57,221.12,15161.27,70.68,1403.699999999999,173.76,1471.84,466.46,1002.77,1227.3299999999988,29925.97,31413.065,0.0390706860346164,3820.36,3081.88,1274.09,0.0981082234414247,0.1216169132174781,0.0405592386479956,0.1263684393738719,4705.89,0.1498067762569491,True,5,25,25,0.0601903956814675,0.022896993150847,0.0352808514811667,0.1078816893170298,8000,student_t_residual_sd,0.0434372844700502,0.0408850443072436,0.0147238567171386,0.0244874649008024,0.0715799575348304,8000,student_t_residual_sd
ALKb.CO,2013,2014,0.2424332816290816,0.2424332816290816,0.034212095907223,0.034212095907223,0.034212095907223,6320.38,0.2424332816290816,0.24007758372812352,0.23896828143535656,0.03813630841868896,0.0,0.0,0.04364862875696629,0.0,0.9776103106154126,0.0,9.144859168116212e-07,0.0,0.9653499980627498,0.1744477760229303,0.05266748231303295,0.0015065810563256751,0.04197338927828019,0.3076398974414143,0.1659043506897434,0.0604674903041995,1,ALK-Abello A/S,Pharmaceuticals,Health Care,1150.39,348.8,561.22,5.59,31.3,1570.74,3653.51,152.91,2350.24,730.0,1484.09,484.92,11.52,2514.3,0.0,-16.11999999999989,-120.76,28.66000000000008,0.6699999999999999,14.57,91.22000000000004,3243.57,3448.54,0.0264517737941273,152.91,91.4,-5.0,0.0265039697959136,0.0443405035174305,-0.0014498889385073,0.4554797102541945,358.8,0.1040440302272845,True,4,29,29,0.0301999244097105,0.0163893222293233,0.0160165230983004,0.0651628517884513,8000,student_t_residual_sd,0.0230902938846967,0.0206943058074314,0.010751267868968,0.0109336948379644,0.043457663940708,8000,student_t_residual_sd
ASPO.HE,2013,2014,0.0707013246340134,0.0707013246340134,0.0510457289680853,0.0510457289680853,0.0510457289680853,1557.0,0.0707013246340134,0.07837786127643653,0.06330200008878542,0.055729231964310004,0.0,0.0,1.0612290254674583e-05,0.0,0.04378904933997263,0.0,0.42714992438887267,0.0,0.9260067545477203,0.1744477760229303,0.05266748231303295,0.003353914299306358,0.04197338927828019,0.3076398974414143,0.1659043506897434,0.0604674903041995,1,Aspo Oyj,Freight & Logistics Services,Industrials,1117.67,237.42,878.83,374.35,1.95,862.13,2522.05,125.23,3719.61,2754.58,873.69,0.0,30.44,855.51,5.86,108.70000000000005,80.35999999999999,-36.28999999999997,-35.81,-1.2900000000000005,27.530000000000022,2284.32,2403.1850000000004,0.0114556307566833,125.23,65.93,120.30999999999996,0.0274344255644072,0.0521100123377933,0.0500627292530537,0.3587447491558077,183.98,0.0765567361647147,True,5,51,51,0.0450274307117798,0.0270579497106595,0.0190476322972613,0.1024668062671829,8000,student_t_residual_sd,0.0348958917089978,0.0304932564062739,0.0190353872179182,0.0124325463604397,0.0713291473019988,8000,student_t_residual_sd
ASSAb.ST,2013,2014,0.2571881648419516,0.2571881648419516,0.0516625383952184,0.0516625383952184,0.0516625383952184,112625.29,0.2571881648419516,0.25092834687200416,0.24962255141023376,0.05635196870549233,0.0,0.0,0.18531424730934165,0.0,0.9473717094829567,0.0,0.00024067283017076342,0.0,0.9243438656828215,0.1744477760229303,0.05266748231303295,0.003435457836504365,0.04197338927828019,0.3076398974414143,0.1659043506897434,0.0604674903041995,1,Assa Abloy AB,Homebuilding & Construction Supplies,Consumer Discretionary,16638.1,341.17,15872.83,4594.47,1202.57,6022.29,61978.67,5617.28,43755.01,27149.57,10320.3,1254.5,555.95,27154.01,0.0,2211.4199999999983,-435.25,1396.5,1768.71,498.91,3517.789999999998,51537.32,56757.995,0.0619787573539198,5617.28,5147.92,3689.740000000005,0.0906994688589687,0.0989689646366119,0.0650082864977877,0.1061046994348549,6135.21,0.1080941988877514,True,1,52,52,0.0473463731617247,0.0213053411409257,0.0263834032542376,0.0929216504395141,8000,student_t_residual_sd,0.0348737896731502,0.0321938215325647,0.0139409771518974,0.0181595124279129,0.0610283086178283,8000,student_t_residual_sd
ATCOa.ST,2013,2014,0.4368682848918985,0.4368682848918985,0.0737453185802679,0.0737453185802679,0.0737453185802679,143847.65,0.4368682848918985,0.3993589734763949,0.4225746949674034,0.07745646610096128,0.0,0.0,0.9523818507132255,0.0,0.9997658600299394,0.0,5.883708003976834e-07,0.0,0.857064100755049,0.1744477760229303,0.05266748231303295,0.00700006468076772,0.04197338927828019,0.3076398974414143,0.1659043506897434,0.0604674903041995,1,Atlas Copco AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,54553.06,16618.31,23170.26,5228.74,796.37,6509.54,82833.31,10710.19,75710.49,46719.78,13768.82,1910.63,748.19,37365.51,138.54,9561.809999999998,5989.830000000002,4761.32,4488.27,-609.2299999999999,2689.699999999996,69162.13,75997.72,0.035391851229221,10710.19,11777.48,-2095.3199999999924,0.1549714912500006,0.1409277804649929,-0.0275708271248136,0.0856544117376152,15052.8,0.1980690999677358,True,5,53,53,0.069069074972769,0.0265046089022095,0.0396461067718564,0.1239700391177106,8000,student_t_residual_sd,0.0497936059561275,0.0469903483754765,0.0172138985372863,0.0271884519987133,0.0816882565916249,8000,student_t_residual_sd
ATEA.OL,2013,2014,0.0639153079710141,0.0639153079710141,0.0717910215442313,0.0717910215442313,0.0717910215442313,5579.35,0.0639153079710141,0.0790008618378393,0.05026723321732304,0.07568724823480787,0.0,0.0,0.0006406089175073904,0.0,0.08890861524701554,0.0,0.48183307349441806,0.0,0.8635192524630895,0.1744477760229303,0.05266748231303295,0.006633968529384109,0.04197338927828019,0.3076398974414143,0.1659043506897434,0.0604674903041995,1,Atea ASA,Software & IT Services,Information Technology,6651.4,745.8,6405.4,98.8,32.7,520.1,11187.4,873.8,22095.8,16776.2,4958.9,0.0,134.9,3532.8,0.0,915.8999999999996,565.4,726.7999999999993,62.8,-0.5,-313.99999999999966,9810.1,10498.75,-0.0299083224193356,873.8,812.4,1165.5,0.0773806405524467,0.0832289558280747,0.1110132158590308,0.0495392308608167,958.8,0.0913251577568758,True,6,54,54,0.066306127525965,0.0277025335227872,0.0378585628008723,0.1238085539246817,8000,student_t_residual_sd,0.0484737052091122,0.0451453976383208,0.0181298167031332,0.0260839367115774,0.0829220229553453,8000,student_t_residual_sd
